Date,Area,Above Treeline,At Treeline,Below Treeline,Yesterday Danger Above Treeline,Yesterday Danger At Treeline,Yesterday Danger Below Treeline,Max Air Temp 24hr,Total Snowfall 24hr,Delta SWE 24hr,Min Temp Diff 48hr,Max Windspeed 24hr,Was High Winds 24hr,Max Air Temp 72hr,Total Snowfall 72hr,Weighted Snowfall 96hr,Was Heavy Snowfall 24hr,Sum Max Temp 72hr
2022-11-25,East Slopes North,2,1,1,0,0,0,42.0,-0.6666666666666666,0.0666666666666666,-1.5666666666666664,0.0,0,0.0,0.0,0.0,0,0.0
2022-11-26,East Slopes North,3,3,2,2,1,1,30.73333333333333,-0.6666666666666666,0.1,-0.2,5.085,0,0.0,0.0,0.0,0,0.0
2022-11-27,East Slopes North,2,2,1,3,3,2,30.53333333333333,0.3333333333333333,0.2333333333333333,-6.4,5.546,0,42.0,-1.0,0.0,0,103.26666666666667
2022-11-28,East Slopes North,2,1,1,2,2,1,20.766666666666666,6.333333333333333,0.5,-15.5,4.077,0,30.73333333333333,5.999999999999999,6.083333333333333,0,82.03333333333333
2022-11-29,East Slopes North,3,3,2,2,1,1,11.466666666666669,0.0,-0.1,-0.2666666666666667,6.379,0,30.53333333333333,6.666666666666666,4.75,0,62.766666666666666
2022-11-30,East Slopes North,2,2,2,3,3,2,21.73333333333333,5.0,0.5666666666666667,7.466666666666666,4.603,0,21.73333333333333,11.333333333333332,8.25,0,53.96666666666667
2022-12-01,East Slopes North,2,2,2,2,2,2,22.2,8.333333333333334,0.9333333333333332,-1.9666666666666668,1.951,0,22.2,13.333333333333334,13.666666666666668,0,55.4
2022-12-02,East Slopes North,2,2,2,2,2,2,16.566666666666666,-3.0,-0.1333333333333333,0.8999999999999999,6.138,0,22.2,10.333333333333334,5.75,0,60.5
2022-12-03,East Slopes North,2,2,1,2,2,2,26.399999999999995,0.0,0.1333333333333333,2.2666666666666666,1.425,0,26.399999999999995,5.333333333333334,3.166666666666667,0,65.16666666666666
2022-12-04,East Slopes North,2,1,1,2,2,1,30.666666666666668,-0.6666666666666666,0.2333333333333333,3.4,0.0,0,30.666666666666668,-3.6666666666666665,-0.08333333333333304,0,73.63333333333333
