Date,Danger Rating,Yesterday Danger,Max Air Temp 24hr,Total Snowfall 24hr,Min Temp Diff 48hr,Delta SWE 24hr,Max Air Temp 72hr,Total Snowfall 72hr,Weighted Snowfall 96hr,Was Heavy Snowfall 24hr,Sum Max Temp 72hr,Max Windspeed 24hr,Was High Winds 24hr
2022-11-25,1,1,49.575,-1.0,0.05,-11.875,56.4,0.25,-0.3125,0.0,151.825,32.71666666666667,1
2022-11-26,3,3,37.275,0.0,0.1,-1.6500000000000001,56.4,0.0,-0.1875,0.0,143.25,35.54666666666666,1
2022-11-27,2,2,33.175,1.25,0.05,0.55,49.575,0.25,1.0,0.0,120.025,41.601333333333336,1
2022-11-28,2,2,29.0,6.5,0.975,-6.75,37.275,7.75,7.1875,0.0,99.44999999999999,61.29666666666666,1
2022-11-29,3,3,30.7,2.5,0.375,0.25000000000000006,33.725,10.25,8.0,0.0,92.875,34.77666666666667,1
2022-11-30,3,3,32.1,8.75,1.125,3.65,32.65,17.75,14.1875,0.25,91.8,50.09,1
2022-12-01,2,2,29.049999999999997,7.5,1.5750000000000002,-3.575,32.25,18.75,16.9375,0.25,91.85,53.26,1
2022-12-02,2,2,29.35,2.75,0.475,-0.75,32.6,19.0,13.375,0.0,90.5,33.330000000000005,1
2022-12-03,2,2,33.975,-1.25,0.15,4.925,34.6,9.0,6.75,0.0,92.375,42.59,1
2022-12-04,2,2,31.35,-1.75,0.0,-0.55,34.075,-0.25,0.5625,0.0,94.675,49.0,1
2022-12-05,2,2,37.85,1.25,0.375,4.45,38.7,-1.75,0.0,0.0,103.17500000000001,50.133333333333326,1
2022-12-06,2,2,31.924999999999997,-1.0,0.07500000000000001,-0.525,37.85,-1.5,-1.25,0.0,101.125,24.495,0
2022-12-07,2,2,37.2,-1.5,0.0,-1.5,39.25,-1.25,-2.0625,0.0,106.975,30.264,1
2022-12-07,2,2,37.2,-1.5,0.0,-1.5,39.25,-1.25,-2.0625,0.0,106.975,30.264,1
2022-12-08,2,2,32.75,-0.5,0.05,-0.875,37.55,-3.0,-1.8125,0.0,101.875,39.35666666666666,1
2022-12-09,4,4,32.8,5.75,0.725,-1.475,38.2,3.75,4.375,0.25,102.75,43.63333333333333,1
2022-12-10,3,3,37.125,8.0,1.325,6.35,37.125,13.25,11.6875,0.5,102.675,45.14333333333334,1
2022-12-11,2,2,34.974999999999994,3.25,1.1,-1.1500000000000001,37.175,17.0,12.0,0.0,104.89999999999999,48.92,1
2022-12-12,2,2,33.9,-2.75,0.05,-4.525,37.275,8.5,5.125,0.0,106.0,19.996666666666663,0
2022-12-13,2,2,32.95,-1.5,-0.09999999999999999,-0.7999999999999999,36.05,-1.0,0.0625,0.0,101.82499999999999,19.27,0
2022-12-14,2,2,35.05,-1.5,0.049999999999999996,1.325,35.775,-5.75,-3.1875,0.0,101.9,19.42,0
2022-12-15,2,2,36.575,-0.75,0.0,-1.025,37.95,-3.75,-3.3125,0.0,104.575,22.046666666666667,0
2022-12-16,2,2,43.025,-0.5,0.0,1.725,43.375,-2.75,-2.1875,0.0,114.65,25.55433333333333,1
2022-12-17,2,2,37.625,-1.5,0.0,0.3500000000000001,43.025,-2.75,-2.625,0.0,117.22500000000001,26.654,1
2022-12-18,2,2,28.85,-0.5,0.025,-3.5999999999999996,43.025,-2.5,-2.0625,0.0,109.5,42.78,1
2022-12-19,3,3,30.125,4.75,0.475,-1.4000000000000001,37.625,2.75,3.5,0.0,96.6,54.333333333333336,1
2022-12-20,3,3,33.65,-0.25,0.25,0.10000000000000003,33.65,4.0,2.6875,0.0,92.625,39.623333333333335,1
2022-12-20,3,3,33.65,-0.25,0.25,0.10000000000000003,33.65,4.0,2.6875,0.0,92.625,39.623333333333335,1
2022-12-21,3,3,26.875,5.0,1.15,-15.100000000000001,34.1,9.5,7.0625,0.0,90.65,55.66,1
2022-12-22,3,3,22.475,-1.5,-0.2,-2.55,34.1,3.25,3.3125,0.0,83.0,41.973333333333336,1
2022-12-23,4,4,39.35,-1.0,0.0,16.85,39.35,2.5,0.3125,0.0,88.7,41.49333333333333,1
2022-12-24,3,3,44.475,-1.0,0.5,17.475,44.475,-3.5,-1.25,0.0,106.30000000000001,43.580000000000005,1
2022-12-25,3,3,48.925,-6.25,-0.525,0.925,48.925,-8.25,-7.875,0.0,132.75,60.40666666666667,1
2022-12-26,3,3,47.425,-1.0,0.09999999999999995,-0.775,49.199999999999996,-8.25,-6.4375,0.0,140.825,48.71,1
2022-12-27,3,3,44.425,-2.75,1.05,-8.375,49.199999999999996,-10.0,-6.875,0.0,140.775,64.32333333333334,1
2022-12-28,2,2,33.225,4.25,0.3,-1.725,47.425,0.5,0.125,0.0,125.075,75.40666666666667,1
2022-12-29,3,3,36.55,0.5,0.125,1.5499999999999998,44.425,2.0,2.0625,0.0,114.2,57.30666666666667,1
2022-12-30,3,3,37.05,1.0,0.7,2.2,37.225,5.75,2.8125,0.0,106.825,45.29333333333333,1
2022-12-31,2,2,36.63333333333333,-0.25,0.375,-2.5333333333333337,38.13333333333333,1.25,1.8125,0.0,112.3,50.16333333333333,1
2023-01-01,2,2,37.5,0.25,0.125,-2.5,38.375,1.0,0.6875,0.0,112.0,36.63999999999999,1
2023-01-02,2,2,36.075,-0.25,-0.07500000000000001,-2.85,40.075,-0.25,0.0625,0.0,111.40000000000002,24.406666666666663,0
2023-01-03,2,2,35.65,0.75,-0.05,1.4,40.025,0.75,0.625,0.0,109.225,43.59333333333333,1
2023-01-04,2,2,38.2,-1.25,0.1,1.0,39.775,-0.75,-0.75,0.0,109.925,35.99,1
2023-01-05,2,2,40.6,2.25,0.3,5.725,40.675,1.75,1.625,0.0,114.45,56.63,1
2023-01-06,2,2,39.4,0.25,0.325,-1.65,41.025,1.25,1.5,0.0,118.2,56.67333333333334,1
2023-01-07,2,2,37.725,-0.75,0.325,2.975,40.949999999999996,1.75,0.25,0.0,117.725,43.79666666666666,1
