#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Hourly
# Date Range: 2022-11-01 00:00 to 2023-04-30 23:00
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1257: Skate Creek, WA
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration  Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous      N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value       None           Instantaneous      N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value       None           Instantaneous      N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Observed    Value       None           Instantaneous      N/A        Degrees fahrenheit  N/A           TOBS          Instantaneously observed air temperature                                                           
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Skate Creek (1257) 
# Washington  SNOTEL Site - 3770 ft
# Reporting Frequency: Hourly; Date Range: 2022-11-01 00:00 to 2023-04-30 23:00
#
# As of: May 14, 2023 4:24:32 PM GMT-08:00
#
Date,Station Id,Station Name,Snow Water Equivalent (in),Snow Depth (in),Precipitation Accumulation (in),Air Temperature Observed (degF),Elevation (ft),Latitude,Longitude
2022-11-01 00:00,1257,Skate Creek,0.0,0,6.1,34.3,3770,46.64336,-121.83044
2022-11-01 01:00,1257,Skate Creek,0.0,0,6.1,34.2,3770,46.64336,-121.83044
2022-11-01 02:00,1257,Skate Creek,0.0,0,6.1,34.2,3770,46.64336,-121.83044
2022-11-01 03:00,1257,Skate Creek,0.0,0,6.1,34.0,3770,46.64336,-121.83044
2022-11-01 04:00,1257,Skate Creek,0.0,0,6.1,33.8,3770,46.64336,-121.83044
2022-11-01 05:00,1257,Skate Creek,0.0,0,6.1,33.8,3770,46.64336,-121.83044
2022-11-01 06:00,1257,Skate Creek,0.0,0,6.1,33.4,3770,46.64336,-121.83044
2022-11-01 07:00,1257,Skate Creek,0.0,0,6.1,33.3,3770,46.64336,-121.83044
2022-11-01 08:00,1257,Skate Creek,0.0,0,6.1,33.4,3770,46.64336,-121.83044
2022-11-01 09:00,1257,Skate Creek,0.0,0,6.0,33.8,3770,46.64336,-121.83044
2022-11-01 10:00,1257,Skate Creek,0.0,0,6.0,34.3,3770,46.64336,-121.83044
2022-11-01 11:00,1257,Skate Creek,0.0,0,5.9,34.2,3770,46.64336,-121.83044
2022-11-01 12:00,1257,Skate Creek,0.0,0,5.9,34.5,3770,46.64336,-121.83044
2022-11-01 13:00,1257,Skate Creek,0.0,0,5.9,35.1,3770,46.64336,-121.83044
2022-11-01 14:00,1257,Skate Creek,0.0,0,6.0,34.5,3770,46.64336,-121.83044
2022-11-01 15:00,1257,Skate Creek,0.0,0,6.0,34.0,3770,46.64336,-121.83044
2022-11-01 16:00,1257,Skate Creek,0.0,0,6.1,34.2,3770,46.64336,-121.83044
2022-11-01 17:00,1257,Skate Creek,0.0,0,6.1,33.8,3770,46.64336,-121.83044
2022-11-01 18:00,1257,Skate Creek,0.0,0,6.1,32.9,3770,46.64336,-121.83044
2022-11-01 19:00,1257,Skate Creek,0.0,0,6.2,32.0,3770,46.64336,-121.83044
2022-11-01 20:00,1257,Skate Creek,0.0,0,6.1,32.4,3770,46.64336,-121.83044
2022-11-01 21:00,1257,Skate Creek,0.0,0,6.1,32.2,3770,46.64336,-121.83044
2022-11-01 22:00,1257,Skate Creek,0.1,0,6.2,32.0,3770,46.64336,-121.83044
2022-11-01 23:00,1257,Skate Creek,0.2,160,6.3,32.0,3770,46.64336,-121.83044
2022-11-02 00:00,1257,Skate Creek,0.2,1,6.3,31.1,3770,46.64336,-121.83044
2022-11-02 01:00,1257,Skate Creek,0.2,160,6.4,30.9,3770,46.64336,-121.83044
