"Date/Time (PST)","Battery Voltage  (v) ","Precipitation  ("") ","Relative Humidity  (%) ","Temperature  (deg F) ","Wind Direction  (deg.) ","Wind Speed Average  (mph) ","Wind Speed Maximum  (mph) ","Wind Speed Minimum  (mph) "
"2022-12-31 23:00:00",12.44,0,100,35.33,274.7,-0.001,0.417,-0.033
"2022-12-31 22:00:00",12.43,0,100,35.03,309.8,-0.002,0.333,-0.033
"2022-12-31 21:00:00",12.46,0,100,35.27,332,0.742,6.169,-0.033
"2022-12-31 20:00:00",12.46,0,100,34.55,315.5,0.263,2.518,-0.05
"2022-12-31 19:00:00",12.46,0,100,35.69,311.3,0.84,6.119,-0.033
"2022-12-31 18:00:00",12.48,0,100,35.27,323.1,1.243,7.55,-0.017
"2022-12-31 17:00:00",12.46,0,98.9,35.27,310.8,0.678,4.302,-0.033
"2022-12-31 16:00:00",12.48,0,97.3,37.13,314.3,0.356,3.885,-0.033
"2022-12-31 15:00:00",12.48,0,97.6,38.93,289,0.046,1.901,-0.017
"2022-12-31 14:00:00",12.49,0,96.7,39.05,299.5,0.032,0.9,-0.033
"2022-12-31 13:00:00",12.49,0,96.9,39.47,290.5,0.081,1.801,-0.033
"2022-12-31 12:00:00",12.49,0,97.5,39.66,229.6,0.014,1.301,-0.033
"2022-12-31 11:00:00",12.49,0,98.6,37.98,275.9,0.337,3.668,-0.033
"2022-12-31 10:00:00",12.5,0,100,37.07,290.4,0.084,2.384,-0.05
"2022-12-31 09:00:00",12.51,0,100,36,271.1,0.211,5.919,-0.033
"2022-12-31 08:00:00",12.49,0,100,35.22,48.52,0.01,1.084,-0.033
"2022-12-31 07:00:00",12.51,0,100,35.45,305.7,0.018,1.05,-0.033
"2022-12-31 06:00:00",12.51,0,100,35.21,147.8,-0.004,0.067,-0.033
"2022-12-31 05:00:00",12.52,0,100,35.51,303.3,0.419,5.769,-0.033
"2022-12-31 04:00:00",12.52,0,100,35.03,202.1,0.019,1.901,-0.033
"2022-12-31 03:00:00",12.53,0,100,35.04,273.7,0.002,0.4,-0.05
"2022-12-31 02:00:00",12.55,0,100,34.91,86.9,0.014,1.334,-0.033
"2022-12-31 01:00:00",12.59,0,100,35.27,332.1,0.008,0.4,-0.033
"2022-12-31 00:00:00",12.42,0,100,35.69,356.8,-0.004,0.1,-0.033
"2022-12-30 23:00:00",12.42,0,100,35.45,320,0.028,2.734,-0.05
"2022-12-30 22:00:00",12.43,0,100,34.91,89.6,-0.005,0,-0.033
"2022-12-30 21:00:00",12.44,0,100,35.03,87.2,-0.004,0.017,-0.033
"2022-12-30 20:00:00",12.44,0,100,35.27,88,-0.005,0,-0.05
"2022-12-30 19:00:00",12.43,0,100,35.51,56.13,-0.004,0.017,-0.033
"2022-12-30 18:00:00",12.44,0,100,36.83,226.1,0.098,5.369,-0.033
"2022-12-30 17:00:00",12.44,0,99.6,37.67,301.5,0.276,3.135,-0.017
"2022-12-30 16:00:00",12.44,0,98.6,38.51,206.4,0.01,0.884,-0.033
"2022-12-30 15:00:00",12.46,0,94.8,40.44,302.6,0.255,5.102,-0.033
"2022-12-30 14:00:00",12.46,0,91.8,40.91,260.9,0.447,5.852,-0.017
"2022-12-30 13:00:00",12.46,0,96,40.92,144.1,0.321,7.1,-0.033
"2022-12-30 12:00:00",12.44,0,95.7,40.79,143.6,1.319,7.39,-0.017
"2022-12-30 11:00:00",12.45,0,97.1,39.54,148.7,1.484,10.05,-0.017
"2022-12-30 10:00:00",12.46,0,97.9,39.18,135.4,2.598,9.49,-0.017
"2022-12-30 09:00:00",12.46,0,98.6,38.64,146.5,2.795,13.46,-0.017
"2022-12-30 08:00:00",12.46,0,100,37.62,291,1.925,10.51,-0.033
"2022-12-30 07:00:00",12.46,0,100,38.1,300.3,5.047,13.07,-0.017
"2022-12-30 06:00:00",12.48,0,100,38.28,297.8,8.11,16.66,2.901
"2022-12-30 05:00:00",12.47,0.01,100,38.81,299,6.025,13.99,0.867
"2022-12-30 04:00:00",12.46,0,100,39.66,287.2,1.579,16.49,-0.033
"2022-12-30 03:00:00",12.49,0,100,39.41,135.8,0.032,1.784,-0.033
"2022-12-30 02:00:00",12.49,0,100,38.69,123.3,0.285,4.835,-0.033
"2022-12-30 01:00:00",12.5,0,100,38.76,157.4,3.55,14.84,-0.017
"2022-12-30 00:00:00",12.5,0.05,100,37.92,149.3,7.55,21.29,0.85
"2022-12-29 23:00:00",12.49,0.06,97.7,37.02,140.1,8.58,21.88,-0.1
"2022-12-29 22:00:00",12.5,0.07,99.2,38.39,249.8,3.401,13.27,-0.017
"2022-12-29 21:00:00",12.5,0.02,98.3,39.18,130.8,1.561,9.32,-0.033
"2022-12-29 20:00:00",12.49,0.02,100,39.84,150.9,0.857,6.887,-0.033
