Date,Max Windspeed 24hr,Was High Winds 24hr
2022-01-02,0.0,0
2022-01-03,0.0,0
2022-01-04,0.0,0
2022-01-05,0.0,0
2022-01-06,0.0,0
2022-01-07,0.0,0
2022-01-08,6.839,0
2022-01-09,4.055,0
2022-01-10,2.806,0
2022-01-11,1.074,0
2022-01-12,2.017,0
2022-01-13,2.674,0
2022-01-14,2.367,0
2022-01-15,0.46,0
2022-01-16,0.153,0
2022-01-17,1.578,0
2022-01-18,2.652,0
2022-01-19,2.06,0
2022-01-20,2.17,0
2022-01-21,5.239,0
2022-01-22,6.357,0
2022-01-23,3.047,0
2022-01-24,0.241,0
2022-01-25,4.34,0
2022-01-26,1.819,0
2022-01-27,2.411,0
2022-01-28,1.578,0
2022-01-29,2.915,0
2022-01-30,3.398,0
2022-01-31,3.332,0
2022-02-01,5.327,0
2022-02-02,3.814,0
2022-02-03,3.704,0
2022-02-04,2.981,0
2022-02-05,3.42,0
2022-02-06,6.949,0
2022-02-07,1.797,0
2022-02-08,7.277,0
2022-02-09,5.809,0
2022-02-10,4.472,0
2022-02-11,6.729,0
2022-02-12,5.721,0
2022-02-13,2.455,0
2022-02-14,2.389,0
2022-02-15,5.02,0
2022-02-16,5.94,0
2022-02-17,6.291,0
2022-02-18,12.36,0
2022-02-19,6.006,0
2022-02-20,7.562,0
2022-02-21,5.173,0
2022-02-22,6.576,0
2022-02-23,6.203,0
2022-02-24,5.502,0
2022-02-25,4.296,0
2022-02-26,5.02,0
2022-02-27,4.362,0
2022-02-28,3.902,0
2022-03-01,1.337,0
2022-03-02,4.669,0
2022-03-03,2.674,0
2022-03-04,9.1,0
2022-03-05,6.357,0
2022-03-06,7.014,0
2022-03-07,7.08,0
2022-03-08,8.35,0
2022-03-09,9.56,0
2022-03-10,6.576,0
2022-03-11,5.085,0
2022-03-12,6.795,0
2022-03-13,6.423,0
2022-03-14,5.962,0
2022-03-15,4.362,0
2022-03-16,6.729,0
2022-03-17,8.44,0
2022-03-18,4.055,0
2022-03-19,5.107,0
2022-03-20,9.12,0
2022-03-21,6.686,0
2022-03-22,4.735,0
2022-03-23,4.121,0
2022-03-24,7.497,0
2022-03-25,6.51,0
2022-03-26,4.735,0
2022-03-27,6.094,0
2022-03-28,4.932,0
2022-03-29,5.129,0
2022-03-30,5.875,0
2022-03-31,9.51,0
2022-04-01,5.809,0
2022-04-02,5.962,0
2022-04-03,9.25,0
2022-04-04,5.94,0
2022-04-05,6.839,0
2022-04-06,7.716,0
2022-04-07,6.247,0
2022-04-08,6.203,0
2022-04-09,10.48,0
2022-04-10,10.83,0
2022-04-11,8.4,0
2022-04-12,6.576,0
2022-04-13,9.21,0
2022-04-14,7.234,0
2022-04-15,8.35,0
2022-04-16,7.694,0
2022-04-17,5.699,0
2022-04-18,7.387,0
2022-04-19,6.335,0
2022-04-20,8.35,0
2022-04-21,10.7,0
2022-04-22,8.09,0
2022-04-23,9.38,0
2022-04-24,7.409,0
2022-04-25,7.804,0
2022-04-26,6.949,0
2022-04-27,8.99,0
2022-04-28,13.02,0
2022-04-29,6.51,0
2022-04-30,8.15,0
2022-05-01,7.431,0
2022-05-02,6.861,0
2022-05-03,6.116,0
2022-05-04,12.17,0
2022-05-05,6.664,0
2022-05-06,10.24,0
2022-05-07,9.71,0
2022-05-08,8.07,0
2022-05-09,10.96,0
2022-05-10,9.58,0
2022-05-11,9.56,0
2022-05-12,7.957,0
2022-05-13,9.01,0
2022-05-14,9.29,0
2022-05-15,5.568,0
