"Date/Time (PST)","Battery Voltage  (v) ","Precipitation  ("") ","Relative Humidity  (%) ","Total Snow Depth  ("") ","24 Hour Snow  ("") ","Solar Radiation  (W/m2) ","Temperature  (deg F) ","Wind Direction  (deg.) ","Wind Speed Average  (mph) ","Wind Speed Maximum  (mph) ","Wind Speed Minimum  (mph) "
"2023-05-25 10:00:00",13.18,0,61.95,111.9,0.827,541.4548,57.39,71.29,0.769,3.529,0
"2023-05-25 09:00:00",13.17,0,67.69,111.9,0.827,441.3405,55.6,85.9,1.305,4.625,0
"2023-05-25 08:00:00",13.17,0,65.19,111.9,0.826,323.6836,56.73,92.7,0,0,0
"2023-05-25 07:00:00",13.17,0,74.66,111.9,0.819,261.6064,53.01,66.92,0.142,3.376,0
"2023-05-25 06:00:00",13.17,0,86.4,111.9,0.812,126.5865,49.09,312.8,0,0,0
"2023-05-25 05:00:00",13.17,0,88.2,111.9,0.678,18.79951,47.92,326.5,0,0,0
"2023-05-25 04:00:00",13.17,0,87.9,111.9,0.68,0.1271317,47.84,180,0,0,0
"2023-05-25 03:00:00",13.17,0,81,111.9,0.821,0,50.84,63.47,0,0,0
"2023-05-25 02:00:00",13.17,0,78.4,111.9,0.825,0,52.48,305.4,0.014,1.162,0
"2023-05-25 01:00:00",13.17,0,77.33,111.9,0.826,0,52.48,323.6,0,0,0
"2023-05-25 00:00:00",13.17,0,78.38,111.9,0.827,0,52.79,318.8,0.003,0.57,0
"2023-05-24 23:00:00",13.17,0,80,111.9,0.827,0,52.77,71.53,0,0,0
"2023-05-24 22:00:00",13.17,0,80,111.9,0.826,0,53.12,99.4,0,0,0
"2023-05-24 21:00:00",13.17,0,77.53,111.9,0.826,0.04031058,53.8,121.9,0,0,0
"2023-05-24 20:00:00",13.18,0,73.94,111.9,0.827,19.82397,55.31,310.5,0,0,0
"2023-05-24 19:00:00",13.18,0,60.92,111.9,0.831,127.5117,59.52,95.8,0,0,0
"2023-05-24 18:00:00",13.18,0,47.86,111.9,0.835,279.9174,61.87,110.5,0.803,5.305,0
"2023-05-24 17:00:00",13.18,0,49.2,111.9,0.801,798.5071,62.98,139.7,0.452,5.217,0
"2023-05-24 16:00:00",13.18,0,51.58,111.9,0.835,714.8265,62.41,148,0.876,3.748,0
"2023-05-24 15:00:00",13.18,0,56.86,111.9,0.835,411.2028,59.87,134.3,1.686,4.647,0
"2023-05-24 14:00:00",13.18,0,40.88,111.9,0.707,2306.107,66.48,116.1,1.313,6.138,0
"2023-05-24 13:00:00",13.18,0,63.39,111.9,0.836,768.2114,60.31,124.1,0.85,4.472,0
"2023-05-24 12:00:00",13.18,0,41.23,111.9,0.769,738.8181,65.03,125.2,0.656,4.603,0
"2023-05-24 11:00:00",13.18,0,38.22,111.9,0.705,1089.916,67.03,124.6,1.268,5.984,0
"2023-05-24 10:00:00",13.18,0,40.61,111.9,0.835,411.5589,64.71,176.6,1.119,4.077,0
"2023-05-24 09:00:00",13.18,0,44.95,111.9,0.834,486.2565,60.54,261.1,1.007,4.362,0
"2023-05-24 08:00:00",13.17,0,44.59,111.9,0.827,271.9626,59.8,274.2,1.191,4.581,0
"2023-05-24 07:00:00",13.17,0,52.97,-2.015,0.822,156.8134,55.55,253.9,1.076,3.31,0
"2023-05-24 06:00:00",13.17,0,65.88,111.9,0.679,89.09247,49.67,271.4,1.337,4.099,0
"2023-05-24 05:00:00",13.17,0,66.99,111.9,0.816,26.92089,48.99,270.8,1.543,4.077,0
"2023-05-24 04:00:00",13.17,0,64.83,111.9,0.819,0.09302352,49.9,262.4,1.974,4.669,0
"2023-05-24 03:00:00",13.17,0,57.5,111.9,0.824,0,52.44,276.2,2.128,4.822,0
"2023-05-24 02:00:00",13.17,0,59.94,111.9,0.827,0,52.44,276.6,1.238,4.559,0
"2023-05-24 01:00:00",13.17,0,55.75,111.9,0.825,0,53.98,271.6,1.107,4.121,0
"2023-05-24 00:00:00",13.17,0,55.89,111.9,0.827,0,54.68,270,1.19,4.625,0
"2023-05-23 23:00:00",13.17,0,51.22,111.9,0.827,0,56.53,254.2,1.602,5.765,0
"2023-05-23 22:00:00",13.17,0,50.34,111.9,0.827,0,57.14,264.6,1.505,5.283,0
"2023-05-23 21:00:00",13.17,0,50.77,111.9,0.827,0,57.7,277.6,0.112,3.507,0
"2023-05-23 20:00:00",13.18,0,51.23,111.9,0.827,21.70623,58.15,256.8,1.503,4.757,0
"2023-05-23 19:00:00",13.18,0,49.25,111.9,0.827,99.15406,58.83,237.8,3.021,6.927,0
"2023-05-23 18:00:00",13.18,0,44.49,111.9,0.835,216.9228,61.03,253.3,1.864,6.379,0
"2023-05-23 17:00:00",13.18,0,37.54,111.9,0.835,392.9541,63.55,254.6,1.147,5.042,0
"2023-05-23 16:00:00",13.18,0,33.3,111.9,0.773,708.5255,66.47,96.5,0.815,4.954,0
"2023-05-23 15:00:00",13.18,0,31.13,111.9,0.707,814.6503,67.75,74.67,0.301,4.209,0
"2023-05-23 14:00:00",13.18,0,32.03,111.9,0.776,742.8834,66.71,115,0.434,3.617,0
"2023-05-23 13:00:00",13.18,0,31.58,111.9,0.718,2579.94,67.29,153.4,1.286,4.384,0
"2023-05-23 12:00:00",13.18,0,29.08,-2.683,0.448,3601.966,68.11,147.9,1.485,4.45,0
"2023-05-23 11:00:00",13.18,0,31.29,111.9,0.801,1504.822,66.44,164.3,1.215,3.551,0
"2023-05-23 10:00:00",13.18,0,34.75,-1.917,0.835,299.5102,62.76,312,1.579,5.721,0
"2023-05-23 09:00:00",13.17,0,38.43,-1.869,0.827,853.4688,59.62,282.6,1.443,7.935,0
"2023-05-23 08:00:00",13.17,0,41.67,-1.671,0.827,217.9466,56.6,274.9,1.134,4.406,0
"2023-05-23 07:00:00",13.17,0,47.12,-1.551,0.821,258.8376,53.12,263.5,0.765,3.836,0
"2023-05-23 06:00:00",13.17,0,54.42,-1.917,0.808,99.43629,49.95,268.9,0.555,2.959,0
"2023-05-23 05:00:00",13.17,0,60.93,-1.724,0.671,16.31258,45.55,274.3,0.854,3.463,0
"2023-05-23 04:00:00",13.17,0,54.15,-1.683,0.808,0.1116267,47.99,275.8,0.965,3.748,0
"2023-05-23 03:00:00",13.17,0,57.64,-1.707,0.812,0,47.08,273.7,0.599,3.31,0
"2023-05-23 02:00:00",13.17,0,56.15,-1.908,0.678,0,48.14,291.9,1.228,3.617,0
"2023-05-23 01:00:00",13.17,0,51.29,-2.094,0.683,0,50.68,292.3,0.955,4.669,0
"2023-05-23 00:00:00",13.17,0,53.05,-2.158,0.685,0,50.66,295.9,0.664,3.2,0
"2023-05-22 23:00:00",13.17,0,49.62,-2.383,0.822,0,52.04,292.5,1.523,4.647,0
"2023-05-22 22:00:00",13.17,0,47.14,-2.474,0.826,0,53.07,288.8,2.159,3.946,0
"2023-05-22 21:00:00",13.17,0,46.63,-2.405,0.827,0.04961299,53.56,287.9,2.107,4.691,0
"2023-05-22 20:00:00",13.17,0,47.73,111.9,0.826,17.15707,53.67,294.7,2.479,4.8,0
"2023-05-22 19:00:00",13.17,0,45.67,111.9,0.827,135.5195,54.99,296.4,2.494,5.37,0
"2023-05-22 18:00:00",13.17,0,44.77,111.9,0.827,257.7925,55.61,298.6,2.662,5.37,0
"2023-05-22 17:00:00",13.18,0,45.61,111.9,0.827,333.3013,55.58,292.3,2.479,5.787,0
"2023-05-22 16:00:00",13.18,0,46.65,111.9,0.827,471.9733,55.74,291.8,2.677,6.247,0
"2023-05-22 15:00:00",13.18,0,44.06,111.9,0.834,1027.223,56.83,287.2,2.771,5.59,0
"2023-05-22 14:00:00",13.18,0,40.94,111.9,0.835,1176.887,59.18,289.7,1.947,5.853,0
"2023-05-22 13:00:00",13.18,0,38.93,111.9,0.835,1283.799,59.62,291.9,2.309,5.875,0
"2023-05-22 12:00:00",13.18,0,35.76,-2.181,0.703,1596.233,60.94,288.5,2.244,6.554,0
"2023-05-22 11:00:00",13.18,0,36.59,111.9,0.801,1158.33,60.5,274.4,2.264,6.357,0
