"Date/Time (PST)","Battery Voltage  (v) ","Relative Humidity  (%) ","Temperature  (deg F) ","Wind Direction  (deg.) ","Wind Speed Average  (mph) ","Wind Speed Maximum  (mph) ","Wind Speed Minimum  (mph) "
"2023-05-18 07:00:00",13.57,68.35,54.23,86.4,5.362,7.766,2.824
"2023-05-18 06:00:00",13.59,70.55,51.51,118.8,6.176,9.18,2.118
"2023-05-18 05:00:00",13.59,65.67,50.69,183.5,5.793,9.88,2.824
"2023-05-18 04:00:00",13.59,65.31,51.29,193.7,7.868,11.3,2.824
"2023-05-18 03:00:00",13.58,64.95,51.33,183.2,8.07,11.3,2.824
"2023-05-18 02:00:00",13.58,62.17,51.49,168.6,8.23,12,4.236
"2023-05-18 01:00:00",13.56,78.7,50.57,144,10.27,14.83,4.942
"2023-05-18 00:00:00",13.57,78.94,50.3,137.4,12.75,16.94,8.47
"2023-05-17 23:00:00",13.57,84.1,49.44,116.8,12.13,16.24,8.47
"2023-05-17 22:00:00",13.55,83.6,51.03,89.2,9.69,13.41,4.942
"2023-05-17 21:00:00",13.54,85.1,51.84,39.02,5.166,10.59,0
"2023-05-17 20:00:00",13.54,86.1,52.99,334.2,6.109,8.47,2.118
"2023-05-17 19:00:00",13.52,81.2,54.94,330.9,3.726,6.354,0
"2023-05-17 18:00:00",13.5,73.59,57.08,312.4,8.54,12.71,4.942
"2023-05-17 17:00:00",13.51,64.65,60.46,317,4.713,15.53,0
"2023-05-17 16:00:00",13.52,46.77,62.78,354.1,1.9,6.354,0
"2023-05-17 15:00:00",13.51,42.22,63.21,57.82,2.793,6.354,0.706
"2023-05-17 14:00:00",13.51,44.19,62.2,102.1,4.703,9.88,0.706
"2023-05-17 13:00:00",13.5,48.83,60.79,85.6,6.436,11.3,2.118
"2023-05-17 12:00:00",13.51,51.69,59.84,71.2,5.872,12,0.706
"2023-05-17 11:00:00",13.5,53.44,59.41,92.1,5.909,14.83,1.412
