"Date/Time (PST)","Battery Voltage  (v) ","Wind Direction  (deg.) ","Wind Speed Average  (mph) ","Wind Speed Maximum  (mph) ","Wind Speed Minimum  (mph) "
"2022-12-31 23:00:00",13.3,266,13.7,21.89,9.18
"2022-12-31 22:00:00",13.3,269.1,15.07,19.77,9.88
"2022-12-31 21:00:00",13.3,276.3,13.36,18.36,9.18
"2022-12-31 20:00:00",13.3,273.7,17.08,23.3,8.47
"2022-12-31 19:00:00",13.3,274.1,19.81,32.48,9.18
"2022-12-31 18:00:00",13.3,275.6,21.66,33.18,12.71
"2022-12-31 17:00:00",13.3,280.6,14.7,25.42,6.354
"2022-12-31 16:00:00",13.31,274.3,19.18,28.95,12.71
"2022-12-31 15:00:00",13.31,276.1,18.44,28.95,9.18
"2022-12-31 14:00:00",13.31,275.7,23.16,31.06,13.41
"2022-12-31 13:00:00",13.31,266.3,23.75,36.01,14.83
"2022-12-31 12:00:00",13.31,274.5,21.14,31.77,12.71
"2022-12-31 11:00:00",13.31,274.4,25.64,42.36,13.41
"2022-12-31 10:00:00",13.31,274.3,32.95,49.42,23.3
"2022-12-31 09:00:00",13.3,275.7,30.66,48.01,19.06
"2022-12-31 08:00:00",13.3,275.8,32.68,48.01,16.94
"2022-12-31 07:00:00",13.3,269.8,33.01,55.77,16.94
"2022-12-31 06:00:00",13.3,275,36.77,52.95,24
"2022-12-31 05:00:00",13.3,271.6,39.74,60.72,23.3
"2022-12-31 04:00:00",13.3,271.4,39.45,66.36,18.36
"2022-12-31 03:00:00",13.3,275.6,30.97,52.24,16.24
"2022-12-31 02:00:00",13.3,275.8,28.56,43.07,17.65
"2022-12-31 01:00:00",13.3,277.6,23.68,41.65,13.41
"2022-12-31 00:00:00",13.3,275.9,25.84,41.65,14.12
"2022-12-30 23:00:00",13.3,273.3,21.05,33.18,12.71
"2022-12-30 22:00:00",13.3,270.7,18.61,25.42,12.71
"2022-12-30 21:00:00",13.3,267.6,14.81,24,8.47
"2022-12-30 20:00:00",13.3,276.8,17.32,31.06,9.18
"2022-12-30 19:00:00",13.29,280.4,30.72,44.48,18.36
"2022-12-30 18:00:00",13.29,265.4,27.82,38.12,18.36
"2022-12-30 17:00:00",13.29,265,22.73,36.01,14.12
"2022-12-30 16:00:00",13.3,269.1,24.81,38.83,14.83
"2022-12-30 15:00:00",13.3,268.3,28.87,43.77,17.65
"2022-12-30 14:00:00",13.3,274.1,36.31,53.66,23.3
"2022-12-30 13:00:00",13.3,272,35,55.77,20.47
"2022-12-30 12:00:00",13.3,270,33.28,56.48,17.65
"2022-12-30 11:00:00",13.3,265.9,37.77,66.36,19.06
"2022-12-30 10:00:00",13.3,258.7,34.7,66.36,12.71
"2022-12-30 09:00:00",13.3,260.9,28.33,50.83,10.59
"2022-12-30 08:00:00",13.3,277.4,27.67,45.18,12.71
"2022-12-30 07:00:00",13.3,278.4,27.73,43.77,16.24
"2022-12-30 06:00:00",13.3,271.4,33.31,60.72,20.47
"2022-12-30 05:00:00",13.3,260.3,39.27,61.42,17.65
"2022-12-30 04:00:00",13.3,262.1,44.88,72.72,22.59
"2022-12-30 03:00:00",13.3,260.7,40.31,66.36,17.65
"2022-12-30 02:00:00",13.3,239,28.85,56.48,8.47
"2022-12-30 01:00:00",13.3,133.5,16.35,27.53,7.06
"2022-12-30 00:00:00",13.3,111.6,20.86,31.06,12
"2022-12-29 23:00:00",13.3,112.1,19.32,26.83,14.12
"2022-12-29 22:00:00",13.3,114.4,13.57,19.77,9.18
"2022-12-29 21:00:00",13.3,168.7,9.39,16.24,4.236
"2022-12-29 20:00:00",13.3,222.4,11.49,26.12,2.824
"2022-12-29 19:00:00",13.3,263.8,15.67,31.06,4.942
"2022-12-29 18:00:00",13.3,260,28.17,52.24,16.94
"2022-12-29 17:00:00",13.31,258.7,29.62,45.18,18.36
"2022-12-29 16:00:00",13.31,264,26.3,39.54,14.83
"2022-12-29 15:00:00",13.31,260.8,22.81,40.95,11.3
"2022-12-29 14:00:00",13.31,260.7,12.23,32.48,1.412
"2022-12-29 13:00:00",13.31,106.6,5.142,10.59,0
"2022-12-29 12:00:00",13.31,104.4,11,15.53,6.354
"2022-12-29 11:00:00",13.31,111.9,13.4,20.47,9.18
"2022-12-29 10:00:00",13.31,114,15.06,21.89,10.59
"2022-12-29 09:00:00",13.31,116,19.11,26.83,12.71
"2022-12-29 08:00:00",13.3,114.1,19.58,25.42,13.41
"2022-12-29 07:00:00",13.3,116.2,18.96,27.53,12.71
"2022-12-29 06:00:00",13.3,118.4,11.02,19.06,7.766
"2022-12-29 05:00:00",13.3,115.9,12.35,19.06,7.766
"2022-12-29 04:00:00",13.3,110.6,12.51,16.94,2.824
"2022-12-29 03:00:00",13.3,127.3,4.503,7.06,1.412
"2022-12-29 02:00:00",13.3,162,5.028,10.59,0.706
"2022-12-29 01:00:00",13.3,259.7,12.59,19.77,7.06
"2022-12-29 00:00:00",13.3,270.6,14.71,23.3,7.06
"2022-12-28 23:00:00",13.3,269,17.5,29.65,9.18
"2022-12-28 22:00:00",13.3,263.5,19.32,33.89,9.88
"2022-12-28 21:00:00",13.3,260.7,16.78,26.83,10.59
"2022-12-28 20:00:00",13.3,269.3,16.74,28.24,9.88
"2022-12-28 19:00:00",13.3,277.5,17.7,27.53,9.88
"2022-12-28 18:00:00",13.3,279.7,20.52,33.18,9.88
"2022-12-28 17:00:00",13.31,280.8,26.47,41.65,16.24
"2022-12-28 16:00:00",13.31,279.8,30.89,41.65,18.36
"2022-12-28 15:00:00",13.31,280.8,32.29,45.89,21.18
"2022-12-28 14:00:00",13.31,281.2,30.82,43.77,20.47
"2022-12-28 13:00:00",13.31,284.1,33.77,51.54,22.59
"2022-12-28 12:00:00",13.31,285.1,36.7,55.07,23.3
"2022-12-28 11:00:00",13.31,284.8,39.58,62.13,24
"2022-12-28 10:00:00",13.31,281.7,45.6,72.01,24.71
"2022-12-28 09:00:00",13.31,279.1,44.19,65.66,26.83
"2022-12-28 08:00:00",13.3,278.7,48.57,71.31,26.12
"2022-12-28 07:00:00",13.3,281.5,47.77,67.07,27.53
"2022-12-28 06:00:00",13.3,279.8,52.32,79.78,35.3
"2022-12-28 05:00:00",13.3,282,49.28,71.31,28.24
"2022-12-28 04:00:00",13.3,279.5,47.51,70.6,27.53
"2022-12-28 03:00:00",13.3,277.2,50.15,77.66,29.65
"2022-12-28 02:00:00",13.3,281.1,52.07,82.6,28.95
"2022-12-28 01:00:00",13.3,279.4,55.43,89,33.89
"2022-12-28 00:00:00",13.3,275.7,61.2,93.2,34.59
"2022-12-27 23:00:00",13.3,279.8,62.35,97.4,34.59
"2022-12-27 22:00:00",13.3,280.6,67.22,93.2,38.12
"2022-12-27 21:00:00",13.3,274,68.75,101.7,45.18
"2022-12-27 20:00:00",13.3,279.8,59.11,96,31.77
"2022-12-27 19:00:00",13.3,277.4,68.67,101.7,15.53
"2022-12-27 18:00:00",13.31,275.8,37.61,72.01,14.83
"2022-12-27 17:00:00",13.31,271,34.48,53.66,21.18
"2022-12-27 16:00:00",13.31,268.6,37.43,80.5,16.94
"2022-12-27 15:00:00",13.31,264.4,34.97,64.95,16.24
"2022-12-27 14:00:00",13.31,260.3,38.51,66.36,14.83
"2022-12-27 13:00:00",13.31,259.2,42.49,90.4,12
"2022-12-27 12:00:00",13.31,257.1,26.99,64.25,4.942
"2022-12-27 11:00:00",13.32,252.4,30.7,71.31,4.236
"2022-12-27 10:00:00",13.32,255.7,35.53,69.19,13.41
"2022-12-27 09:00:00",13.32,236.3,29.69,53.66,10.59
"2022-12-27 08:00:00",13.32,214.7,39.36,69.89,18.36
"2022-12-27 07:00:00",13.32,212.4,29.96,80.5,6.354
"2022-12-27 06:00:00",13.32,202.4,17.47,41.65,6.354
"2022-12-27 05:00:00",13.31,206.3,20.98,52.24,4.236
"2022-12-27 04:00:00",13.31,209.5,18.89,60.72,4.942
"2022-12-27 03:00:00",13.31,240.8,23.57,60.01,7.766
"2022-12-27 02:00:00",13.31,241.2,22.72,58.6,9.18
"2022-12-27 01:00:00",13.31,249.1,26.79,57.89,7.766
"2022-12-27 00:00:00",13.31,209.8,23.26,52.95,8.47
"2022-12-26 23:00:00",13.31,154.1,14.8,32.48,4.236
