"Date/Time (PST)","mph (5020') Mt. Baker - Pan Dome"
"4/30/23 10 pm",12.71
"4/30/23 9 pm",12.71
"4/30/23 8 pm",20.47
"4/30/23 7 pm",19.06
"4/30/23 6 pm",19.06
"4/30/23 5 pm",21.18
"4/30/23 4 pm",20.47
"4/30/23 3 pm",17.65
"4/30/23 2 pm",19.06
"4/30/23 1 pm",18.36
"4/30/23 12 pm",17.65
"4/30/23 11 am",15.53
"4/30/23 10 am",14.83
"4/30/23 9 am",15.53
"4/30/23 8 am",15.53
"4/30/23 7 am",
"4/30/23 6 am",12
"4/30/23 5 am",
"4/30/23 4 am",
"4/30/23 3 am",
"4/30/23 2 am",
"4/30/23 1 am",
"4/30/23 12 am",
"4/29/23 11 pm",
"4/29/23 10 pm",
"4/29/23 9 pm",
"4/29/23 8 pm",
"4/29/23 7 pm",
"4/29/23 6 pm",25.42
"4/29/23 5 pm",27.53
"4/29/23 4 pm",27.53
"4/29/23 3 pm",31.77
"4/29/23 2 pm",32.48
"4/29/23 1 pm",35.3
"4/29/23 12 pm",34.59
"4/29/23 11 am",28.24
"4/29/23 10 am",23.3
"4/29/23 9 am",28.95
"4/29/23 8 am",28.95
"4/29/23 7 am",20.47
"4/29/23 6 am",31.77
"4/29/23 5 am",32.48
"4/29/23 4 am",25.42
"4/29/23 3 am",19.77
"4/29/23 2 am",13.41
"4/29/23 1 am",12
"4/29/23 12 am",13.41
"4/28/23 11 pm",10.59
"4/28/23 10 pm",12
"4/28/23 9 pm",13.41
"4/28/23 8 pm",12.71
"4/28/23 7 pm",12.71
"4/28/23 6 pm",12
"4/28/23 5 pm",14.12
"4/28/23 4 pm",13.41
"4/28/23 3 pm",14.83
"4/28/23 2 pm",15.53
"4/28/23 1 pm",12.71
"4/28/23 12 pm",12
"4/28/23 11 am",12
"4/28/23 10 am",12.71
"4/28/23 9 am",12.71
"4/28/23 8 am",16.94
"4/28/23 7 am",15.53
"4/28/23 6 am",9.88
"4/28/23 5 am",9.18
"4/28/23 4 am",10.59
"4/28/23 3 am",9.88
