DateTime,Battery Voltage  (v) ,Relative Humidity  (%) ,Solar Radiation  (W/m2) ,Temperature  (deg F) ,Wind Direction  (deg.) ,Wind Speed Average  (mph) ,Wind Speed Maximum  (mph) ,Wind Speed Minimum  (mph) 
2022-01-01 00:00:00,12.81,33.67,0.0,7.643,19.33,11.38,17.65,6.354
2022-01-01 01:00:00,12.8,26.13,0.0,11.1,12.31,10.99,18.36,4.942
2022-01-01 02:00:00,12.78,25.91,0.0,14.56,329.3,8.76,19.06,3.53
2022-01-01 03:00:00,12.77,21.44,0.0,17.62,326.5,13.37,22.59,6.354
2022-01-01 04:00:00,12.75,22.61,0.0,17.59,330.1,13.62,26.83,6.354
2022-01-01 05:00:00,12.74,29.95,0.0,19.17,325.0,15.18,27.53,5.648
2022-01-01 06:00:00,12.73,53.84,0.0,19.4,340.1,13.82,28.95,4.236
2022-01-01 07:00:00,12.72,59.47,0.0,19.3,329.0,12.37,26.83,4.236
2022-01-01 08:00:00,12.71,59.52,4.312,18.5,333.5,11.7,22.59,4.942
2022-01-01 09:00:00,12.8,70.32,70.2,20.75,312.1,16.73,31.77,6.354
2022-01-01 10:00:00,13.15,76.59,76.17,19.62,323.9,15.66,36.01,6.354
2022-01-01 11:00:00,13.82,81.2,141.5,21.73,308.2,15.2,30.36,4.942
2022-01-01 12:00:00,14.45,73.12,72.17,19.56,259.3,9.9,24.0,2.118
2022-01-01 13:00:00,14.93,55.31,390.6,25.0,291.7,9.81,22.59,3.53
2022-01-01 14:00:00,14.67,55.25,309.0,25.69,276.6,7.719,20.47,2.824
2022-01-01 15:00:00,14.46,53.2,123.1,23.62,299.1,8.07,21.18,1.412
2022-01-01 16:00:00,14.15,46.14,35.06,26.06,269.1,9.27,23.3,4.236
2022-01-01 17:00:00,13.61,43.87,0.0,27.84,290.3,15.93,33.18,4.942
2022-01-01 18:00:00,13.32,35.2,0.0,28.16,295.4,15.44,41.65,6.354
2022-01-01 19:00:00,13.12,33.78,0.0,28.37,287.5,15.16,33.18,6.354
2022-01-01 20:00:00,12.99,37.19,0.0,28.04,271.7,13.42,28.95,4.236
2022-01-01 21:00:00,12.91,35.87,0.0,28.52,263.8,11.93,26.83,4.942
2022-01-01 22:00:00,12.86,37.22,0.0,28.44,257.8,10.89,29.65,3.53
2022-01-01 23:00:00,12.83,35.9,0.0,29.39,249.2,13.62,36.01,4.942
2022-01-02 00:00:00,12.81,32.01,0.0,30.16,257.8,14.14,37.42,4.942
2022-01-02 01:00:00,12.79,35.94,0.0,29.55,246.7,13.22,39.54,5.648
2022-01-02 02:00:00,12.78,34.77,0.0,30.41,229.9,11.34,40.95,3.53
2022-01-02 03:00:00,12.76,34.12,0.0,30.27,222.6,10.86,33.18,3.53
2022-01-02 04:00:00,12.74,47.81,0.0,27.43,187.7,10.48,22.59,3.53
2022-01-02 05:00:00,12.73,42.98,0.0,28.1,191.1,9.62,19.06,2.824
2022-01-02 06:00:00,12.71,52.33,0.0,26.6,181.4,8.95,34.59,2.824
2022-01-02 07:00:00,12.7,53.12,0.0,25.95,151.4,7.091,17.65,0.706
2022-01-02 08:00:00,12.7,68.78,2.57,22.41,200.8,7.623,19.77,0.706
2022-01-02 09:00:00,12.73,67.98,45.69,23.04,160.1,6.423,16.94,1.412
2022-01-02 10:00:00,12.91,84.3,116.8,22.13,171.7,7.033,14.12,2.118
2022-01-02 11:00:00,13.21,94.4,86.1,22.07,186.0,21.25,37.42,5.648
2022-01-02 12:00:00,13.42,94.9,138.4,22.24,186.8,28.43,46.6,14.83
2022-01-02 13:00:00,13.53,97.5,100.2,21.13,184.3,39.18,60.72,18.36
2022-01-02 14:00:00,13.52,97.3,90.3,20.94,178.9,27.33,55.77,13.41
2022-01-02 15:00:00,13.45,97.4,18.73,20.81,179.7,35.52,57.89,15.53
2022-01-02 16:00:00,13.24,97.7,16.08,20.88,179.1,33.2,60.01,19.77
2022-01-02 17:00:00,13.07,97.8,0.0,21.28,181.0,35.97,65.66,16.24
2022-01-02 18:00:00,12.94,98.0,0.0,21.25,183.7,45.15,61.42,26.12
2022-01-02 19:00:00,12.87,97.9,0.0,21.68,189.3,47.17,67.78,28.95
2022-01-02 20:00:00,12.82,97.9,0.0,21.43,186.4,35.95,59.3,24.71
2022-01-02 21:00:00,12.78,98.2,0.0,22.18,188.1,39.26,68.48,24.0
2022-01-02 22:00:00,12.74,98.3,0.0,22.41,191.0,39.02,59.3,23.3
2022-01-02 23:00:00,12.71,98.4,0.0,22.46,186.7,39.81,64.95,21.89
2022-01-03 00:00:00,12.7,98.4,0.0,22.57,186.9,42.87,62.83,24.0
2022-01-03 01:00:00,12.69,98.2,0.0,21.96,187.2,31.28,59.3,16.24
2022-01-03 02:00:00,12.69,97.7,0.0,20.93,174.3,18.75,45.89,4.942
2022-01-03 03:00:00,12.69,97.8,0.0,20.98,163.8,9.6,28.24,0.0
2022-01-03 04:00:00,12.69,97.5,0.0,20.65,101.3,4.903,14.12,0.706
2022-01-03 05:00:00,12.7,97.4,0.0,20.22,44.38,5.636,20.47,0.0
2022-01-03 06:00:00,12.7,97.0,0.0,19.5,50.77,4.807,12.71,1.412
2022-01-03 07:00:00,12.7,96.7,0.0,18.63,43.46,5.858,14.83,1.412
2022-01-03 08:00:00,12.7,96.3,2.256,17.94,51.78,3.912,11.3,0.0
2022-01-03 09:00:00,12.71,95.9,19.71,16.69,125.3,7.521,22.59,2.118
2022-01-03 10:00:00,12.78,95.6,46.58,16.0,251.4,11.62,31.77,2.118
2022-01-03 11:00:00,12.91,95.5,72.57,16.74,52.97,7.715,24.0,1.412
2022-01-03 12:00:00,12.99,95.3,62.23,15.93,63.96,6.783,16.94,1.412
2022-01-03 13:00:00,13.09,94.7,156.6,15.83,35.37,8.66,32.48,1.412
