"Date/Time (PST)","Battery Voltage  (v) ","Relative Humidity  (%) ","Solar Radiation  (W/m2) ","Temperature  (deg F) ","Wind Direction  (deg.) ","Wind Speed Average  (mph) ","Wind Speed Maximum  (mph) ","Wind Speed Minimum  (mph) "
"2023-05-29 08:00:00",13.34,63.45,640,45.81,352.5,7.321,12,4.942
"2023-05-29 07:00:00",12.98,58.25,409.6,44.87,348.4,10.13,15.53,7.06
"2023-05-29 06:00:00",12.75,56.8,203.4,43.76,346.6,10.61,16.94,5.648
"2023-05-29 05:00:00",12.65,53.41,44.41,42.75,341.3,11.96,17.65,7.766
"2023-05-29 04:00:00",12.67,48.54,0,42.65,348.4,15.53,21.89,11.3
"2023-05-29 03:00:00",12.7,42.79,0,42.83,0,17.63,24.71,12
"2023-05-29 02:00:00",12.74,57.3,0,41.98,2.838,16.92,23.3,12
"2023-05-29 01:00:00",12.78,54.56,0,41.51,359.5,15.98,23.3,12
"2023-05-29 00:00:00",12.83,56.61,0,40.86,359.2,12.66,21.89,7.06
"2023-05-28 23:00:00",12.9,57.28,0,41.16,341.1,11.36,17.65,6.354
"2023-05-28 22:00:00",13.03,64.58,0,41.85,351.1,12.61,19.77,8.47
"2023-05-28 21:00:00",13.22,84.3,0,40.38,11.04,9.53,13.41,6.354
"2023-05-28 20:00:00",13.47,95.8,8.68,40.53,6.714,11.02,15.53,7.766
"2023-05-28 19:00:00",13.66,88.8,129.8,42.51,8.33,10.75,16.24,6.354
"2023-05-28 18:00:00",13.96,81.1,294.7,44.37,6.233,10.09,14.12,6.354
"2023-05-28 17:00:00",13.99,74.71,404.2,46.06,15.79,9.63,14.83,5.648
"2023-05-28 16:00:00",13.97,69.14,725.7,48.69,9,7.423,12.71,4.236
"2023-05-28 15:00:00",13.99,66.76,912,49.89,334.7,7.011,12.71,3.53
"2023-05-28 14:00:00",14.01,70.05,1020,48.57,334.7,8.41,12.71,4.942
"2023-05-28 13:00:00",14.02,68.76,1015,49.04,10.61,8.16,15.53,2.118
"2023-05-28 12:00:00",14.04,61.46,1144,49.39,335.9,4.985,7.766,1.412
"2023-05-28 11:00:00",14.34,58.09,992,51,348.2,3.881,9.18,0.706
"2023-05-28 10:00:00",14.49,70.8,948,45.95,8.31,7.217,13.41,2.824
"2023-05-28 09:00:00",13.89,69.66,771.2,46.45,330.3,7.193,13.41,2.824
"2023-05-28 08:00:00",13.26,68.95,620.9,43.59,351.2,7.033,11.3,3.53
"2023-05-28 07:00:00",12.95,71.57,412.8,43.08,15.85,9.08,17.65,4.942
"2023-05-28 06:00:00",12.75,76.6,207.6,40.79,7.939,14.82,21.18,9.18
"2023-05-28 05:00:00",12.66,67.97,47.38,40.62,4.046,15.67,21.18,9.88
"2023-05-28 04:00:00",12.68,66.56,0,40.63,356.2,13.37,19.06,9.18
"2023-05-28 03:00:00",12.71,64.02,0,40.99,0.987,12.44,17.65,9.88
"2023-05-28 02:00:00",12.74,73.12,0,40.23,7.293,13.77,20.47,9.88
"2023-05-28 01:00:00",12.78,68.03,0,41.12,7.075,12.48,16.94,8.47
"2023-05-28 00:00:00",12.84,64.17,0,41.91,353,10.69,16.24,7.06
"2023-05-27 23:00:00",12.94,66.68,0,41.8,355.8,10.12,16.24,7.06
"2023-05-27 22:00:00",13.09,67.53,0,41.79,358.9,12.69,17.65,9.18
"2023-05-27 21:00:00",13.29,76.75,0,41.85,352.2,12.9,17.65,9.18
