"Date/Time (PST)","Battery Voltage  (v) ","Wind Direction  (deg.) ","Wind Speed Average  (mph) ","Wind Speed Maximum  (mph) ","Wind Speed Minimum  (mph) "
"2023-05-26 10:00:00",13.31,55.5,4.752,10.59,0.706
"2023-05-26 09:00:00",13.31,40.09,3.144,7.06,0.706
"2023-05-26 08:00:00",13.31,59.7,2.81,7.06,0
"2023-05-26 07:00:00",13.31,82.3,3.689,7.766,0.706
"2023-05-26 06:00:00",13.31,46.19,3.108,5.648,0
"2023-05-26 05:00:00",13.31,332.8,5.795,9.18,1.412
"2023-05-26 04:00:00",13.31,299.5,7.746,11.3,4.236
"2023-05-26 03:00:00",13.31,283.1,4.544,7.766,0
"2023-05-26 02:00:00",13.31,17.12,1.61,4.942,0
"2023-05-26 01:00:00",13.31,285.6,2.9,5.648,0.706
"2023-05-26 00:00:00",13.31,149.6,5.071,7.766,1.412
"2023-05-25 23:00:00",13.31,120.9,8.46,12,5.648
"2023-05-25 22:00:00",13.31,103.4,6.68,9.18,4.236
"2023-05-25 21:00:00",13.31,107.8,6.432,8.47,4.942
"2023-05-25 20:00:00",13.31,99.1,5.532,8.47,2.824
"2023-05-25 19:00:00",13.31,81.4,5.799,9.18,2.118
"2023-05-25 18:00:00",13.31,93.2,7.068,14.83,2.824
"2023-05-25 17:00:00",13.31,107.4,8.52,14.83,0
"2023-05-25 16:00:00",13.31,209.4,1.406,4.942,0
"2023-05-25 15:00:00",13.31,90.3,5.654,9.88,2.118
"2023-05-25 14:00:00",13.31,94.5,2.855,7.766,0
"2023-05-25 13:00:00",13.31,93.1,6.546,12.71,0.706
"2023-05-25 12:00:00",13.31,94.5,7.358,13.41,1.412
"2023-05-25 11:00:00",13.31,104.8,5.875,12,2.118
"2023-05-25 10:00:00",13.31,98.1,5.487,9.88,2.824
"2023-05-25 09:00:00",13.31,73.42,6.238,10.59,0.706
"2023-05-25 08:00:00",13.31,83.9,3.716,6.354,0.706
"2023-05-25 07:00:00",13.31,356.2,1.392,5.648,0
"2023-05-25 06:00:00",13.31,44.66,1.11,4.236,0
"2023-05-25 05:00:00",13.31,233.6,3.738,9.18,0
"2023-05-25 04:00:00",13.31,333.3,6.764,11.3,3.53
"2023-05-25 03:00:00",13.31,0.625,5.962,9.18,4.236
"2023-05-25 02:00:00",13.31,350.3,5.819,9.18,3.53
"2023-05-25 01:00:00",13.31,309.2,8.34,14.12,4.236
"2023-05-25 00:00:00",13.31,308.4,3.708,6.354,0
"2023-05-24 23:00:00",13.31,331.1,7.06,16.24,0
"2023-05-24 22:00:00",13.31,305.4,8.77,16.94,4.236
"2023-05-24 21:00:00",13.31,278.2,8.45,11.3,4.236
"2023-05-24 20:00:00",13.31,292.8,11.64,14.83,7.766
"2023-05-24 19:00:00",13.31,285.4,13.98,21.89,7.06
"2023-05-24 18:00:00",13.31,281.6,14.95,21.89,7.06
"2023-05-24 17:00:00",13.31,278.6,16.04,22.59,8.47
"2023-05-24 16:00:00",13.31,273.9,12.57,20.47,5.648
"2023-05-24 15:00:00",13.31,273.7,15.45,24,5.648
"2023-05-24 14:00:00",13.31,272,16.78,27.53,8.47
"2023-05-24 13:00:00",13.31,280.9,12.67,22.59,5.648
"2023-05-24 12:00:00",13.31,282.9,6.34,14.12,2.824
"2023-05-24 11:00:00",13.31,283.3,2.726,8.47,0
"2023-05-24 10:00:00",13.31,68.11,3.169,7.766,0
"2023-05-24 09:00:00",13.31,91.7,1.991,5.648,0
"2023-05-24 08:00:00",13.31,291.6,1.781,4.942,0
"2023-05-24 07:00:00",13.31,281.2,0.52,2.824,0
"2023-05-24 06:00:00",13.31,165.6,1.086,3.53,0
"2023-05-24 05:00:00",13.31,313,2.01,4.942,0
"2023-05-24 04:00:00",13.31,326,5.324,7.766,2.824
"2023-05-24 03:00:00",13.31,303.3,5.76,7.766,3.53
"2023-05-24 02:00:00",13.31,343,0.631,6.354,0
"2023-05-24 01:00:00",13.31,261.5,4.071,8.47,0
"2023-05-24 00:00:00",13.31,268.8,9.01,15.53,2.824
"2023-05-23 23:00:00",13.31,278.2,11.26,17.65,6.354
"2023-05-23 22:00:00",13.31,296.3,8.27,13.41,3.53
"2023-05-23 21:00:00",13.31,282.5,9.35,14.83,2.824
"2023-05-23 20:00:00",13.31,278,11.74,19.06,7.06
"2023-05-23 19:00:00",13.31,280,14.49,18.36,10.59
"2023-05-23 18:00:00",13.31,282,13.97,19.06,9.18
"2023-05-23 17:00:00",13.31,282.4,18.02,22.59,12.71
"2023-05-23 16:00:00",13.31,280.3,20.51,28.24,14.12
"2023-05-23 15:00:00",13.31,278.9,19.28,27.53,12
