#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 2022-11-01 to 2023-04-30
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 420: Cougar Mountain, WA
# 
# Data items provided in this file:
#
# Element Name             Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Air Temperature Maximum  Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Snow Depth               Delta       None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent    Delta       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Air Temperature Minimum  Delta       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Cougar Mountain (420) 
# Washington  SNOTEL Site - 3200 ft
# Reporting Frequency: Daily; Date Range: 2022-11-01 to 2023-04-30
#
# As of: May 18, 2023 7:54:53 AM GMT-08:00
#
Date,Cougar Mountain (420) Air Temperature Maximum (degF),Cougar Mountain (420) Change In Snow Depth (in) Start of Day Values,Cougar Mountain (420) Change In Snow Water Equivalent (in) Start of Day Values,Cougar Mountain (420) Change In Air Temperature Minimum (degF)
2022-11-01,38.3,0,0.0,-5.1
2022-11-02,35.1,0,0.0,-1.4
2022-11-03,37.9,0,0.0,0.9
2022-11-04,49.6,6,0.8,3.6
2022-11-05,39.6,-6,-0.7,-3.3
2022-11-06,35.4,0,-0.1,-0.5
2022-11-07,35.4,4,0.5,-0.9
2022-11-08,35.6,2,0.2,1.1
2022-11-09,34.9,0,0.0,-3.8
2022-11-10,36.7,0,0.0,2.9
2022-11-11,35.4,-1,0.0,1.2
2022-11-12,39.6,0,-0.1,-3.0
2022-11-13,41.5,-1,0.0,2.7
2022-11-14,44.2,0,0.0,3.2
2022-11-15,54.1,0,0.0,1.3
2022-11-16,52.3,-2,-0.2,-5.4
2022-11-17,40.5,0,0.0,-0.2
2022-11-18,40.5,0,0.0,0.4
2022-11-19,43.2,0,0.5,0.1
2022-11-20,43.5,0,0.1,-2.3
2022-11-21,48.6,0,-0.1,11.5
2022-11-22,44.4,-1,-0.1,-5.0
2022-11-23,43.7,0,-0.2,2.0
2022-11-24,49.6,0,-0.2,-0.4
2022-11-25,48.6,-1,-0.2,-4.3
2022-11-26,37.9,1,-0.2,0.3
2022-11-27,38.7,-1,0.1,-2.8
2022-11-28,34.5,3,0.5,-8.1
2022-11-29,26.4,2,0.4,-0.8
2022-11-30,32.0,10,1.7,0.9
2022-12-01,28.8,9,1.3,-0.5
2022-12-02,28.0,3,0.4,0.4
2022-12-03,31.1,-1,0.2,3.6
2022-12-04,33.8,-2,0.1,3.6
2022-12-05,34.7,-1,0.0,-0.2
2022-12-06,33.6,-1,0.1,1.4
2022-12-07,34.9,2,0.3,-2.5
2022-12-08,32.0,-1,0.0,-2.5
2022-12-09,31.6,3,0.7,2.9
2022-12-10,37.9,7,1.0,2.3
2022-12-11,36.9,-1,0.3,3.2
2022-12-12,34.3,-2,0.0,-3.7
2022-12-13,34.5,-2,0.1,-1.3
2022-12-14,32.4,-1,0.0,-1.3
2022-12-15,35.8,1,0.0,0.2
2022-12-16,39.6,0,0.0,3.1
2022-12-17,36.5,-1,0.0,-1.6
2022-12-18,33.8,1,0.1,-5.8
2022-12-19,26.6,4,0.8,-1.4
2022-12-20,33.8,3,0.3,1.4
2022-12-21,24.1,7,1.3,-16.6
2022-12-22,13.1,1,0.4,-5.2
2022-12-23,39.0,-5,-0.5,5.4
2022-12-24,45.7,-1,1.4,22.5
2022-12-25,46.0,-3,-0.4,9.9
2022-12-26,48.6,-5,-0.9,-1.2
2022-12-27,43.9,-5,-0.3,-4.9
2022-12-28,34.3,0,-0.1,-1.4
2022-12-29,35.4,0,0.0,0.5
2022-12-30,38.7,0,0.0,1.3
2022-12-31,,1,0.3,
2023-01-01,37.4,-1,0.4,
2023-01-02,35.2,1,-0.1,-4.0
2023-01-03,34.9,1,-0.1,-0.3
2023-01-04,36.0,0,0.0,1.0
2023-01-05,43.0,-1,0.0,6.5
2023-01-06,41.9,0,-0.1,-1.1
2023-01-07,40.3,-1,0.0,3.1
2023-01-08,40.5,-1,-0.1,-2.7
2023-01-09,39.7,0,-0.1,-0.2
2023-01-10,42.1,0,-0.1,0.6
2023-01-11,40.5,0,0.0,0.9
2023-01-12,43.5,0,0.0,1.0
2023-01-13,45.1,-2,-0.4,2.6
2023-01-14,44.1,-2,-0.7,-1.7
2023-01-15,40.5,-1,-0.5,-2.8
2023-01-16,37.6,-1,0.2,-1.3
2023-01-17,37.8,1,-0.2,0.9
2023-01-18,37.8,0,0.1,-2.5
2023-01-19,32.7,4,0.8,-2.9
2023-01-20,35.8,2,0.1,-0.2
2023-01-21,36.9,-3,0.0,1.1
2023-01-22,32.9,6,0.8,-1.6
2023-01-23,35.4,-1,0.0,0.7
2023-01-24,35.4,0,0.0,2.0
2023-01-25,38.8,0,0.2,3.6
2023-01-26,41.5,0,0.0,-0.6
2023-01-27,37.9,0,0.1,0.8
2023-01-28,35.4,-1,0.4,-10.3
2023-01-29,25.5,1,-0.1,-6.8
2023-01-30,32.0,0,0.0,1.0
2023-01-31,33.6,-1,-0.1,6.7
2023-02-01,40.1,1,0.0,2.7
2023-02-02,46.0,-1,0.0,5.8
2023-02-03,45.5,1,0.0,1.9
2023-02-04,41.4,-1,0.1,0.2
2023-02-05,40.1,0,0.2,-1.8
2023-02-06,36.5,-1,0.3,-1.1
2023-02-07,38.7,2,-0.1,-0.5
2023-02-08,36.0,-1,0.3,-1.3
2023-02-09,41.2,2,-0.3,3.6
2023-02-10,38.7,0,0.0,-1.4
2023-02-11,38.3,0,0.4,-3.1
2023-02-12,45.5,0,0.0,2.0
2023-02-13,38.8,-1,0.0,-5.6
2023-02-14,29.7,12,1.4,-2.3
2023-02-15,31.5,-1,0.0,-1.6
2023-02-16,34.9,-1,0.0,4.3
2023-02-17,33.8,-1,0.0,3.6
2023-02-18,35.1,1,0.4,-0.4
2023-02-19,36.7,1,0.8,2.2
2023-02-20,37.9,1,0.9,0.4
2023-02-21,34.0,-1,0.0,-5.4
2023-02-22,27.9,1,-0.3,-13.5
2023-02-23,16.2,-1,-0.1,-4.4
2023-02-24,29.5,0,-0.1,2.9
2023-02-25,39.4,-1,-0.1,10.8
2023-02-26,33.6,0,0.1,2.9
2023-02-27,30.2,5,0.5,-2.2
2023-02-28,32.2,0,0.1,-1.4
2023-03-01,32.4,2,0.1,-1.1
2023-03-02,32.5,-1,-0.1,6.0
2023-03-03,31.6,4,0.5,-0.4
2023-03-04,32.2,6,0.7,-0.9
2023-03-05,36.3,-1,0.0,-1.4
2023-03-06,36.5,-1,-0.2,3.4
2023-03-07,36.9,-2,-0.1,2.1
2023-03-08,34.9,0,-0.2,-3.6
2023-03-09,33.8,0,-0.1,0.0
2023-03-10,32.9,-1,0.1,2.6
2023-03-11,36.5,2,0.2,-0.2
2023-03-12,37.9,0,0.2,3.9
2023-03-13,37.9,0,1.0,-3.2
2023-03-14,37.0,3,1.3,-1.8
2023-03-15,33.8,-1,-0.1,-0.7
2023-03-16,41.5,1,0.3,-0.9
2023-03-17,46.2,0,0.0,9.5
2023-03-18,50.0,-2,0.1,3.6
2023-03-19,48.7,-2,0.0,1.8
2023-03-20,42.1,-3,0.0,-5.6
2023-03-21,47.7,-1,0.3,-2.5
2023-03-22,51.6,-1,-0.8,3.4
2023-03-23,37.9,-1,-0.1,-7.3
2023-03-24,32.2,1,0.1,-1.3
2023-03-25,32.5,3,0.2,-1.1
2023-03-26,35.6,0,0.1,1.1
2023-03-27,40.3,-1,0.0,-2.5
2023-03-28,41.7,1,0.0,9.2
2023-03-29,45.7,-1,0.0,0.1
2023-03-30,42.6,-1,0.0,-1.9
2023-03-31,40.3,-1,-0.1,-1.1
2023-04-01,34.3,3,0.7,-3.3
2023-04-02,33.8,6,0.8,-0.7
2023-04-03,32.9,2,0.3,-0.3
2023-04-04,33.8,1,0.1,0.7
2023-04-05,38.7,0,0.1,-0.2
2023-04-06,43.3,-1,0.0,8.6
2023-04-07,44.2,-4,0.4,-1.6
2023-04-08,41.0,-2,0.0,-1.8
2023-04-09,44.8,-2,-0.5,4.5
2023-04-10,39.2,-2,-0.3,-4.7
2023-04-11,34.2,-1,-0.5,-3.4
2023-04-12,36.9,5,-0.1,-1.6
2023-04-13,39.6,-1,-0.1,2.2
2023-04-14,44.8,0,0.2,-1.3
2023-04-15,45.9,-1,0.0,5.8
2023-04-16,44.1,-1,0.0,-4.9
2023-04-17,37.6,-1,0.4,-2.5
2023-04-18,37.0,1,-0.1,1.8
2023-04-19,36.1,1,-0.1,1.6
2023-04-20,36.9,0,0.1,-2.3
2023-04-21,37.9,2,0.4,4.6
2023-04-22,49.6,-1,0.1,2.4
2023-04-23,43.5,-2,0.1,-0.9
