Date,Snow Water Equivalent (in),Snow Depth (in),Precipitation Accumulation (in),Air Temperature Observed (degF),Elevation (ft)
2022-11-01 00:00,0.05,0.0,5.05,34.4,4140.0
2022-11-01 01:00,0.15000000000000002,0.0,5.0,34.25,4140.0
2022-11-01 02:00,0.15000000000000002,0.0,5.05,34.2,4140.0
2022-11-01 03:00,0.15000000000000002,0.0,5.05,33.9,4140.0
2022-11-01 04:00,0.15000000000000002,0.0,5.05,33.599999999999994,4140.0
2022-11-01 05:00,0.15000000000000002,0.0,5.05,33.55,4140.0
2022-11-01 06:00,0.15000000000000002,0.0,5.05,33.05,4140.0
2022-11-01 07:00,0.15000000000000002,0.0,5.05,32.9,4140.0
2022-11-01 08:00,0.15000000000000002,0.0,5.05,32.95,4140.0
2022-11-01 09:00,0.15000000000000002,0.0,5.05,33.45,4140.0
2022-11-01 10:00,0.15000000000000002,0.0,5.05,33.7,4140.0
2022-11-01 11:00,0.2,0.0,5.1,34.0,4140.0
2022-11-01 12:00,0.2,0.0,5.05,34.35,4140.0
2022-11-01 13:00,0.2,0.0,5.05,34.25,4140.0
2022-11-01 14:00,0.2,0.0,5.1,34.0,4140.0
2022-11-01 15:00,0.2,0.0,5.1,33.9,4140.0
2022-11-01 16:00,0.2,0.0,5.1,33.7,4140.0
2022-11-01 17:00,0.15000000000000002,0.0,5.1,33.25,4140.0
2022-11-01 18:00,0.15000000000000002,0.0,5.1,32.8,4140.0
2022-11-01 19:00,0.15000000000000002,0.0,5.1,32.25,4140.0
2022-11-01 20:00,0.15000000000000002,0.0,5.1,32.1,4140.0
2022-11-01 21:00,0.15000000000000002,0.0,5.15,31.85,4140.0
2022-11-01 22:00,0.2,0.0,5.15,31.25,4140.0
2022-11-01 23:00,0.2,0.0,5.15,30.85,4140.0
2022-11-02 00:00,0.2,0.0,5.15,30.45,4140.0
2022-11-02 01:00,0.2,0.0,5.15,30.1,4140.0
2022-11-02 02:00,0.25,-0.5,5.15,29.95,4140.0
2022-11-02 03:00,0.3,0.0,5.2,29.95,4140.0
2022-11-02 04:00,0.3,0.0,5.15,29.55,4140.0
2022-11-02 05:00,0.3,0.0,5.2,29.75,4140.0
2022-11-02 06:00,0.3,0.0,5.2,29.65,4140.0
2022-11-02 07:00,0.3,0.0,5.2,29.55,4140.0
2022-11-02 08:00,0.3,-0.5,5.2,29.6,4140.0
2022-11-02 09:00,0.35,0.0,5.2,29.95,4140.0
2022-11-02 10:00,0.35,-1.0,5.25,30.85,4140.0
2022-11-02 11:00,0.4,-0.5,5.25,32.05,4140.0
2022-11-02 12:00,0.4,0.0,5.25,32.650000000000006,4140.0
2022-11-02 13:00,0.4,0.0,5.25,33.349999999999994,4140.0
2022-11-02 14:00,0.4,0.0,5.25,33.1,4140.0
2022-11-02 15:00,0.4,0.0,5.25,32.2,4140.0
2022-11-02 16:00,0.4,0.0,5.3,31.200000000000003,4140.0
2022-11-02 17:00,0.45,0.0,5.35,30.45,4140.0
2022-11-02 18:00,0.4,0.0,5.3,30.049999999999997,4140.0
2022-11-02 19:00,0.4,0.0,5.25,29.85,4140.0
2022-11-02 20:00,0.35,0.0,5.25,29.65,4140.0
2022-11-02 21:00,0.35,0.0,5.25,29.1,4140.0
2022-11-02 22:00,0.35,0.0,5.2,29.05,4140.0
2022-11-02 23:00,0.35,0.0,5.25,29.05,4140.0
2022-11-03 00:00,0.35,0.5,5.2,28.950000000000003,4140.0
2022-11-03 01:00,0.35,0.0,5.2,29.05,4140.0
2022-11-03 02:00,0.4,0.0,5.2,28.2,4140.0
2022-11-03 03:00,0.35,0.0,5.2,28.299999999999997,4140.0
2022-11-03 04:00,0.4,0.0,5.2,29.05,4140.0
2022-11-03 05:00,0.4,0.0,5.2,29.2,4140.0
2022-11-03 06:00,0.4,0.0,5.2,29.5,4140.0
2022-11-03 07:00,0.4,0.0,5.25,29.7,4140.0
2022-11-03 08:00,0.4,0.0,5.15,30.2,4140.0
2022-11-03 09:00,0.4,0.0,5.2,30.75,4140.0
2022-11-03 10:00,0.4,0.0,5.3,31.0,4140.0
2022-11-03 11:00,0.4,0.0,5.3,31.5,4140.0
2022-11-03 12:00,0.4,0.0,5.3,31.55,4140.0
2022-11-03 13:00,0.4,0.0,5.3,31.8,4140.0
