#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Hourly
# Date Range: 2022-11-01 00:00 to 2023-04-30 23:00
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 418: Corral Pass, WA
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration  Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous      N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value       None           Instantaneous      N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value       None           Instantaneous      N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Observed    Value       None           Instantaneous      N/A        Degrees fahrenheit  N/A           TOBS          Instantaneously observed air temperature                                                           
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Corral Pass (418) 
# Washington  SNOTEL Site - 5800 ft
# Reporting Frequency: Hourly; Date Range: 2022-11-01 00:00 to 2023-04-30 23:00
#
# As of: May 14, 2023 4:11:17 PM GMT-08:00
#
Date,Station Id,Station Name,Snow Water Equivalent (in),Snow Depth (in),Precipitation Accumulation (in),Air Temperature Observed (degF),Elevation (ft),Latitude,Longitude
2022-11-01 00:00,418,Corral Pass,2.1,3,3.2,28.9,5800,47.01872,-121.46464
2022-11-01 01:00,418,Corral Pass,2.1,3,3.3,28.4,5800,47.01872,-121.46464
2022-11-01 02:00,418,Corral Pass,2.0,,3.3,27.5,5800,47.01872,-121.46464
2022-11-01 03:00,418,Corral Pass,2.0,,3.3,27.9,5800,47.01872,-121.46464
2022-11-01 04:00,418,Corral Pass,2.0,,3.3,27.3,5800,47.01872,-121.46464
2022-11-01 05:00,418,Corral Pass,2.0,3,3.3,27.1,5800,47.01872,-121.46464
2022-11-01 06:00,418,Corral Pass,2.0,,3.3,27.3,5800,47.01872,-121.46464
2022-11-01 07:00,418,Corral Pass,2.0,,3.3,27.3,5800,47.01872,-121.46464
2022-11-01 08:00,418,Corral Pass,2.0,,3.3,27.7,5800,47.01872,-121.46464
2022-11-01 09:00,418,Corral Pass,2.0,,3.4,27.1,5800,47.01872,-121.46464
2022-11-01 10:00,418,Corral Pass,2.1,,3.4,29.7,5800,47.01872,-121.46464
2022-11-01 11:00,418,Corral Pass,2.2,2,3.5,31.3,5800,47.01872,-121.46464
2022-11-01 12:00,418,Corral Pass,2.2,2,3.6,31.5,5800,47.01872,-121.46464
2022-11-01 13:00,418,Corral Pass,2.2,,3.6,29.5,5800,47.01872,-121.46464
2022-11-01 14:00,418,Corral Pass,2.2,4,3.6,30.4,5800,47.01872,-121.46464
2022-11-01 15:00,418,Corral Pass,2.2,4,3.6,29.1,5800,47.01872,-121.46464
2022-11-01 16:00,418,Corral Pass,2.2,4,3.6,28.0,5800,47.01872,-121.46464
2022-11-01 17:00,418,Corral Pass,2.1,4,3.5,26.4,5800,47.01872,-121.46464
2022-11-01 18:00,418,Corral Pass,2.1,4,3.4,26.1,5800,47.01872,-121.46464
2022-11-01 19:00,418,Corral Pass,2.0,4,3.4,25.5,5800,47.01872,-121.46464
2022-11-01 20:00,418,Corral Pass,2.0,4,3.3,24.8,5800,47.01872,-121.46464
2022-11-01 21:00,418,Corral Pass,2.0,4,3.3,25.0,5800,47.01872,-121.46464
2022-11-01 22:00,418,Corral Pass,1.9,,3.3,25.2,5800,47.01872,-121.46464
2022-11-01 23:00,418,Corral Pass,1.9,,3.2,24.1,5800,47.01872,-121.46464
2022-11-02 00:00,418,Corral Pass,1.9,4,3.2,25.2,5800,47.01872,-121.46464
2022-11-02 01:00,418,Corral Pass,1.9,,3.3,25.0,5800,47.01872,-121.46464
2022-11-02 02:00,418,Corral Pass,1.9,,3.3,24.3,5800,47.01872,-121.46464
2022-11-02 03:00,418,Corral Pass,1.9,,3.3,23.7,5800,47.01872,-121.46464
2022-11-02 04:00,418,Corral Pass,1.9,,3.2,23.9,5800,47.01872,-121.46464
2022-11-02 05:00,418,Corral Pass,2.0,,3.3,23.9,5800,47.01872,-121.46464
2022-11-02 06:00,418,Corral Pass,1.9,,3.3,23.2,5800,47.01872,-121.46464
2022-11-02 07:00,418,Corral Pass,2.0,,3.3,23.4,5800,47.01872,-121.46464
2022-11-02 08:00,418,Corral Pass,2.0,,3.4,24.1,5800,47.01872,-121.46464
2022-11-02 09:00,418,Corral Pass,2.0,,3.4,25.2,5800,47.01872,-121.46464
2022-11-02 10:00,418,Corral Pass,2.1,,3.5,26.2,5800,47.01872,-121.46464
2022-11-02 11:00,418,Corral Pass,2.1,,3.6,25.9,5800,47.01872,-121.46464
2022-11-02 12:00,418,Corral Pass,2.2,,3.6,27.7,5800,47.01872,-121.46464
2022-11-02 13:00,418,Corral Pass,2.2,,3.7,27.9,5800,47.01872,-121.46464
2022-11-02 14:00,418,Corral Pass,2.3,,3.8,30.6,5800,47.01872,-121.46464
2022-11-02 15:00,418,Corral Pass,2.4,,3.8,26.2,5800,47.01872,-121.46464
2022-11-02 16:00,418,Corral Pass,2.4,,3.8,25.7,5800,47.01872,-121.46464
2022-11-02 17:00,418,Corral Pass,2.3,,3.7,25.0,5800,47.01872,-121.46464
2022-11-02 18:00,418,Corral Pass,2.3,,3.6,24.1,5800,47.01872,-121.46464
