#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 2022-11-01 to 2023-04-30
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 711: Rainy Pass, WA
# 
# Data items provided in this file:
#
# Element Name             Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Air Temperature Maximum  Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Snow Depth               Delta       None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent    Delta       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Air Temperature Minimum  Delta       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Rainy Pass (711) 
# Washington  SNOTEL Site - 4890 ft
# Reporting Frequency: Daily; Date Range: 2022-11-01 to 2023-04-30
#
# As of: May 25, 2023 9:26:41 AM GMT-08:00
#
Date,Rainy Pass (711) Air Temperature Maximum (degF),Rainy Pass (711) Change In Snow Depth (in) Start of Day Values,Rainy Pass (711) Change In Snow Water Equivalent (in) Start of Day Values,Rainy Pass (711) Change In Air Temperature Minimum (degF)
2022-11-01,31.3,0,0.3,-4.0
2022-11-02,29.5,1,-0.1,-5.0
2022-11-03,28.9,0,-0.1,-1.6
2022-11-04,36.3,1,0.2,6.4
2022-11-05,32.0,6,1.2,-5.0
2022-11-06,27.0,4,0.4,-0.7
2022-11-07,25.9,1,0.2,-4.0
2022-11-08,20.3,3,0.2,-3.2
2022-11-09,24.1,-4,0.0,-2.2
2022-11-10,23.4,1,0.0,6.9
2022-11-11,24.1,-1,0.1,1.6
2022-11-12,29.1,0,0.0,-1.3
2022-11-13,28.8,0,0.1,6.5
2022-11-14,33.8,-1,0.0,-3.4
2022-11-15,34.0,0,0.0,0.3
2022-11-16,33.3,-1,0.0,-0.3
2022-11-17,27.9,-1,0.0,-6.3
2022-11-18,25.2,1,-0.1,-1.6
2022-11-19,23.5,0,0.0,2.1
2022-11-20,30.0,0,0.0,0.9
2022-11-21,31.5,0,0.1,8.1
2022-11-22,30.7,0,-0.1,-2.7
2022-11-23,33.3,3,0.4,7.4
2022-11-24,30.4,0,0.1,-4.7
2022-11-25,35.1,0,0.0,2.4
2022-11-26,30.9,-2,0.2,-0.4
2022-11-27,31.5,2,0.2,-7.7
2022-11-28,20.3,5,0.4,-16.1
2022-11-29,12.7,-2,-0.1,-1.6
2022-11-30,22.3,1,0.4,11.0
2022-12-01,19.9,11,0.7,-4.0
2022-12-02,16.9,-1,-0.1,-0.7
2022-12-03,21.9,1,0.1,4.5
2022-12-04,27.5,1,0.2,1.6
2022-12-05,23.9,1,0.1,2.6
2022-12-06,26.8,0,0.1,5.5
2022-12-07,24.1,0,0.0,-5.9
2022-12-08,19.4,0,0.0,-0.5
2022-12-09,22.5,2,0.3,2.7
2022-12-10,26.8,0,0.1,3.7
2022-12-11,30.4,3,0.4,2.7
2022-12-12,28.2,0,0.0,-6.3
2022-12-13,28.4,0,0.0,-0.1
2022-12-14,24.6,0,0.1,0.5
2022-12-15,29.3,0,-0.1,0.9
2022-12-16,29.7,0,0.1,2.7
2022-12-17,26.6,0,0.0,-0.2
2022-12-18,22.3,0,0.0,-21.2
2022-12-19,8.6,0,0.0,-1.3
2022-12-20,12.4,0,0.0,-0.3
2022-12-21,-0.9,7,0.9,-12.8
2022-12-22,-2.2,-1,-0.1,0.5
2022-12-23,6.4,0,0.1,7.6
2022-12-24,31.6,2,1.0,11.7
2022-12-25,34.5,-2,2.3,23.7
2022-12-26,36.0,1,1.5,0.0
2022-12-27,32.2,4,0.9,-0.1
2022-12-28,30.6,0,0.1,-9.6
2022-12-29,25.3,0,-0.1,-1.2
2022-12-30,27.9,1,0.0,5.2
2022-12-31,,5,0.6,
2023-01-01,29.5,1,0.1,
2023-01-02,23.5,-2,-0.1,-4.0
2023-01-03,22.8,-1,-0.1,0.6
2023-01-04,27.5,-1,0.0,1.9
2023-01-05,30.2,-1,0.1,6.9
2023-01-06,30.7,-1,0.1,1.8
2023-01-07,31.6,-1,0.2,-0.2
2023-01-08,31.8,1,0.2,0.4
2023-01-09,31.3,2,0.3,-4.4
2023-01-10,29.8,3,0.3,0.2
2023-01-11,30.6,1,0.2,-1.1
2023-01-12,31.1,0,0.1,5.8
2023-01-13,34.2,4,0.9,1.4
2023-01-14,34.2,1,0.5,0.6
2023-01-15,34.0,-2,0.1,-0.7
2023-01-16,33.1,-2,0.2,-5.3
2023-01-17,29.7,-1,0.0,-0.3
2023-01-18,27.3,-2,0.1,0.0
2023-01-19,27.1,4,0.3,-5.2
2023-01-20,26.2,0,0.0,-1.1
2023-01-21,25.7,-1,0.0,0.3
2023-01-22,27.9,1,0.1,1.1
2023-01-23,29.1,-1,0.1,1.3
2023-01-24,31.5,1,0.0,3.9
2023-01-25,34.2,0,0.1,1.8
2023-01-26,32.2,-4,0.0,2.0
2023-01-27,33.4,0,0.2,-0.7
2023-01-28,28.4,1,0.2,-18.9
2023-01-29,11.8,-2,-0.1,-6.8
2023-01-30,21.2,1,-0.1,3.7
2023-01-31,25.9,0,0.2,9.0
2023-02-01,29.7,2,0.1,6.5
2023-02-02,29.5,0,-0.1,-1.6
2023-02-03,30.0,-2,0.0,1.1
2023-02-04,33.4,5,0.5,5.2
2023-02-05,34.7,1,0.2,1.6
2023-02-06,34.5,1,0.1,1.3
2023-02-07,32.9,-1,0.2,-3.3
2023-02-08,28.8,4,1.2,-6.3
2023-02-09,28.6,1,0.1,3.5
2023-02-10,33.4,1,0.2,1.2
2023-02-11,30.0,-1,0.2,-2.3
2023-02-12,36.0,-2,0.1,1.8
2023-02-13,33.8,1,0.5,-1.3
2023-02-14,27.3,0,0.5,-5.0
2023-02-15,25.2,-2,0.0,-2.2
2023-02-16,30.7,-2,0.1,2.2
2023-02-17,33.3,0,0.1,6.6
2023-02-18,32.7,1,0.1,0.4
2023-02-19,29.8,1,0.1,1.8
2023-02-20,35.1,8,0.9,1.6
2023-02-21,29.1,2,0.9,-15.5
2023-02-22,18.7,0,0.0,-4.5
2023-02-23,11.7,-2,-0.1,-5.9
2023-02-24,15.6,0,-0.1,-6.1
2023-02-25,21.9,0,-0.1,13.7
2023-02-26,25.0,0,0.1,5.0
2023-02-27,21.7,3,0.4,-2.9
2023-02-28,27.5,-1,0.0,0.6
2023-03-01,25.7,-2,-0.1,1.4
2023-03-02,27.3,0,-0.1,6.7
2023-03-03,27.1,3,0.4,-0.9
2023-03-04,26.4,2,0.2,-1.7
2023-03-05,30.9,0,0.1,0.6
2023-03-06,29.7,0,0.2,-3.3
2023-03-07,30.2,-1,0.1,1.1
2023-03-08,31.3,1,0.2,5.8
2023-03-09,28.8,-2,0.3,-0.4
2023-03-10,30.7,-2,0.2,1.8
2023-03-11,33.4,2,0.2,0.9
2023-03-12,30.9,-1,0.2,-1.1
2023-03-13,35.6,3,0.3,0.4
2023-03-14,32.9,10,1.0,-4.3
2023-03-15,29.8,-1,0.2,1.1
2023-03-16,33.6,-1,0.1,-3.6
2023-03-17,36.5,-1,0.1,2.8
2023-03-18,38.3,-3,0.0,2.9
2023-03-19,39.2,0,0.1,2.9
2023-03-20,36.5,-1,0.1,6.1
2023-03-21,39.9,-1,0.1,-4.1
2023-03-22,42.4,0,0.0,-1.5
2023-03-23,36.7,-1,0.0,0.2
2023-03-24,31.8,-1,0.1,-3.0
2023-03-25,31.3,0,0.1,0.3
2023-03-26,34.7,-3,0.1,-2.0
2023-03-27,35.4,3,0.0,-3.0
2023-03-28,37.6,-3,0.1,6.6
2023-03-29,42.4,-2,0.1,1.3
2023-03-30,40.8,3,0.0,-0.4
2023-03-31,34.0,0,0.0,2.0
2023-04-01,29.7,0,0.2,-5.0
2023-04-02,29.7,3,0.4,-4.5
2023-04-03,34.0,-1,0.1,3.4
2023-04-04,33.8,-1,0.1,-1.8
2023-04-05,36.7,-2,-0.1,-2.9
2023-04-06,37.9,3,0.1,7.8
2023-04-07,40.5,-2,0.1,5.9
2023-04-08,37.6,0,0.5,-2.7
2023-04-09,37.0,-4,-0.2,4.9
2023-04-10,36.3,4,2.2,-1.7
2023-04-11,32.5,0,-1.0,-10.8
2023-04-12,34.2,-1,-0.4,-2.7
2023-04-13,37.0,-1,0.1,5.4
2023-04-14,39.9,0,0.0,-2.7
2023-04-15,41.4,1,0.0,5.4
2023-04-16,36.5,-1,0.0,-1.0
2023-04-17,36.3,-1,0.1,-5.8
2023-04-18,35.4,0,0.1,2.2
2023-04-19,36.1,2,-0.1,-1.7
2023-04-20,38.1,-2,0.0,-0.1
2023-04-21,39.0,5,0.3,7.7
2023-04-22,43.9,0,0.1,0.9
2023-04-23,41.9,-1,0.1,4.5
2023-04-24,42.4,-3,0.6,-1.3
2023-04-25,48.6,0,-1.1,-0.9
2023-04-26,44.8,-2,0.3,3.3
2023-04-27,54.5,-1,-0.2,0.7
2023-04-28,62.8,-1,-0.6,2.0
2023-04-29,63.7,-3,-0.8,2.0
2023-04-30,57.4,-2,-0.9,-1.3
