Date,Max Air Temp 24hr,Total Snowfall 24hr,Delta SWE 24hr,Min Temp Diff 48hr
2022-11-01,31.3,0.0,0.3,-3.1
2022-11-02,29.5,0.0,-0.1,-5.0
2022-11-03,28.9,0.0,-0.2,-0.9
2022-11-04,36.3,1.0,0.5,4.2
2022-11-05,32.0,11.0,1.3,-4.0
2022-11-06,27.0,2.0,0.4,-0.7
2022-11-07,25.9,2.0,0.2,0.7
2022-11-08,25.7,2.0,0.3,-2.0
2022-11-09,27.5,-4.0,-0.1,-0.2
2022-11-10,33.3,-4.0,0.0,-1.1
2022-11-11,24.1,-1.0,0.0,0.0
2022-11-12,32.4,0.0,0.0,0.2
2022-11-13,28.8,0.0,0.1,6.5
2022-11-14,35.8,-1.0,0.0,-3.4
2022-11-15,41.0,-1.0,0.0,0.3
2022-11-16,41.4,0.0,0.0,-0.9
2022-11-17,27.9,-1.0,0.0,-6.3
2022-11-18,31.8,0.0,-0.1,-1.6
2022-11-19,24.8,0.0,0.0,2.1
2022-11-20,30.0,0.0,0.1,0.9
2022-11-21,35.1,0.0,0.1,7.7
2022-11-22,33.8,0.0,0.0,-2.7
2022-11-23,35.4,3.0,0.5,7.4
2022-11-24,30.4,0.0,0.1,-3.6
2022-11-25,45.0,-1.0,0.0,1.1
2022-11-26,30.9,0.0,0.1,-0.2
2022-11-27,31.5,0.0,0.2,-6.7
2022-11-28,20.3,7.0,0.4,-16.1
2022-11-29,12.7,1.0,-0.1,-0.4
2022-11-30,22.3,2.0,0.6,7.6
2022-12-01,19.9,8.0,1.0,-2.5
2022-12-02,16.9,-3.0,-0.1,-0.7
2022-12-03,26.4,0.0,0.1,2.3
2022-12-04,29.8,-1.0,0.2,1.6
2022-12-05,25.2,-1.0,0.2,2.6
2022-12-06,26.8,0.0,0.1,5.5
2022-12-07,31.3,0.0,0.0,-7.2
2022-12-08,21.4,-1.0,0.0,-0.4
2022-12-09,22.5,2.0,0.4,1.1
2022-12-10,26.8,3.0,0.3,4.7
2022-12-11,33.6,4.0,1.0,4.5
2022-12-12,28.2,-2.0,0.0,-5.2
2022-12-13,35.8,-1.0,0.0,1.6
2022-12-14,25.0,0.0,0.1,0.5
2022-12-15,29.3,0.0,-0.1,0.9
2022-12-16,36.1,-1.0,0.1,2.7
2022-12-17,28.2,0.0,0.0,-0.2
2022-12-18,22.3,0.0,0.0,-16.0
2022-12-19,10.8,5.0,0.3,-1.3
2022-12-20,19.0,0.0,0.0,-0.3
2022-12-21,1.4,10.0,1.1,-12.8
2022-12-22,-2.2,-2.0,-0.2,0.2
2022-12-23,7.7,-3.0,0.1,4.5
2022-12-24,33.8,2.0,1.4,11.7
2022-12-25,34.5,7.0,2.3,21.1
2022-12-26,36.0,-3.0,0.4,0.0
2022-12-27,32.2,4.0,1.2,-0.1
2022-12-28,30.6,4.0,0.6,-7.5
2022-12-29,25.3,-2.0,-0.1,-0.6
2022-12-30,27.9,1.0,0.1,2.5
2022-12-31,34.3,5.0,0.6,6.3
2023-01-01,33.6,0.0,0.3,-6.0
2023-01-02,23.5,-2.0,-0.1,-3.6
2023-01-03,23.4,-1.0,0.1,-0.7
2023-01-04,27.5,-1.0,0.0,1.4
2023-01-05,30.0,-1.0,0.3,6.9
2023-01-06,32.5,0.0,0.3,0.9
2023-01-07,30.6,1.0,0.2,0.7
2023-01-08,31.5,1.0,0.5,0.4
2023-01-09,31.3,1.0,0.3,-3.6
2023-01-10,29.8,3.0,0.3,0.7
2023-01-11,30.6,1.0,0.2,-0.4
2023-01-12,31.1,0.0,0.1,2.7
2023-01-13,34.2,4.0,1.3,2.4
2023-01-14,34.2,1.0,0.5,0.6
2023-01-15,34.0,-2.0,0.2,-0.9
2023-01-16,33.1,0.0,0.2,-5.2
2023-01-17,34.2,-1.0,0.0,-0.3
2023-01-18,27.3,0.0,0.1,-0.5
2023-01-19,27.1,4.0,0.3,-2.8
2023-01-20,29.5,0.0,0.0,0.2
2023-01-21,26.4,-1.0,0.1,-3.1
2023-01-22,27.9,1.0,0.1,3.1
2023-01-23,29.1,-1.0,0.1,1.3
2023-01-24,31.5,-1.0,0.1,3.9
2023-01-25,36.3,0.0,0.1,1.8
2023-01-26,33.4,-1.0,0.1,2.0
2023-01-27,33.4,0.0,0.2,-1.4
2023-01-28,28.4,1.0,0.2,-17.1
2023-01-29,11.8,-1.0,-0.1,-6.8
2023-01-30,25.2,0.0,-0.1,3.7
2023-01-31,25.9,-1.0,0.2,9.0
2023-02-01,33.6,0.0,0.1,5.5
2023-02-02,34.0,0.0,0.0,-1.6
2023-02-03,30.2,-1.0,0.0,0.5
2023-02-04,33.4,5.0,0.4,6.5
2023-02-05,34.7,-2.0,0.3,1.2
2023-02-06,34.5,1.0,0.0,0.9
2023-02-07,32.9,0.0,0.2,-3.4
2023-02-08,28.8,8.0,1.2,-2.5
2023-02-09,28.6,0.0,0.1,0.9
2023-02-10,33.4,-2.0,0.2,1.1
2023-02-11,30.0,0.0,0.2,-1.1
2023-02-12,36.7,-2.0,0.1,7.4
2023-02-13,33.8,-2.0,0.5,-9.9
2023-02-14,27.3,1.0,0.3,-3.0
2023-02-15,25.2,-2.0,0.0,-2.2
2023-02-16,32.2,-2.0,0.1,2.2
2023-02-17,33.3,0.0,0.1,5.0
2023-02-18,32.7,1.0,0.2,0.4
2023-02-19,29.8,0.0,0.1,0.9
2023-02-20,35.1,6.0,0.9,0.9
2023-02-21,29.1,6.0,1.1,-15.5
2023-02-22,18.7,0.0,0.0,-4.5
2023-02-23,11.7,-1.0,0.0,-5.9
2023-02-24,21.0,-1.0,-0.1,-2.0
2023-02-25,23.5,-1.0,0.1,13.7
2023-02-26,25.0,0.0,0.1,4.1
2023-02-27,21.7,3.0,0.4,-1.1
2023-02-28,27.5,-1.0,0.2,1.0
2023-03-01,25.7,-2.0,-0.1,1.4
2023-03-02,27.3,0.0,0.0,2.9
2023-03-03,27.1,6.0,0.7,-0.7
2023-03-04,26.4,2.0,0.3,0.0
2023-03-05,30.9,0.0,0.1,1.1
2023-03-06,29.7,0.0,0.2,-3.1
2023-03-07,30.2,-1.0,0.1,0.5
2023-03-08,31.3,0.0,0.1,5.8
2023-03-09,28.8,-1.0,0.3,-0.4
2023-03-10,30.7,0.0,0.4,0.1
2023-03-11,33.4,2.0,0.2,0.9
2023-03-12,30.9,-2.0,0.2,0.6
2023-03-13,35.6,3.0,0.6,-2.7
2023-03-14,32.9,9.0,1.0,-3.6
2023-03-15,29.8,-1.0,0.2,1.6
