#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 2022-11-01 to 2023-04-30
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 804: Surprise Lakes, WA
# 
# Data items provided in this file:
#
# Element Name             Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Air Temperature Maximum  Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Snow Depth               Delta       None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent    Delta       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Air Temperature Minimum  Delta       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Surprise Lakes (804) 
# Washington  SNOTEL Site - 4290 ft
# Reporting Frequency: Daily; Date Range: 2022-11-01 to 2023-04-30
#
# As of: May 18, 2023 9:02:25 AM GMT-08:00
#
Date,Surprise Lakes (804) Air Temperature Maximum (degF),Surprise Lakes (804) Change In Snow Depth (in) Start of Day Values,Surprise Lakes (804) Change In Snow Water Equivalent (in) Start of Day Values,Surprise Lakes (804) Change In Air Temperature Minimum (degF)
2022-11-01,34.7,0,0.0,-4.3
2022-11-02,34.5,0,0.0,-1.6
2022-11-03,32.9,0,0.0,-1.8
2022-11-04,44.1,4,0.5,4.5
2022-11-05,40.8,-3,-0.2,-2.0
2022-11-06,32.4,4,0.7,-0.3
2022-11-07,31.1,2,1.2,-3.1
2022-11-08,32.9,6,0.4,-1.3
2022-11-09,39.0,-2,-0.1,-1.4
2022-11-10,35.2,-2,0.1,3.8
2022-11-11,28.6,-3,0.0,-1.8
2022-11-12,37.0,3,0.0,0.3
2022-11-13,39.9,1,-0.1,1.7
2022-11-14,31.8,-1,0.1,-1.3
2022-11-15,30.4,-1,0.0,-2.2
2022-11-16,37.4,-2,0.0,-3.7
2022-11-17,28.6,2,-0.1,0.7
2022-11-18,29.8,-1,0.0,0.2
2022-11-19,30.7,1,0.0,0.0
2022-11-20,40.8,0,0.0,1.9
2022-11-21,41.4,0,0.1,6.7
2022-11-22,40.6,0,0.1,3.8
2022-11-23,40.6,-2,0.2,-0.4
2022-11-24,44.6,1,-0.1,1.6
2022-11-25,44.2,-1,0.0,-4.1
2022-11-26,39.4,-2,0.1,-4.5
2022-11-27,31.8,3,0.0,2.5
2022-11-28,34.0,10,1.5,-4.7
2022-11-29,28.9,1,0.3,-1.2
2022-11-30,32.4,11,1.1,1.6
2022-12-01,30.9,11,2.1,-1.1
2022-12-02,24.3,0,0.1,-0.5
2022-12-03,28.4,0,0.0,-0.6
2022-12-04,28.8,-2,0.0,-0.3
2022-12-05,40.1,2,0.4,7.2
2022-12-06,32.4,-2,0.1,0.5
2022-12-07,38.7,-2,0.1,-2.7
2022-12-08,29.8,0,0.0,-2.5
2022-12-09,28.8,6,0.9,2.5
2022-12-10,33.8,12,1.8,2.4
2022-12-11,33.8,4,1.2,1.9
2022-12-12,33.1,-5,0.0,-4.6
2022-12-13,34.5,-1,0.0,-2.9
2022-12-14,35.2,-2,-0.1,1.4
2022-12-15,29.7,-1,0.0,-3.0
2022-12-16,33.8,0,-0.1,-4.0
2022-12-17,33.1,-2,0.0,8.5
2022-12-18,28.6,1,0.1,-1.1
2022-12-19,28.9,5,0.7,-1.3
2022-12-20,33.6,-1,0.2,1.1
2022-12-21,35.4,4,1.2,-21.6
2022-12-22,3.2,0,-0.4,-6.1
2022-12-23,35.6,-2,-0.3,3.2
2022-12-24,40.8,0,1.0,33.1
2022-12-25,44.2,-4,0.4,4.9
2022-12-26,45.3,-2,-0.5,0.2
2022-12-27,42.3,-7,-0.2,-7.9
2022-12-28,34.2,8,0.3,-1.8
2022-12-29,34.3,4,0.6,1.4
2022-12-30,35.4,-1,0.9,1.1
2022-12-31,35.2,0,0.8,-0.2
2023-01-01,37.6,0,0.4,-4.0
2023-01-02,28.6,1,0.0,-5.4
2023-01-03,29.3,2,-0.1,0.2
2023-01-04,31.8,-3,0.2,1.5
2023-01-05,34.2,2,0.5,8.2
2023-01-06,34.3,1,0.3,-0.5
2023-01-07,34.0,0,0.4,0.9
2023-01-08,34.3,8,1.3,0.5
2023-01-09,34.3,10,1.6,-1.2
2023-01-10,34.7,0,0.8,-0.4
2023-01-11,33.3,-1,0.0,-0.3
2023-01-12,37.6,2,0.5,2.3
2023-01-13,38.3,0,0.7,2.9
2023-01-14,38.1,-3,0.2,-1.6
2023-01-15,35.2,-3,0.4,-2.4
2023-01-16,34.2,5,0.7,-3.0
2023-01-17,34.9,0,0.1,1.8
2023-01-18,34.0,-1,0.3,-3.3
2023-01-19,35.6,6,0.7,-4.8
2023-01-20,38.3,-4,0.0,-0.4
2023-01-21,33.3,0,0.0,2.9
2023-01-22,31.6,11,1.4,-1.3
2023-01-23,36.3,-5,0.1,0.0
2023-01-24,33.6,2,0.0,2.7
2023-01-25,42.3,-1,0.0,4.0
2023-01-26,40.3,-2,0.0,1.1
2023-01-27,35.2,0,0.1,-0.4
2023-01-28,33.8,0,0.4,-13.5
2023-01-29,19.9,3,0.5,-9.0
2023-01-30,24.1,-2,-0.1,-2.2
2023-01-31,32.5,-3,0.1,13.0
2023-02-01,44.6,1,0.0,2.7
2023-02-02,40.8,-2,0.0,5.8
2023-02-03,35.8,2,0.1,2.8
2023-02-04,36.1,1,0.3,2.4
2023-02-05,35.2,1,0.8,-2.2
2023-02-06,36.0,6,0.6,-1.6
2023-02-07,36.5,-2,0.5,-0.4
2023-02-08,41.2,8,1.0,-0.7
2023-02-09,36.9,2,0.5,0.4
2023-02-10,39.9,-1,0.1,2.1
2023-02-11,46.2,-1,0.0,-2.7
2023-02-12,46.8,-1,0.0,1.3
2023-02-13,34.2,-1,0.1,-7.0
2023-02-14,43.3,6,1.1,-4.7
2023-02-15,35.8,1,0.0,-0.4
2023-02-16,39.6,-1,0.0,5.8
