#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 2022-11-01 to 2023-04-30
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1011: MF Nooksack, WA
# 
# Data items provided in this file:
#
# Element Name             Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Air Temperature Maximum  Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Snow Depth               Delta       None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent    Delta       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Air Temperature Minimum  Delta       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Wind Speed Maximum       Value       None           Day                           N/A        Miles/hour          N/A           WSPDX         Maximum wind speed                                                                                 
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Mf Nooksack (1011) 
# Washington  SNOTEL Site - 4970 ft
# Reporting Frequency: Daily; Date Range: 2022-11-01 to 2023-04-30
#
# As of: May 26, 2023 3:45:05 PM GMT-08:00
#
Date,MF Nooksack (1011) Air Temperature Maximum (degF),MF Nooksack (1011) Change In Snow Depth (in) Start of Day Values,MF Nooksack (1011) Change In Snow Water Equivalent (in) Start of Day Values,MF Nooksack (1011) Change In Air Temperature Minimum (degF),MF Nooksack (1011) Wind Speed Maximum (mph)
2022-11-01,32.4,0,0.1,-1.6,
2022-11-02,33.8,-1,0.0,-1.1,
2022-11-03,32.5,0,0.0,-1.0,
2022-11-04,41.9,1,0.9,2.7,
2022-11-05,27.7,-3,-0.9,-3.5,
2022-11-06,28.9,2,0.0,1.1,
2022-11-07,28.2,3,0.7,-0.5,
2022-11-08,34.5,3,0.2,1.6,
2022-11-09,35.1,-1,0.0,-4.7,
2022-11-10,28.6,-2,-0.3,0.0,
2022-11-11,39.0,2,-0.1,5.8,
2022-11-12,39.7,-2,0.2,3.6,
2022-11-13,40.5,0,0.2,1.8,
2022-11-14,48.9,1,0.0,5.4,
2022-11-15,55.6,1,0.0,6.3,
2022-11-16,53.4,-1,-0.1,-2.7,
2022-11-17,41.5,0,0.0,-12.6,
2022-11-18,45.1,0,0.0,3.0,
2022-11-19,49.3,0,-0.2,7.6,
2022-11-20,43.9,0,-0.1,-5.2,
2022-11-21,40.8,-1,-0.1,0.0,
2022-11-22,39.6,0,1.1,-2.4,
2022-11-23,38.7,2,0.3,-0.9,
2022-11-24,52.5,0,0.1,6.9,
2022-11-25,47.1,-1,0.0,-11.5,
2022-11-26,31.3,5,0.6,1.6,
2022-11-27,31.1,7,1.0,-7.0,
2022-11-28,23.0,0,1.0,-8.3,
2022-11-29,27.1,5,0.2,1.1,
2022-11-30,27.7,-3,0.4,5.4,
2022-12-01,22.8,2,0.5,-4.2,
2022-12-02,27.3,-2,0.0,1.3,
2022-12-03,39.0,0,0.3,9.5,
2022-12-04,40.5,0,0.1,-0.5,
2022-12-05,30.9,0,0.1,-2.0,
2022-12-06,27.3,-1,0.4,-0.2,
2022-12-07,30.2,-1,0.5,1.1,
2022-12-08,30.2,1,-0.2,-1.6,
2022-12-09,31.8,4,0.6,0.9,
2022-12-10,32.7,5,0.7,6.5,
2022-12-11,32.2,2,0.7,-3.8,
2022-12-12,32.4,-3,0.1,-0.6,
2022-12-13,32.9,0,0.0,-2.1,
2022-12-14,36.1,-2,0.1,0.9,
2022-12-15,36.9,0,0.0,6.8,
2022-12-16,46.0,1,0.0,0.7,
2022-12-17,34.2,-1,0.0,-9.7,
2022-12-18,22.6,-1,0.0,-10.6,
2022-12-19,20.5,8,0.5,0.5,
2022-12-20,24.6,3,0.4,-0.5,
2022-12-21,14.7,5,1.0,-5.9,
2022-12-22,29.1,-14,-0.4,2.1,
2022-12-23,35.6,1,0.5,21.8,
2022-12-24,41.0,8,3.2,6.1,
2022-12-25,46.9,-6,-1.2,0.6,
2022-12-26,43.9,-5,-1.1,-4.0,
2022-12-27,40.8,-4,-1.3,-2.5,
2022-12-28,29.3,9,0.4,-6.1,
2022-12-29,33.4,1,0.6,2.5,
2022-12-30,33.6,-1,0.4,5.2,
2022-12-31,,5,0.8,,
2023-01-01,33.1,8,1.7,,
2023-01-02,36.3,-1,0.1,1.2,
2023-01-03,31.3,-2,0.0,-1.2,
2023-01-04,39.9,0,0.1,1.4,
2023-01-05,40.3,-1,0.3,5.1,
