Date,Max Air Temp 24hr,Total Snowfall 24hr,Delta SWE 24hr,Min Temp Diff 48hr
2022-11-01,33.099999999999994,2.0,0.5,-2.0
2022-11-02,30.65,-1.0,0.05,-2.95
2022-11-03,29.8,-2.0,-0.1,-0.35
2022-11-04,39.4,2.0,0.8,5.25
2022-11-05,27.15,1.5,0.9000000000000001,-5.0
2022-11-06,26.85,1.0,-0.35,0.35000000000000003
2022-11-07,25.049999999999997,5.5,0.7,-3.95
2022-11-08,32.6,1.5,0.15000000000000002,0.10000000000000009
2022-11-09,34.8,-2.5,0.0,1.8000000000000003
2022-11-10,30.5,-1.5,-0.2,-1.45
2022-11-11,37.3,0.0,0.0,9.1
2022-11-12,39.0,-1.0,0.1,0.8
2022-11-13,37.8,-1.0,0.1,1.35
2022-11-14,45.2,0.0,0.0,4.5
2022-11-15,53.7,0.0,-0.05,6.6
2022-11-16,51.25,-1.0,0.0,-5.300000000000001
2022-11-17,36.05,-0.5,-0.05,-11.25
2022-11-18,43.6,0.0,-0.1,3.75
2022-11-19,48.3,0.5,0.0,9.649999999999999
2022-11-20,43.349999999999994,-1.0,0.0,-4.35
2022-11-21,40.2,-1.0,-0.05,-0.8
2022-11-22,37.35,0.0,0.55,-2.7
2022-11-23,39.650000000000006,7.0,0.7000000000000001,-0.9
2022-11-24,51.15,-1.5,0.1,8.100000000000001
2022-11-25,45.95,-1.5,0.0,-12.65
2022-11-26,29.15,3.0,0.35,1.25
2022-11-27,29.3,5.5,0.8,-6.65
2022-11-28,20.5,3.0,0.85,-14.15
2022-11-29,21.55,1.0,-0.04999999999999999,1.8
2022-11-30,24.7,4.0,0.75,10.45
2022-12-01,20.75,3.0,0.6,-6.0
2022-12-02,24.9,-4.0,-0.05,2.1
2022-12-03,36.5,-1.0,0.25,8.45
2022-12-04,38.25,-0.5,0.05,2.7
2022-12-05,30.2,-1.0,0.1,-3.7
2022-12-06,24.9,-2.0,0.15000000000000002,0.8
2022-12-07,29.5,0.0,0.3,0.55
2022-12-08,27.95,0.0,-0.05,-1.3
2022-12-09,27.75,7.0,0.6,0.04999999999999999
2022-12-10,30.75,5.5,0.7,4.9
2022-12-11,34.1,4.0,0.85,0.050000000000000044
2022-12-12,30.5,-3.5,0.05,-2.55
2022-12-13,35.05,-2.0,-0.05,-0.30000000000000004
2022-12-14,33.35,-2.0,0.1,-0.2
2022-12-15,34.1,0.0,0.0,5.2
2022-12-16,43.6,0.0,0.05,2.15
2022-12-17,32.3,-1.5,0.0,-9.95
2022-12-18,20.8,-1.0,0.0,-17.75
2022-12-19,17.35,6.5,0.3,0.25
