#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 2022-11-01 to 2023-04-30
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1068: Sawmill Ridge, WA
# 
# Data items provided in this file:
#
# Element Name             Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Air Temperature Maximum  Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Snow Depth               Delta       None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent    Delta       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Air Temperature Minimum  Delta       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Sawmill Ridge (1068) 
# Washington  SNOTEL Site - 4640 ft
# Reporting Frequency: Daily; Date Range: 2022-11-01 to 2023-04-30
#
# As of: May 29, 2023 8:40:45 AM GMT-08:00
#
Date,Sawmill Ridge (1068) Air Temperature Maximum (degF),Sawmill Ridge (1068) Change In Snow Depth (in) Start of Day Values,Sawmill Ridge (1068) Change In Snow Water Equivalent (in) Start of Day Values,Sawmill Ridge (1068) Change In Air Temperature Minimum (degF)
2022-11-01,35.1,0,0.1,-0.2
2022-11-02,35.1,0,0.0,0.0
2022-11-03,35.1,0,0.1,0.0
2022-11-04,35.4,6,1.2,0.2
2022-11-05,35.1,-6,-1.3,-0.2
2022-11-06,35.1,1,0.2,0.0
2022-11-07,34.9,0,0.3,0.0
2022-11-08,34.9,1,0.1,0.0
2022-11-09,35.1,0,0.0,0.0
2022-11-10,35.1,0,0.0,0.0
2022-11-11,34.9,-1,0.1,0.0
2022-11-12,35.1,0,0.1,0.0
2022-11-13,35.2,0,0.1,0.2
2022-11-14,35.2,0,0.1,0.0
2022-11-15,35.4,0,-0.1,0.0
2022-11-16,35.6,-1,0.0,-0.2
2022-11-17,35.1,0,0.0,-0.2
2022-11-18,35.1,0,0.0,0.0
2022-11-19,35.1,0,-0.1,0.2
2022-11-20,35.2,0,0.0,0.0
2022-11-21,35.4,0,0.0,0.3
2022-11-22,35.2,0,-0.1,-0.1
2022-11-23,35.2,0,0.7,0.0
2022-11-24,35.4,2,0.0,0.0
2022-11-25,35.4,0,0.0,-0.2
2022-11-26,35.1,1,0.2,0.0
2022-11-27,35.1,0,0.1,0.0
2022-11-28,34.9,5,1.3,-0.2
2022-11-29,34.7,3,0.3,0.0
2022-11-30,34.9,16,2.3,0.0
2022-12-01,34.9,6,1.0,0.0
2022-12-02,34.9,-2,0.2,0.0
2022-12-03,34.9,5,1.3,0.0
2022-12-04,34.9,0,0.4,0.0
2022-12-05,35.1,-2,0.1,0.2
2022-12-06,28.4,-2,0.1,-8.3
2022-12-07,31.1,0,0.1,-4.9
2022-12-08,26.8,-2,0.0,-1.0
2022-12-09,26.8,2,0.3,1.9
2022-12-10,31.3,17,1.9,0.9
2022-12-11,32.9,-5,-0.2,6.0
2022-12-12,30.2,-1,0.1,-4.5
2022-12-13,28.2,-3,0.0,-2.5
2022-12-14,31.1,1,0.0,3.7
2022-12-15,31.1,-2,-0.1,-1.8
2022-12-16,34.5,0,0.0,1.8
2022-12-17,30.7,0,0.0,-0.9
2022-12-18,26.6,0,0.0,-6.3
2022-12-19,27.5,8,0.4,-1.4
2022-12-20,31.3,0,0.3,1.6
2022-12-21,19.9,7,1.4,-20.5
2022-12-22,-1.1,4,1.1,-5.8
2022-12-23,34.2,-13,-1.5,5.1
2022-12-24,42.3,-1,0.9,30.2
2022-12-25,40.1,-5,0.6,8.5
2022-12-26,43.7,-6,-0.3,-2.2
2022-12-27,36.5,-1,-0.1,-5.4
2022-12-28,30.0,2,0.3,-1.6
2022-12-29,30.0,1,0.1,0.4
2022-12-30,33.4,2,0.1,0.3
2022-12-31,,4,1.2,
2023-01-01,32.9,2,0.1,
