#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 2022-11-01 to 2023-04-30
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 418: Corral Pass, WA
# 
# Data items provided in this file:
#
# Element Name             Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Air Temperature Maximum  Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Snow Depth               Delta       None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent    Delta       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Air Temperature Minimum  Delta       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Corral Pass (418) 
# Washington  SNOTEL Site - 5800 ft
# Reporting Frequency: Daily; Date Range: 2022-11-01 to 2023-04-30
#
# As of: May 29, 2023 8:41:54 AM GMT-08:00
#
Date,Corral Pass (418) Air Temperature Maximum (degF),Corral Pass (418) Change In Snow Depth (in) Start of Day Values,Corral Pass (418) Change In Snow Water Equivalent (in) Start of Day Values,Corral Pass (418) Change In Air Temperature Minimum (degF)
2022-11-01,32.4,1,0.1,-5.2
2022-11-02,33.6,1,-0.2,-4.7
2022-11-03,33.4,2,0.1,0.2
2022-11-04,41.0,7,1.4,11.7
2022-11-05,30.9,-6,0.2,-8.3
2022-11-06,28.0,1,-0.2,1.1
2022-11-07,28.4,6,0.9,-2.7
2022-11-08,26.1,4,0.3,0.4
2022-11-09,33.6,-1,0.0,-2.5
2022-11-10,34.9,1,-0.2,1.0
2022-11-11,34.9,-3,0.0,4.4
2022-11-12,37.0,2,0.0,-0.9
2022-11-13,42.1,-2,-0.1,1.0
2022-11-14,40.3,0,0.1,3.8
2022-11-15,51.8,1,0.0,7.0
2022-11-16,55.6,0,0.2,-0.9
2022-11-17,34.9,-2,-0.1,-17.4
2022-11-18,39.4,1,-0.3,3.2
2022-11-19,53.2,0,0.0,14.4
2022-11-20,45.5,0,0.0,-1.2
2022-11-21,46.8,0,0.2,1.9
2022-11-22,39.9,-2,0.1,-6.1
2022-11-23,48.2,3,1.0,-4.5
2022-11-24,57.4,4,0.3,13.9
2022-11-25,48.7,-2,0.1,-15.9
2022-11-26,36.9,1,0.1,0.8
2022-11-27,30.4,0,0.1,-2.6
2022-11-28,21.7,7,0.9,-9.7
2022-11-29,26.6,4,0.3,2.7
2022-11-30,27.5,6,0.9,2.7
2022-12-01,25.9,6,1.0,-2.5
2022-12-02,26.4,1,0.3,-3.2
2022-12-03,28.4,-1,0.1,6.8
2022-12-04,26.2,-1,0.0,0.2
2022-12-05,34.0,-2,0.3,6.1
2022-12-06,27.9,-1,0.1,-1.1
2022-12-07,39.6,-1,0.0,-2.3
2022-12-08,30.0,-1,0.0,1.6
2022-12-09,27.9,3,0.4,-6.7
2022-12-10,34.5,6,0.7,9.6
2022-12-11,31.3,0,0.4,0.7
2022-12-12,34.9,1,0.1,-7.7
2022-12-13,34.9,-2,-0.3,3.2
2022-12-14,38.8,-2,0.3,1.8
2022-12-15,41.7,0,-0.1,-2.3
2022-12-16,44.6,-1,0.0,5.2
2022-12-17,32.7,-1,0.0,-5.1
2022-12-18,25.5,-2,-0.1,-4.6
2022-12-19,25.3,6,0.4,-2.6
2022-12-20,30.0,2,0.5,0.2
2022-12-21,25.5,7,1.0,-18.3
2022-12-22,28.8,-3,-0.3,-4.2
2022-12-23,35.6,-1,0.3,34.0
2022-12-24,43.2,0,0.9,9.6
2022-12-25,46.8,-6,0.6,-0.2
2022-12-26,43.9,0,-0.4,-1.8
2022-12-27,41.2,-2,0.4,-7.4
2022-12-28,28.4,8,0.3,-1.8
2022-12-29,32.9,-3,-0.1,0.4
2022-12-30,34.5,2,0.4,3.2
2022-12-31,,0,0.3,
2023-01-01,37.6,1,0.1,
2023-01-02,32.4,-2,-0.1,-3.3
2023-01-03,34.2,0,0.1,3.3
2023-01-04,27.9,-1,-0.1,-3.6
2023-01-05,35.4,1,0.1,5.0
2023-01-06,36.3,0,0.2,1.6
2023-01-07,33.3,-2,0.2,2.9
2023-01-08,34.2,3,0.2,-1.6
2023-01-09,33.4,2,0.1,-0.5
2023-01-10,34.5,1,0.1,-1.3
2023-01-11,35.2,-1,-0.1,2.0
2023-01-12,41.7,-2,0.1,4.1
2023-01-13,41.2,0,1.4,1.6
2023-01-14,35.2,-1,-0.7,-3.0
2023-01-15,33.4,1,-0.3,-2.5
2023-01-16,31.5,0,-0.2,-5.3
2023-01-17,33.3,0,-0.1,-1.8
2023-01-18,31.1,0,0.2,1.3
2023-01-19,28.4,5,0.4,-4.1
2023-01-20,38.3,-1,-0.1,1.9
2023-01-21,40.8,-1,0.3,4.2
2023-01-22,28.4,7,0.8,-6.1
2023-01-23,35.6,-1,0.1,3.0
2023-01-24,32.0,-2,0.1,4.9
2023-01-25,44.2,0,0.5,1.6
2023-01-26,42.3,-1,-0.1,1.3
2023-01-27,33.8,0,0.2,-2.4
2023-01-28,32.2,3,0.6,-15.1
2023-01-29,20.5,1,-0.1,-6.5
2023-01-30,36.0,0,-0.2,5.2
2023-01-31,37.0,-1,0.3,8.7
2023-02-01,41.4,0,0.1,5.6
2023-02-02,48.0,0,0.0,8.6
2023-02-03,40.8,-1,0.1,-5.6
2023-02-04,35.8,2,-0.1,0.2
2023-02-05,36.0,1,0.4,-0.4
2023-02-06,32.0,1,0.0,-2.5
2023-02-07,34.5,-1,0.4,-1.8
2023-02-08,38.5,15,1.6,-2.1
2023-02-09,43.3,1,0.6,7.5
2023-02-10,37.6,-6,0.3,-6.1
2023-02-11,38.8,2,0.2,-0.9
2023-02-12,44.6,0,0.0,8.5
2023-02-13,33.6,-1,0.3,-11.9
2023-02-14,27.5,3,0.3,-5.2
2023-02-15,33.4,-1,-0.3,1.0
2023-02-16,37.9,-2,0.2,9.0
2023-02-17,34.2,0,0.1,-2.3
2023-02-18,34.7,2,0.4,1.8
2023-02-19,33.8,0,0.3,3.2
2023-02-20,35.6,-1,0.4,-0.3
2023-02-21,27.3,2,0.6,-8.1
2023-02-22,18.5,-1,0.1,-15.5
2023-02-23,9.3,2,-0.2,-5.6
2023-02-24,31.3,-1,-0.2,5.6
2023-02-25,38.7,0,0.2,16.4
