#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 2022-11-01 to 2023-04-30
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 642: Morse Lake, WA
# 
# Data items provided in this file:
#
# Element Name             Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Air Temperature Maximum  Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Snow Depth               Delta       None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent    Delta       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Air Temperature Minimum  Delta       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Morse Lake (642) 
# Washington  SNOTEL Site - 5410 ft
# Reporting Frequency: Daily; Date Range: 2022-11-01 to 2023-04-30
#
# As of: May 29, 2023 8:42:36 AM GMT-08:00
#
Date,Morse Lake (642) Air Temperature Maximum (degF),Morse Lake (642) Change In Snow Depth (in) Start of Day Values,Morse Lake (642) Change In Snow Water Equivalent (in) Start of Day Values,Morse Lake (642) Change In Air Temperature Minimum (degF)
2022-11-01,33.8,1,-0.2,-5.0
2022-11-02,29.5,2,0.0,-7.4
2022-11-03,31.8,0,0.1,-1.4
2022-11-04,43.2,4,1.3,14.7
2022-11-05,33.3,0,0.6,-6.8
2022-11-06,29.1,2,0.6,0.5
2022-11-07,29.3,11,1.2,-1.9
2022-11-08,25.9,0,0.3,-7.1
2022-11-09,34.9,-3,-0.1,-0.9
2022-11-10,32.4,3,-0.1,-3.0
2022-11-11,27.5,-2,0.1,4.7
2022-11-12,36.3,-3,0.1,-2.6
2022-11-13,36.9,1,0.0,8.0
2022-11-14,37.0,-1,-0.1,-0.9
2022-11-15,38.5,-1,0.0,-1.8
2022-11-16,43.0,0,0.0,0.3
2022-11-17,26.1,2,0.0,-9.7
2022-11-18,29.3,-1,-0.1,-0.9
2022-11-19,30.7,0,0.0,4.3
2022-11-20,40.1,1,0.0,3.1
2022-11-21,45.7,-1,0.1,13.1
2022-11-22,39.0,0,0.2,-0.9
2022-11-23,39.9,2,1.4,-5.9
2022-11-24,39.7,-2,0.0,5.2
2022-11-25,45.5,2,0.0,-3.8
2022-11-26,37.9,4,0.2,-0.7
2022-11-27,32.5,-4,0.2,-2.9
2022-11-28,23.4,6,0.8,-8.1
2022-11-29,25.7,4,0.3,-0.3
2022-11-30,28.8,13,1.7,7.2
2022-12-01,25.2,13,1.7,-9.6
2022-12-02,22.3,0,0.3,6.0
2022-12-03,25.2,0,0.3,-6.7
2022-12-04,23.7,-5,-0.1,0.0
2022-12-05,32.5,0,0.3,9.0
2022-12-06,29.7,-1,0.0,-1.4
2022-12-07,32.0,-1,0.1,-2.7
2022-12-08,28.8,-1,0.0,7.2
2022-12-09,25.7,5,1.0,0.1
2022-12-10,31.1,14,1.7,-0.9
2022-12-11,31.8,1,1.4,2.9
2022-12-12,30.0,-2,0.0,-6.3
2022-12-13,33.6,-1,-0.1,-0.3
2022-12-14,34.2,-1,0.0,1.2
2022-12-15,32.0,-4,-0.1,-2.0
2022-12-16,36.1,1,0.0,2.6
2022-12-17,32.5,-2,0.1,-2.6
2022-12-18,27.3,-1,0.0,0.6
2022-12-19,27.3,0,0.2,0.0
2022-12-20,31.3,2,0.4,-6.9
2022-12-21,15.8,7,0.9,-16.3
2022-12-22,-2.2,-6,-0.2,-4.9
2022-12-23,38.1,-1,0.1,4.3
2022-12-24,42.1,5,1.2,41.4
2022-12-25,45.9,-3,0.8,-0.7
2022-12-26,43.0,-3,0.0,-0.4
2022-12-27,40.1,-4,0.6,-5.9
2022-12-28,30.2,7,0.7,-3.2
2022-12-29,31.3,-4,-0.2,1.6
