#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 2022-11-01 to 2023-04-30
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 702: Potato Hill, WA
# 
# Data items provided in this file:
#
# Element Name             Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Air Temperature Maximum  Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Snow Depth               Delta       None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent    Delta       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Air Temperature Minimum  Delta       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Potato Hill (702) 
# Washington  SNOTEL Site - 4510 ft
# Reporting Frequency: Daily; Date Range: 2022-11-01 to 2023-04-30
#
# As of: May 29, 2023 8:43:16 AM GMT-08:00
#
Date,Potato Hill (702) Air Temperature Maximum (degF),Potato Hill (702) Change In Snow Depth (in) Start of Day Values,Potato Hill (702) Change In Snow Water Equivalent (in) Start of Day Values,Potato Hill (702) Change In Air Temperature Minimum (degF)
2022-11-01,34.2,0,-0.4,-4.7
2022-11-02,34.9,0,0.1,-3.8
2022-11-03,32.2,4,0.1,1.4
2022-11-04,43.3,1,0.6,3.8
2022-11-05,36.7,-3,0.0,-3.4
2022-11-06,31.8,5,0.5,0.7
2022-11-07,31.6,9,0.6,-3.8
2022-11-08,30.4,0,0.2,-1.9
2022-11-09,32.0,0,0.0,-11.0
2022-11-10,33.4,0,0.0,8.8
2022-11-11,29.7,-4,0.0,4.3
2022-11-12,35.2,-2,0.0,-7.0
2022-11-13,37.2,-1,-0.1,-2.5
2022-11-14,38.1,1,0.1,10.8
2022-11-15,39.0,0,0.1,-3.1
2022-11-16,41.9,2,-0.1,-3.8
2022-11-17,27.7,-2,0.0,-0.5
2022-11-18,32.5,2,0.0,0.4
2022-11-19,33.8,0,-0.1,-1.3
2022-11-20,43.5,-1,0.0,-4.1
2022-11-21,45.0,0,0.2,16.9
2022-11-22,40.1,0,0.1,0.7
2022-11-23,39.2,-4,0.3,-0.2
2022-11-24,44.1,0,0.0,-1.4
2022-11-25,43.0,2,0.0,-0.9
2022-11-26,33.3,-1,0.1,-4.0
2022-11-27,31.3,0,0.1,1.6
2022-11-28,28.9,8,0.7,-5.7
2022-11-29,28.8,0,0.1,0.2
2022-11-30,33.3,10,1.1,4.6
2022-12-01,29.7,15,1.7,-5.0
2022-12-02,24.6,-1,0.4,-2.9
2022-12-03,27.9,-2,0.1,3.1
2022-12-04,27.5,-1,0.0,0.5
2022-12-05,34.7,5,0.7,6.5
2022-12-06,31.6,-5,0.0,-0.2
2022-12-07,32.2,1,0.0,-7.0
2022-12-08,29.8,-1,0.0,4.3
2022-12-09,30.6,4,0.7,-0.2
2022-12-10,34.2,4,0.7,4.0
2022-12-11,34.3,-1,0.3,0.0
2022-12-12,33.3,0,0.0,-3.1
2022-12-13,31.5,-2,0.0,-4.5
2022-12-14,34.0,-2,0.0,2.2
2022-12-15,29.3,0,0.0,-4.0
2022-12-16,34.7,-1,0.0,1.3
2022-12-17,31.3,-1,0.0,-6.5
2022-12-18,29.5,-3,0.0,9.6
2022-12-19,28.8,4,0.2,-1.5
2022-12-20,32.9,2,0.2,0.6
2022-12-21,23.4,6,0.9,-20.7
2022-12-22,2.8,-2,-0.2,-5.8
2022-12-23,36.0,-1,0.0,5.0
2022-12-24,40.6,2,0.8,33.7
2022-12-25,41.7,0,0.2,0.2
2022-12-26,43.9,-3,-0.4,1.6
2022-12-27,42.3,-2,-0.1,-6.5
2022-12-28,32.9,6,0.5,-2.0
2022-12-29,34.7,1,0.1,-0.5
2022-12-30,34.7,1,0.3,4.3
