Date,Max Air Temp 24hr,Total Snowfall 24hr,Delta SWE 24hr,Min Temp Diff 48hr
2022-11-01,33.875,0.5,-0.1,-3.7750000000000004
2022-11-02,33.275,0.75,-0.025,-3.975
2022-11-03,33.125,1.5,0.1,0.05
2022-11-04,40.725,4.5,1.125,7.6
2022-11-05,34.0,-3.75,-0.125,-4.675000000000001
2022-11-06,31.0,2.25,0.275,0.575
2022-11-07,31.05,6.5,0.75,-2.1
2022-11-08,29.325,1.25,0.22499999999999998,-2.15
2022-11-09,33.9,-1.0,-0.025,-3.6
2022-11-10,33.95,1.0,-0.07500000000000001,1.7000000000000002
2022-11-11,31.75,-2.5,0.05,3.35
2022-11-12,35.9,-0.75,0.05,-2.625
2022-11-13,37.85,-0.5,-0.025,1.675
2022-11-14,37.65,0.0,0.05,3.4250000000000003
2022-11-15,41.175,0.0,0.0,0.5249999999999999
2022-11-16,44.025,0.25,0.025,-1.15
2022-11-17,30.95,-0.5,-0.025,-6.949999999999999
2022-11-18,34.075,0.5,-0.1,0.675
2022-11-19,38.2,0.0,-0.05,4.4
2022-11-20,41.075,0.0,0.0,-0.5499999999999998
2022-11-21,43.225,-0.25,0.125,8.049999999999999
2022-11-22,38.55,-0.5,0.07500000000000001,-1.5999999999999999
2022-11-23,40.625,0.25,0.85,-2.6500000000000004
2022-11-24,44.15,1.0,0.075,4.425
2022-11-25,43.15,0.5,0.025,-5.2
2022-11-26,35.8,1.25,0.15000000000000002,-0.975
2022-11-27,32.325,-1.0,0.125,-0.975
2022-11-28,27.224999999999998,6.5,0.925,-5.925
2022-11-29,28.950000000000003,2.75,0.25,0.65
2022-11-30,31.125,11.25,1.5,3.625
2022-12-01,28.924999999999997,10.0,1.35,-4.275
2022-12-02,27.05,-0.5,0.3,-0.025000000000000022
2022-12-03,29.099999999999998,0.5,0.45,0.7999999999999999
2022-12-04,28.075,-1.75,0.07500000000000001,0.175
2022-12-05,34.075,0.25,0.35,5.449999999999999
2022-12-06,29.4,-2.25,0.05,-2.75
2022-12-07,33.725,-0.25,0.05,-4.225
2022-12-08,28.85,-1.25,0.0,3.025
2022-12-09,27.75,3.5,0.6,-1.225
2022-12-10,32.775,10.25,1.25,3.4
2022-12-11,32.575,-1.25,0.475,2.4
2022-12-12,32.1,-0.5,0.05,-5.4
2022-12-13,32.05,-2.0,-0.1,-1.025
2022-12-14,34.525,-1.0,0.075,2.225
2022-12-15,33.525000000000006,-1.5,-0.07500000000000001,-2.525
2022-12-16,37.475,-0.25,0.0,2.725
2022-12-17,31.8,-1.0,0.025,-3.775
2022-12-18,27.225,-1.5,-0.025,-0.17499999999999993
2022-12-19,27.225,4.5,0.30000000000000004,-1.375
2022-12-20,31.375,1.5,0.35,-1.125
2022-12-21,21.15,6.75,1.05,-18.95
2022-12-22,7.075,-1.75,0.10000000000000002,-5.175
