Date,Max Windspeed 24hr,Was High Winds 24hr
2022-11-02,16.24,0
2022-11-03,11.3,0
2022-11-04,47.3,1
2022-11-05,72.01,1
2022-11-06,50.83,1
2022-11-07,36.01,1
2022-11-08,23.3,0
2022-11-09,9.18,0
2022-11-10,17.65,0
2022-11-11,26.12,1
2022-11-12,32.48,1
2022-11-13,13.41,0
2022-11-14,24.0,0
2022-11-15,32.48,1
2022-11-16,12.0,0
2022-11-17,23.3,0
2022-11-18,28.24,1
2022-11-19,13.41,0
2022-11-20,14.12,0
2022-11-21,24.0,0
2022-11-22,41.65,1
2022-11-23,46.6,1
2022-11-24,29.65,1
2022-11-25,42.36,1
2022-11-26,43.07,1
2022-11-27,31.06,1
2022-11-28,31.77,1
2022-11-29,9.88,0
2022-11-30,40.95,1
2022-12-01,33.89,1
2022-12-02,11.3,0
2022-12-03,0.0,0
2022-12-04,12.0,0
2022-12-05,14.83,0
2022-12-06,24.71,0
2022-12-07,22.59,0
2022-12-08,22.59,0
2022-12-09,22.59,0
2022-12-10,14.83,0
2022-12-11,10.59,0
2022-12-12,8.47,0
2022-12-13,0.0,0
2022-12-14,10.59,0
2022-12-15,24.0,0
2022-12-16,41.65,1
2022-12-17,24.71,0
2022-12-18,32.48,1
2022-12-19,26.83,1
2022-12-20,22.59,0
2022-12-21,31.77,1
2022-12-22,21.18,0
2022-12-23,36.71,1
2022-12-24,53.66,1
2022-12-25,58.6,1
2022-12-26,60.01,1
2022-12-27,77.66,1
2022-12-28,48.01,1
2022-12-29,26.83,1
2022-12-30,36.01,1
2022-12-31,42.36,1
2023-01-01,26.83,1
2023-01-02,17.65,0
2023-01-03,22.59,0
2023-01-04,30.36,1
2023-01-05,26.83,1
2023-01-06,52.24,1
2023-01-07,52.95,1
2023-01-08,31.77,1
2023-01-09,53.66,1
2023-01-10,40.95,1
2023-01-11,26.12,1
2023-01-12,31.06,1
2023-01-13,31.77,1
2023-01-14,47.3,1
2023-01-15,36.71,1
2023-01-16,34.59,1
2023-01-17,42.36,1
2023-01-18,31.06,1
2023-01-19,25.42,1
2023-01-20,0.0,0
2023-01-21,0.0,0
2023-01-22,40.95,1
2023-01-23,9.18,0
2023-01-24,13.41,0
2023-01-25,7.766,0
2023-01-26,12.71,0
2023-01-27,24.71,0
2023-01-28,20.47,0
2023-01-29,31.06,1
2023-01-30,26.83,1
2023-01-31,24.71,0
2023-02-01,27.53,1
2023-02-02,36.71,1
2023-02-03,55.77,1
2023-02-04,63.54,1
2023-02-05,37.42,1
2023-02-06,24.0,0
2023-02-07,43.07,1
2023-02-08,42.36,1
2023-02-09,27.53,1
2023-02-10,60.01,1
2023-02-11,72.01,1
2023-02-12,19.06,0
2023-02-13,41.65,1
2023-02-14,24.71,0
2023-02-15,13.41,0
2023-02-16,19.77,0
2023-02-17,44.48,1
2023-02-18,28.95,1
2023-02-19,15.53,0
2023-02-20,19.77,0
2023-02-21,38.12,1
2023-02-22,16.94,0
2023-02-23,2.824,0
2023-02-24,14.12,0
2023-02-25,26.12,1
2023-02-26,57.19,1
2023-02-27,48.01,1
2023-02-28,26.12,1
2023-03-01,33.18,1
2023-03-02,48.01,1
2023-03-03,60.01,1
2023-03-04,36.01,1
2023-03-05,27.53,1
2023-03-06,11.3,0
2023-03-07,19.77,0
2023-03-08,14.83,0
2023-03-09,14.83,0
2023-03-10,22.59,0
2023-03-11,16.24,0
2023-03-12,40.24,1
2023-03-13,35.3,1
2023-03-14,35.3,1
2023-03-15,24.71,0
2023-03-16,21.18,0
2023-03-17,18.36,0
2023-03-18,19.77,0
2023-03-19,20.47,0
2023-03-20,21.18,0
2023-03-21,14.12,0
2023-03-22,13.41,0
2023-03-23,18.36,0
2023-03-24,50.13,1
2023-03-25,32.48,1
2023-03-26,12.0,0
2023-03-27,14.83,0
2023-03-28,26.12,1
2023-03-29,33.89,1
2023-03-30,19.77,0
2023-03-31,31.06,1
2023-04-01,40.24,1
2023-04-02,36.01,1
2023-04-03,29.65,1
2023-04-04,14.83,0
2023-04-05,11.3,0
2023-04-06,29.65,1
2023-04-07,33.89,1
2023-04-08,39.54,1
2023-04-09,50.83,1
2023-04-10,66.36,1
2023-04-11,14.12,0
2023-04-12,33.89,1
2023-04-13,14.83,0
2023-04-14,19.77,0
2023-04-15,37.42,1
2023-04-16,40.95,1
2023-04-17,52.95,1
2023-04-18,48.01,1
2023-04-19,47.3,1
2023-04-20,24.0,0
2023-04-21,42.36,1
2023-04-22,18.36,0
2023-04-23,35.3,1
2023-04-24,47.3,1
2023-04-25,19.77,0
2023-04-26,15.53,0
2023-04-27,21.89,0
2023-04-28,16.24,0
2023-04-29,16.94,0
2023-04-30,35.3,1
