Date PDT,Temp F,PcpAc in,∆Pcp in,SWE in,∆SWE  in,SnoHt in,∆SnoHt in
Apr 24 6:00,30,,,57,-0.5,126,1
Apr 24 5:00,30,,,57.1,-0.2,126,1
Apr 24 4:00,31,,,57.2,0,123,-2
Apr 24 3:00,31,,,57.2,0.2,122,-3
Apr 24 2:00,31,,,57.2,0.3,124,-2
Apr 24 1:00,32,,,57.3,0.5,124,-2
Apr 24 0:00,32,,,57.3,0.6,124,-2
Apr 23 23:00,32,,,57.3,0.7,123,-3
Apr 23 22:00,32,,,57.3,0.8,123,-3
Apr 23 21:00,32,,,57.4,1.1,123,-3
Apr 23 20:00,32,,,57.4,1.2,122,-4
Apr 23 19:00,33,,,57.4,1.4,122,-4
Apr 23 18:00,36,,,57.5,1.7,123,-3
Apr 23 17:00,40,,,57.5,1.9,123,-3
Apr 23 16:00,40,,,57.5,2.1,123,-3
Apr 23 15:00,41,,,57.6,2.3,123,-4
Apr 23 14:00,40,,,57.6,2.3,124,-4
Apr 23 13:00,41,,,57.6,2.4,124,-5
Apr 23 12:00,39,,,57.6,2.4,124,-5
Apr 23 11:00,39,,,57.6,2.4,125,-5
Apr 23 10:00,40,,,57.7,2.5,125,-5
Apr 23 9:00,39,,,57.7,2.5,125,-5
Apr 23 8:00,37,,,57.6,2.4,125,-6
Apr 23 7:00,36,,,57.6,2.4,125,-6
Apr 23 6:00,36,,,57.5,2.3,125,-6
Apr 23 5:00,36,,,57.3,2.1,125,-6
Apr 23 4:00,36,,,57.2,2,125,-6
Apr 23 3:00,36,,,57,1.8,125,-6
Apr 23 2:00,36,,,56.9,1.7,126,-5
Apr 23 1:00,36,,,56.8,1.7,126,-5
Apr 23 0:00,36,,,56.7,1.6,126,-5
Apr 22 23:00,36,,,56.6,1.5,126,-5
Apr 22 22:00,37,,,56.5,1.4,126,-5
Apr 22 21:00,37,,,56.3,1.2,126,-5
Apr 22 20:00,38,,,56.2,1.1,126,-5
Apr 22 19:00,38,,,56,1,126,-5
Apr 22 18:00,40,,,55.8,0.8,126,-5
Apr 22 17:00,44,,,55.6,0.6,126,-5
Apr 22 16:00,44,,,55.4,0.4,126,-5
Apr 22 15:00,47,,,55.3,0.3,127,-4
Apr 22 14:00,46,,,55.3,0.4,128,-3
Apr 22 13:00,45,,,55.2,0.3,129,-2
Apr 22 12:00,45,,,55.2,0.3,129,-2
Apr 22 11:00,43,,,55.2,0.3,130,-2
Apr 22 10:00,40,,,55.2,0.3,130,-2
Apr 22 9:00,38,,,55.2,0.3,130,-2
Apr 22 8:00,36,,,55.2,0.3,131,-1
Apr 22 7:00,33,,,55.2,0.3,131,-1
Apr 22 6:00,32,,,55.2,0.3,131,-1
Apr 22 5:00,31,,,55.2,0.2,131,-1
Apr 22 4:00,31,,,55.2,0.2,131,-1
Apr 22 3:00,30,,,55.2,0.2,131,-1
Apr 22 2:00,30,,,55.2,0.2,131,-1
Apr 22 1:00,30,,,55.1,0.1,131,-1
Apr 22 0:00,31,,,55.1,0.1,131,-1
Apr 21 23:00,31,,,55.1,0,131,-1
Apr 21 22:00,31,,,55.1,0.1,131,-2
Apr 21 21:00,31,,,55.1,0,131,-1
Apr 21 20:00,31,,,55.1,0.1,131,-2
Apr 21 19:00,33,,,55,0,131,-1
Apr 21 18:00,34,,,55,0.1,131,0
Apr 21 17:00,34,,,55,0.2,131,1
Apr 21 16:00,33,,,55,0.4,131,1
Apr 21 15:00,35,,,55,0.5,131,2
Apr 21 14:00,34,,,54.9,0.5,131,3
Apr 21 13:00,34,,,54.9,0.6,131,3
Apr 21 12:00,33,,,54.9,0.6,131,3
Apr 21 11:00,33,,,54.9,0.6,132,4
Apr 21 10:00,32,,,54.9,0.6,132,4
Apr 21 9:00,31,,,54.9,0.7,132,4
Apr 21 8:00,29,,,54.9,0.7,132,4
Apr 21 7:00,28,,,54.9,0.7,132,3
Apr 21 6:00,25,,,54.9,0.7,132,3
Apr 21 5:00,27,,,55,0.8,132,3
Apr 21 4:00,27,,,55,0.8,132,3
Apr 21 3:00,28,,,55,0.8,132,3
Apr 21 2:00,29,,,55,0.8,132,3
Apr 21 1:00,29,,,55,0.8,132,3
Apr 21 0:00,29,,,55,0.8,132,2
Apr 20 23:00,30,,,55.1,0.9,132,2
Apr 20 22:00,30,,,55,0.9,133,3
Apr 20 21:00,29,,,55.1,1,132,2
Apr 20 20:00,30,,,55,1,133,3
Apr 20 19:00,29,,,55,1,132,6
Apr 20 18:00,29,,,54.9,1,131,5
Apr 20 17:00,29,,,54.8,0.9,130,3
Apr 20 16:00,30,,,54.6,0.6,130,3
Apr 20 15:00,29,,,54.5,0.6,129,2
Apr 20 14:00,28,,,54.4,0.5,128,0
Apr 20 13:00,28,,,54.3,0.4,128,-1
Apr 20 12:00,29,,,54.3,0.4,128,0
Apr 20 11:00,30,,,54.3,0.4,128,-1
Apr 20 10:00,29,,,54.3,0.3,128,-2
Apr 20 9:00,25,,,54.2,0.2,128,-2
Apr 20 8:00,22,,,54.2,0.2,128,-2
Apr 20 7:00,16,,,54.2,0.2,129,-1
Apr 20 6:00,15,,,54.2,0.2,129,-1
Apr 20 5:00,20,,,54.2,0.2,129,0
Apr 20 4:00,22,,,54.2,0.2,129,0
Apr 20 3:00,22,,,54.2,0.3,129,2
Apr 20 2:00,23,,,54.2,0.4,129,2
Apr 20 1:00,24,,,54.2,0.4,129,3
