Date PDT,Temp F,RH %,Min mph,Spd mph,Gust mph,Dir deg
Apr 24 6:00,23,98,7,18,31,W
Apr 24 5:00,23,98,6,19,30,W
Apr 24 4:00,23,98,7,16,29,W
Apr 24 3:00,23,98,4,12,21,W
Apr 24 2:00,25,97,0,2,9,NW
Apr 24 1:00,26,97,0,4,13,SW
Apr 24 0:00,25,97,1,8,16,SSW
Apr 23 23:00,26,97,3,12,20,SSW
Apr 23 22:00,26,97,1,8,14,SW
Apr 23 21:00,26,98,0,4,13,SW
Apr 23 20:00,27,97,0,0,4,W
Apr 23 19:00,31,94,0,2,9,W
Apr 23 18:00,30,96,1,6,14,WSW
Apr 23 17:00,33,90,0,9,18,WSW
Apr 23 16:00,34,87,2,7,18,SW
Apr 23 15:00,35,87,0,10,25,SSW
Apr 23 14:00,35,88,5,14,28,SW
Apr 23 13:00,33,91,13,27,40,SW
Apr 23 12:00,34,93,0,9,29,SW
Apr 23 11:00,36,92,0,5,16,SW
Apr 23 10:00,38,90,0,6,15,SSW
Apr 23 9:00,34,98,1,10,18,SW
Apr 23 8:00,34,98,1,9,23,SSW
Apr 23 7:00,34,99,9,21,31,SW
Apr 23 6:00,33,98,4,15,28,SSW
Apr 23 5:00,33,97,4,18,31,SSW
Apr 23 4:00,33,98,9,22,34,S
Apr 23 3:00,33,99,8,21,37,S
Apr 23 2:00,33,98,11,20,34,S
Apr 23 1:00,35,99,12,22,34,S
Apr 23 0:00,35,99,8,19,32,S
Apr 22 23:00,35,99,10,22,37,S
Apr 22 22:00,35,99,8,20,38,S
Apr 22 21:00,35,99,12,23,34,S
Apr 22 20:00,36,98,8,19,31,S
Apr 22 19:00,36,93,3,15,30,S
Apr 22 18:00,36,91,6,14,24,SSW
Apr 22 17:00,39,87,3,12,22,SSW
Apr 22 16:00,42,82,0,2,14,S
Apr 22 15:00,40,88,0,0,4,SSW
Apr 22 14:00,43,85,0,0,4,S
Apr 22 13:00,41,86,0,0,3,SSE
Apr 22 12:00,39,88,0,1,4,SW
Apr 22 11:00,36,91,0,2,10,WSW
Apr 22 10:00,34,97,0,5,13,WSW
Apr 22 9:00,33,99,3,8,16,W
Apr 22 8:00,32,100,6,12,19,W
Apr 22 7:00,32,100,11,16,21,W
Apr 22 6:00,31,100,11,19,25,W
Apr 22 5:00,31,100,8,18,26,W
Apr 22 4:00,31,100,6,16,25,W
Apr 22 3:00,31,100,6,20,27,W
Apr 22 2:00,30,100,11,20,29,W
Apr 22 1:00,29,99,10,19,28,W
