Date,Area,Above Treeline,At Treeline,Below Treeline,Yesterday Danger Above Treeline,Yesterday Danger At Treeline,Yesterday Danger Below Treeline,Max Air Temp 24hr,Total Snowfall 24hr,Delta SWE 24hr,Min Temp Diff 48hr,Max Windspeed 24hr,Was High Winds 24hr,Max Air Temp 72hr,Total Snowfall 72hr,Weighted Snowfall 96hr,Was Heavy Snowfall 24hr,Sum Max Temp 72hr
2022-11-25,East Slopes North,2,1,1,0,0,0,45.95,-1.5,0.0,-12.65,42.36,1,0.0,0.0,0.0,0,0.0
2022-11-26,East Slopes North,3,3,2,2,1,1,29.15,3.0,0.35,1.25,43.07,1,0.0,0.0,0.0,0,0.0
2022-11-27,East Slopes North,2,2,1,3,3,2,29.3,5.5,0.8,-6.65,31.06,1,45.95,7.0,0.0,0,104.4
2022-11-28,East Slopes North,2,1,1,2,2,1,20.5,3.0,0.85,-14.15,31.77,1,29.3,11.5,8.25,0,78.94999999999999
2022-11-29,East Slopes North,3,3,2,2,1,1,21.55,1.0,-0.0499999999999999,1.8,9.88,0,29.3,9.5,6.75,0,71.35
2022-11-30,East Slopes North,2,2,2,3,3,2,24.7,4.0,0.75,10.45,40.95,1,24.7,8.0,7.625,0,66.75
2022-12-01,East Slopes North,2,2,2,2,2,2,20.75,3.0,0.6,-6.0,33.89,1,24.7,8.0,7.25,0,67.0
2022-12-02,East Slopes North,2,2,2,2,2,2,24.9,-4.0,-0.05,2.1,11.3,0,24.9,3.0,0.5,0,70.35
2022-12-03,East Slopes North,2,2,1,2,2,2,36.5,-1.0,0.25,8.45,0.0,0,36.5,-2.0,-1.5,0,82.15
2022-12-04,East Slopes North,2,1,1,2,2,1,38.25,-0.5,0.05,2.7,12.0,0,38.25,-5.5,-2.5,0,99.65
2022-12-05,East Slopes North,2,1,1,2,1,1,30.2,-1.0,0.1,-3.7,14.83,0,38.25,-2.5,-2.875,0,104.95
2022-12-06,East Slopes North,2,1,1,2,1,1,24.9,-2.0,0.15,0.8,24.71,0,38.25,-3.5,-3.25,0,93.35
2022-12-07,East Slopes North,2,2,1,2,1,1,29.5,0.0,0.3,0.55,22.59,0,30.2,-3.0,-2.125,0,84.6
2022-12-08,East Slopes North,2,1,1,2,2,1,27.95,0.0,-0.05,-1.3,22.59,0,29.5,-2.0,-1.25,0,82.35
2022-12-09,East Slopes North,3,3,3,2,1,1,27.75,7.0,0.6,0.0499999999999999,22.59,0,29.5,7.0,6.5,0,85.2
2022-12-10,East Slopes North,3,3,2,3,3,3,30.75,5.5,0.7,4.9,14.83,0,30.75,12.5,10.75,0,86.45
2022-12-11,East Slopes North,2,2,2,3,3,2,34.1,4.0,0.85,0.05,10.59,0,34.1,16.5,11.625,0,92.6
2022-12-12,East Slopes North,2,1,1,2,2,2,30.5,-3.5,0.05,-2.55,8.47,0,34.1,6.0,4.0,0,95.35
2022-12-13,East Slopes North,2,2,2,2,1,1,35.05,-2.0,-0.05,-0.3,0.0,0,35.05,-1.5,-1.25,0,99.65
2022-12-14,East Slopes North,2,1,1,2,2,2,33.35,-2.0,0.1,-0.2,10.59,0,35.05,-7.5,-4.25,0,98.9
2022-12-15,East Slopes North,2,2,2,2,1,1,34.1,0.0,0.0,5.2,24.0,0,35.05,-4.0,-3.375,0,102.5
2022-12-16,East Slopes North,2,2,2,2,2,2,43.6,0.0,0.05,2.15,41.65,1,43.6,-2.0,-1.5,0,111.05000000000001
2022-12-17,East Slopes North,2,2,2,2,2,2,32.3,-1.5,0.0,-9.95,24.71,0,43.6,-1.5,-2.0,0,110.0
2022-12-18,East Slopes North,2,2,2,2,2,2,20.8,-1.0,0.0,-17.75,32.48,1,43.6,-2.5,-2.125,0,96.69999999999999
2022-12-19,East Slopes North,3,3,2,2,2,2,17.35,6.5,0.3,0.25,26.83,1,32.3,4.0,5.0,0,70.45
2022-12-20,East Slopes North,3,3,2,3,3,2,22.450000000000003,0.5,0.4,3.35,22.59,0,22.450000000000003,6.0,4.5,0,60.60000000000001
2022-12-21,East Slopes North,3,2,2,3,3,2,7.5,9.0,0.95,-10.3,31.77,1,22.450000000000003,16.0,12.375,0,47.300000000000004
2022-12-22,East Slopes North,3,2,2,3,2,2,19.05,-8.5,-0.4,3.55,21.18,0,22.450000000000003,1.0,0.125,0,49.0
2022-12-23,East Slopes North,4,4,3,3,2,2,34.35,-1.5,0.45,19.1,36.71,1,34.35,-1.0,-3.25,0,60.900000000000006
2022-12-24,East Slopes North,3,3,3,4,4,3,38.1,5.0,2.2,15.65,53.66,1,38.1,-5.0,1.875,0,91.5
2022-12-25,East Slopes North,3,3,3,3,3,3,44.15,-0.5,0.45,0.6499999999999999,58.6,1,44.15,3.0,0.375,0,116.6
2022-12-26,East Slopes North,3,3,3,3,3,3,42.0,-5.5,-0.15,-3.7,60.01,1,44.15,-1.0,-3.75,0,124.25
2022-12-27,East Slopes North,2,2,1,3,3,3,37.4,-0.5,-0.2,-2.9,77.66,1,44.15,-6.5,-3.625,0,123.55000000000001
2022-12-28,East Slopes North,2,2,1,2,2,1,27.950000000000003,8.5,0.6000000000000001,-6.35,48.01,1,42.0,2.5,5.25,0,107.35
2022-12-29,East Slopes North,3,3,2,2,2,1,30.2,-0.5,0.4,1.25,26.83,1,37.4,7.5,4.25,0,95.55000000000001
2022-12-30,East Slopes North,2,2,2,3,3,2,31.700000000000003,-1.0,0.4,5.300000000000001,36.01,1,31.700000000000003,7.0,2.75,0,89.85000000000001
2022-12-31,East Slopes North,2,2,2,2,2,2,,6.5,1.05,,42.36,1,,5.0,7.625,0,
2023-01-01,East Slopes North,2,2,1,2,2,2,32.75,5.5,1.15,,26.83,1,32.75,11.0,9.75,0,
2023-01-02,East Slopes North,2,2,1,2,2,1,34.25,-1.5,0.15,0.3999999999999999,17.65,0,34.25,10.5,5.625,0,
2023-01-03,East Slopes North,2,1,1,2,2,1,29.950000000000003,-2.5,0.05,-0.95,22.59,0,34.25,1.5,0.75,0,96.95
2023-01-04,East Slopes North,2,2,1,2,1,1,33.9,-1.0,0.1,0.2499999999999999,30.36,1,34.25,-5.0,-2.25,0,98.1
2023-01-05,East Slopes North,2,2,1,2,2,1,36.15,-1.5,0.2,5.25,26.83,1,36.15,-5.0,-3.875,0,100.0
2023-01-06,East Slopes North,2,1,1,2,2,1,36.45,-0.5,0.4,-2.2,52.24,1,36.45,-3.0,-2.75,0,106.5
2023-01-07,East Slopes North,2,2,2,2,1,1,34.3,1.0,0.3,2.35,52.95,1,36.45,-1.0,-0.375,0,106.9
2023-01-08,East Slopes North,2,2,2,2,2,2,35.5,1.0,0.35,-1.6,31.77,1,36.45,1.5,1.125,0,106.25
2023-01-09,East Slopes North,2,2,2,2,2,2,34.3,3.5,0.4,-1.0,53.66,1,35.5,5.5,4.625,0,104.1
2023-01-10,East Slopes North,2,2,1,2,2,2,39.35,1.5,0.35,1.65,40.95,1,39.35,6.0,4.875,0,109.15
2023-01-11,East Slopes North,3,3,3,3,3,3,35.150000000000006,-1.5,0.1,1.2,26.12,1,39.35,-1.5,-1.0,0,109.65
2023-01-11,East Slopes North,2,2,2,3,3,3,35.150000000000006,-1.5,0.1,1.2,26.12,1,39.35,-1.5,-1.0,0,109.65
2023-01-12,East Slopes North,4,4,4,2,2,2,37.75,-0.5,0.1,0.65,31.06,1,37.75,-3.5,-2.0,0,108.05000000000001
2023-01-13,East Slopes North,3,3,3,4,4,4,38.85,5.0,0.8999999999999999,3.05,31.77,1,38.85,3.0,3.5,0,111.75
2023-01-14,East Slopes North,2,2,2,3,3,3,40.9,-4.0,-0.4499999999999999,-2.5,47.3,1,40.9,0.5,-0.875,0,117.5
2023-01-15,East Slopes North,2,2,2,2,2,2,36.900000000000006,-2.0,-0.0499999999999999,-2.25,36.71,1,40.9,-1.0,-2.625,0,116.65
2023-01-16,East Slopes North,2,2,1,2,2,2,31.3,1.5,0.15,-3.35,34.59,1,40.9,-4.5,-0.75,0,109.1
2023-01-17,East Slopes North,2,2,1,2,2,1,31.65,-0.5,0.1,-0.25,42.36,1,36.900000000000006,-1.0,-1.375,0,99.85000000000001
2023-01-18,East Slopes North,2,2,1,2,2,1,31.1,0.5,0.35,-2.65,31.06,1,31.65,1.5,0.375,0,94.05
2023-01-19,East Slopes North,2,2,1,2,2,1,29.3,8.0,1.0,-2.5,25.42,1,31.65,8.0,8.5,0,92.05000000000001
2023-01-20,East Slopes North,2,2,1,2,2,1,37.7,-2.5,0.15,1.9,0.0,0,37.7,6.0,3.625,0,98.1
2023-01-21,East Slopes North,2,2,1,2,2,1,38.05,-1.0,0.2,1.9,0.0,0,38.05,4.5,1.25,0,105.05
2023-01-22,East Slopes North,2,2,1,2,2,1,25.4,0.5,0.2,-3.15,40.95,1,38.05,-3.0,0.5,0,101.15
2023-01-23,East Slopes North,2,2,1,2,2,1,30.1,-0.5,0.15,0.9,9.18,0,38.05,-1.0,-1.25,0,93.55
2023-01-24,East Slopes North,2,2,1,2,2,1,30.85,-1.0,0.1,4.15,13.41,0,30.85,-1.0,-1.375,0,86.35
2023-01-25,East Slopes North,2,1,1,2,2,1,42.9,0.0,0.35,0.1499999999999999,7.766,0,42.9,-1.5,-0.875,0,103.85
2023-01-26,East Slopes North,2,1,1,2,1,1,41.45,-0.5,0.1,2.8,12.71,0,42.9,-1.5,-1.125,0,115.19999999999999
2023-01-27,East Slopes North,2,1,1,2,1,1,34.15,1.0,0.55,-3.15,24.71,0,42.9,0.5,0.375,0,118.5
2023-01-28,East Slopes North,2,2,1,2,1,1,27.5,2.0,0.35,-14.85,20.47,0,41.45,2.5,2.5,0,103.1
2023-01-29,East Slopes North,2,1,1,2,2,1,22.05,-2.0,-0.25,-2.85,31.06,1,34.15,1.0,-0.125,0,83.69999999999999
2023-01-30,East Slopes North,1,1,1,2,1,1,27.700000000000003,-0.5,0.05,8.1,26.83,1,27.700000000000003,-0.5,-0.75,0,77.25
2023-01-31,East Slopes North,1,1,1,1,1,1,25.95,-0.5,0.15,3.05,24.71,0,27.700000000000003,-3.0,-1.375,0,75.7
2023-02-01,East Slopes North,1,1,1,1,1,1,32.900000000000006,0.5,0.4,3.25,27.53,1,32.900000000000006,-0.5,-0.625,0,86.55000000000001
2023-02-02,East Slopes North,1,1,1,1,1,1,39.1,0.5,0.1,8.45,36.71,1,39.1,0.5,0.5,0,97.95
2023-02-03,East Slopes North,2,2,1,1,1,1,40.3,-0.5,0.15,-2.1,55.77,1,40.3,0.5,0.0,0,112.30000000000001
