#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Hourly
# Date Range: 2022-11-01 00:00 to 2023-04-30 23:00
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 748: Sheep Canyon, WA
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration  Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous      N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value       None           Instantaneous      N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value       None           Instantaneous      N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Observed    Value       None           Instantaneous      N/A        Degrees fahrenheit  N/A           TOBS          Instantaneously observed air temperature                                                           
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Sheep Canyon (748) 
# Washington  SNOTEL Site - 3990 ft
# Reporting Frequency: Hourly; Date Range: 2022-11-01 00:00 to 2023-04-30 23:00
#
# As of: May 14, 2023 4:23:39 PM GMT-08:00
#
Date,Station Id,Station Name,Snow Water Equivalent (in),Snow Depth (in),Precipitation Accumulation (in),Air Temperature Observed (degF),Elevation (ft),Latitude,Longitude
2022-11-01 00:00,748,Sheep Canyon,0.3,0,7.6,33.8,3990,46.19325,-122.25393
2022-11-01 01:00,748,Sheep Canyon,0.3,0,7.6,33.6,3990,46.19325,-122.25393
2022-11-01 02:00,748,Sheep Canyon,0.3,0,7.6,33.6,3990,46.19325,-122.25393
2022-11-01 03:00,748,Sheep Canyon,0.4,-2,7.7,33.4,3990,46.19325,-122.25393
2022-11-01 04:00,748,Sheep Canyon,0.4,-1,7.7,33.3,3990,46.19325,-122.25393
2022-11-01 05:00,748,Sheep Canyon,0.3,-1,7.7,32.5,3990,46.19325,-122.25393
2022-11-01 06:00,748,Sheep Canyon,0.3,-2,7.7,32.4,3990,46.19325,-122.25393
2022-11-01 07:00,748,Sheep Canyon,0.3,-2,7.7,32.4,3990,46.19325,-122.25393
2022-11-01 08:00,748,Sheep Canyon,0.3,-1,7.7,32.5,3990,46.19325,-122.25393
2022-11-01 09:00,748,Sheep Canyon,0.3,-2,7.7,33.3,3990,46.19325,-122.25393
2022-11-01 10:00,748,Sheep Canyon,0.3,-1,7.7,33.8,3990,46.19325,-122.25393
2022-11-01 11:00,748,Sheep Canyon,0.3,0,7.7,33.3,3990,46.19325,-122.25393
2022-11-01 12:00,748,Sheep Canyon,0.3,0,7.7,34.2,3990,46.19325,-122.25393
2022-11-01 13:00,748,Sheep Canyon,0.3,0,7.7,34.2,3990,46.19325,-122.25393
2022-11-01 14:00,748,Sheep Canyon,0.3,0,7.7,33.8,3990,46.19325,-122.25393
2022-11-01 15:00,748,Sheep Canyon,0.3,0,7.7,34.2,3990,46.19325,-122.25393
2022-11-01 16:00,748,Sheep Canyon,0.3,0,7.7,33.8,3990,46.19325,-122.25393
2022-11-01 17:00,748,Sheep Canyon,0.3,0,7.7,32.9,3990,46.19325,-122.25393
2022-11-01 18:00,748,Sheep Canyon,0.3,0,7.7,32.7,3990,46.19325,-122.25393
2022-11-01 19:00,748,Sheep Canyon,0.3,0,7.7,32.5,3990,46.19325,-122.25393
2022-11-01 20:00,748,Sheep Canyon,0.3,0,7.7,31.8,3990,46.19325,-122.25393
2022-11-01 21:00,748,Sheep Canyon,0.4,,7.8,31.5,3990,46.19325,-122.25393
2022-11-01 22:00,748,Sheep Canyon,0.4,-3,7.9,30.7,3990,46.19325,-122.25393
2022-11-01 23:00,748,Sheep Canyon,0.5,0,7.9,30.4,3990,46.19325,-122.25393
2022-11-02 00:00,748,Sheep Canyon,0.5,0,7.9,29.7,3990,46.19325,-122.25393
