"Date/Time (PST)","Battery Voltage  (v) ","Precipitation  ("") ","Relative Humidity  (%) ","Temperature  (deg F) ","Wind Direction  (deg.) ","Wind Speed Average  (mph) ","Wind Speed Maximum  (mph) ","Wind Speed Minimum  (mph) "
"2023-05-18 07:00:00",10.17,0,80.2,68.57,33.23,-0.003,0,-0.033
"2023-05-18 06:00:00",9.78,0,96.4,59.28,16.45,-0.003,0,-0.017
"2023-05-18 05:00:00",9.95,0,95.4,55.5,50.63,-0.003,0.017,-0.017
"2023-05-18 04:00:00",11.47,0,94.6,56.1,51.6,-0.003,0.017,-0.017
"2023-05-18 03:00:00",9.88,0,93.7,56.52,55.41,-0.003,0.017,-0.017
"2023-05-18 02:00:00",9.76,0,93.7,58.56,35.64,-0.003,0.017,-0.033
"2023-05-18 01:00:00",9.65,0,92.7,61.14,17.1,-0.003,0.017,-0.017
"2023-05-18 00:00:00",10.13,0,92.4,57.3,12.81,-0.002,0.017,-0.017
"2023-05-17 23:00:00",9.84,0,94.3,59.76,11.89,-0.003,0.017,-0.033
"2023-05-17 22:00:00",10.34,0,93,60.54,11.86,-0.002,0.017,-0.017
"2023-05-17 21:00:00",9.83,0,89.6,62.03,11.66,-0.002,0.017,-0.017
"2023-05-17 20:00:00",9.95,0,83.3,65.33,6.515,0.001,0.3,-0.017
"2023-05-17 19:00:00",12.66,0,76.6,70.1,332.2,1.452,4.629,-0.033
"2023-05-17 18:00:00",9.77,0,59.92,75.6,306.7,1.833,5.412,-0.017
"2023-05-17 17:00:00",9.61,0,57.19,74.4,306.3,1.928,7.59,-0.017
"2023-05-17 16:00:00",9.84,0,64.58,73.8,315.2,2.037,8.13,-0.017
"2023-05-17 15:00:00",9.87,0,62.81,75.8,303.8,3.006,8.11,-0.017
"2023-05-17 14:00:00",10.84,0,55.45,78.2,311.4,3.594,10.22,-0.017
"2023-05-17 13:00:00",9.86,0,52.76,81.5,159.9,1.728,8.88,-0.017
"2023-05-17 12:00:00",9.84,0,42.33,79.7,133.4,1.269,5.645,-0.017
"2023-05-17 11:00:00",9.88,0,44.33,78.5,135.2,0.799,5.096,-0.017
"2023-05-17 10:00:00",9.8,0,41.73,79.8,147.6,0.205,2.182,-0.017
"2023-05-17 09:00:00",10,0,51.82,75.5,138.1,0.048,1.166,-0.017
