"Date/Time (PST)","Battery Voltage  (v) ","Precipitation  ("") ","Relative Humidity  (%) ","Total Snow Depth  ("") ","24 Hour Snow  ("") ","Solar Radiation  (W/m2) ","Temperature  (deg F) ","Wind Direction  (deg.) ","Wind Speed Average  (mph) ","Wind Speed Maximum  (mph) ","Wind Speed Minimum  (mph) "
"2022-12-31 23:00:00",13.16,0,91.4,31.09,14.44,0,23.7,59.46,0,0,0
"2022-12-31 22:00:00",13.16,0,92.3,31.03,14.71,0.003100362,23.69,54.4,0,0,0
"2022-12-31 21:00:00",13.16,0,91.3,31.03,15.11,0.003100362,23.96,63.87,0,0,0
"2022-12-31 20:00:00",13.16,0,95.2,31.03,15.11,0.003100362,25.31,68.8,0,0,0
"2022-12-31 19:00:00",13.16,0,91.8,31.03,15.51,0.003100362,25.28,72.21,0,0,0
"2022-12-31 18:00:00",13.16,0,100,31.04,15.65,0.006200723,26.78,57.37,0,0,0
"2022-12-31 17:00:00",13.16,0,94.1,30.78,15.76,0.2294268,27.04,64.81,0,0,0
"2022-12-31 16:00:00",13.16,0,91.9,30.55,15.79,4.72185,27.28,69.97,0,0,0
"2022-12-31 15:00:00",13.16,0,88.8,30.25,15.79,12.31464,28.18,67.52,0,0,0
"2022-12-31 14:00:00",13.16,0,86.5,30.25,15.79,22.66674,29.33,77.65,0,0,0
"2022-12-31 13:00:00",13.16,0,87,29.89,15.65,23.1349,28.28,257,0,0,0
"2022-12-31 12:00:00",13.15,0,88.8,28.61,15.65,20.5523,25.8,256.1,0,0,0
"2022-12-31 11:00:00",13.15,0,89,27.94,15.31,18.98041,22.6,256.1,0,0,0
"2022-12-31 10:00:00",13.15,0,89,28,14.97,12.9037,20.16,255.8,0,0,0
"2022-12-31 09:00:00",13.15,0,87.9,28.34,45.46,3.794833,17.7,254.9,0,0,0
"2022-12-31 08:00:00",13.15,0,88.6,28.61,45.46,0.1302152,19.68,48.33,0,0,0
"2022-12-31 07:00:00",13.15,0,91.5,112,45.46,0.006200723,22.69,65.57,0,0,0
"2022-12-31 06:00:00",13.15,0,90.7,112,13.37,0.003100362,21.49,65.37,0,0,0
"2022-12-31 05:00:00",13.15,0,90.1,112,13.77,0.003100362,20.59,49.58,0,0,0
"2022-12-31 04:00:00",13.15,0,89.8,71.16,15.38,0.006200723,20.64,71.02,0,0,0
"2022-12-31 03:00:00",13.16,0,91.2,112,15.65,0.003100362,23.2,65.71,0,0,0
"2022-12-31 02:00:00",13.16,0,92.1,29.69,16.05,0.006200723,25.23,58.39,0,0,0
"2022-12-31 01:00:00",13.16,0,92.5,30.63,16.05,0,26.29,74.37,0,0,0
"2022-12-31 00:00:00",13.16,0,96.2,112,41.34,0.003100362,26.35,57.54,0,0,0
"2022-12-30 23:00:00",13.16,0,92.6,30.98,45.46,0.01240145,26.79,61.53,0,0,0
"2022-12-30 22:00:00",13.16,0,100,31.3,-156.7,0.003100362,27.23,80.1,0,0,0
"2022-12-30 21:00:00",13.16,0,100,31.03,35.08,0.009301043,26.8,60.64,0,0,0
"2022-12-30 20:00:00",13.16,0,100,30.26,-29.01,0.009301093,25.55,69.8,0,0,0
"2022-12-30 19:00:00",13.16,0,95.2,112,16.19,0.003100365,26.55,68.95,0,0,0
"2022-12-30 18:00:00",13.16,0.01,98.5,112,15.79,0.006200729,28.89,65.89,0,0,0
"2022-12-30 17:00:00",13.16,0.01,93.7,32.06,15.79,0.2604306,29.46,65.51,0,0,0
"2022-12-30 16:00:00",13.16,0,92.8,32.46,15.69,3.704936,29.99,60.46,0,0,0
"2022-12-30 15:00:00",13.16,0.01,90.1,32.06,15.39,9.623531,30.48,97.4,0,0,0
"2022-12-30 14:00:00",13.16,0.01,90.2,112,45.46,11.76278,30.87,61.18,0,0,0
"2022-12-30 13:00:00",13.16,0.01,87.9,28.64,45.46,18.41616,30.69,70.79,0,0,0
"2022-12-30 12:00:00",13.16,0.02,89.9,30.12,13.38,19.90124,29.23,59.84,0,0,0
"2022-12-30 11:00:00",13.16,0.02,90.3,29.09,45.46,9.648335,27.05,64.87,0,0,0
"2022-12-30 10:00:00",13.16,0.01,90.8,27.94,12.97,8.281074,26.11,59.26,0,0,0
"2022-12-30 09:00:00",13.16,0,91.7,30.36,13.24,2.492693,24.59,58.55,0,0,0
"2022-12-30 08:00:00",13.16,0,91.4,30.09,13.5,0.1116131,24.1,59.62,0,0,0
"2022-12-30 07:00:00",13.16,0.01,91.6,29.69,13.77,0,24.13,63.92,0,0,0
"2022-12-30 06:00:00",13.16,0.01,91.3,29.89,13.24,0,24.08,62.8,0,0,0
"2022-12-30 05:00:00",13.16,0.07,91.4,29.69,13.24,0,24.12,101.3,0,0,0
"2022-12-30 04:00:00",13.16,0.08,91.4,29.15,13.03,0.003100365,24.08,77.14,0,0,0
"2022-12-30 03:00:00",13.16,0.06,91.2,27.74,11.69,0.003100365,24.07,47.82,0,0,0
"2022-12-30 02:00:00",13.16,0.04,91.4,28.88,12.03,0,24.38,48.53,0,0,0
"2022-12-30 01:00:00",13.16,0.05,91.4,26.54,10.96,0,24.47,58.7,0,0,0
"2022-12-30 00:00:00",13.16,0,92.1,28.01,11.49,0.009301093,24.16,60.74,0.057,2.718,0
"2022-12-29 23:00:00",13.16,0,91,28.08,10.62,0,23.76,64.59,0,0,0
"2022-12-29 22:00:00",13.16,0,90.9,27.94,10.96,0,23.66,62.17,0,0,0
"2022-12-29 21:00:00",13.16,0,90.8,27.94,11.12,0.003100365,23.57,53.37,0,0,0
"2022-12-29 20:00:00",13.16,0,90.4,27.81,10.82,0,23.57,68.06,0,0,0
"2022-12-29 19:00:00",13.16,0,90.3,27.74,11.02,0.01550182,23.68,46.98,0,0,0
"2022-12-29 18:00:00",13.16,0.01,90.2,28.08,10.96,0,23.69,77.24,0,0,0
"2022-12-29 17:00:00",13.16,0.01,89.5,27.74,10.29,0.1674197,23.93,72.9,0,0,0
"2022-12-29 16:00:00",13.16,0.01,88,26.6,10.82,9.415807,24.79,74.45,0,0,0
"2022-12-29 15:00:00",13.16,0.01,87.2,27.34,10.42,19.27807,24.61,79.21,0,0,0
"2022-12-29 14:00:00",13.16,0,83.6,28.41,10.49,26.77785,24.28,67.88,0,0,0
"2022-12-29 13:00:00",13.15,0,79.67,29.02,11.23,42.18666,23.18,89.2,0.063,2.126,0
"2022-12-29 12:00:00",13.15,0,79.43,29.22,11.9,30.43628,22.04,71.77,0,0,0
"2022-12-29 11:00:00",13.15,0,85.2,29.27,11.75,26.63213,19.98,60.86,0,0,0
"2022-12-29 10:00:00",13.15,0,87.5,29.26,11.88,23.8201,17.15,61.07,0,0,0
"2022-12-29 09:00:00",13.14,0,86.5,29.32,11.88,8.259371,12.94,35.24,0,0,0
"2022-12-29 08:00:00",13.15,0,85.9,29.24,12.15,0.3379397,11.09,34.07,0,0,0
"2022-12-29 07:00:00",13.15,0,85.4,29.23,12.14,0,9.78,64.42,0,0,0
"2022-12-29 06:00:00",13.14,0,85.7,29.1,12.01,0.006200723,9.79,35.61,0,0,0
"2022-12-29 05:00:00",13.14,0,86.8,29.19,11.41,0.009301085,10.38,55.21,0,0,0
"2022-12-29 04:00:00",13.15,0,88,29.12,11.35,0,12.14,51.19,0,0,0
"2022-12-29 03:00:00",13.15,0,89.6,29.12,11.88,0,13.29,47.62,0,0,0
"2022-12-29 02:00:00",13.15,0,87.6,29.26,11.88,0,15.33,57.82,0.023,1.951,0
"2022-12-29 01:00:00",13.15,0,84.4,29.28,11.89,0,18.29,289.6,0.063,2.915,0
"2022-12-29 00:00:00",13.15,0,82.3,29.42,11.89,0.003100362,19.9,304.1,0.101,2.587,0
