Date,Max Windspeed 24hr,Was High Winds 24hr
2022-01-01,24.355,0
2022-01-02,48.00666666666666,1
2022-01-03,74.61333333333333,1
2022-01-04,63.30333333333334,1
2022-01-05,47.77333333333333,1
2022-01-06,56.24666666666667,1
2022-01-07,74.82666666666667,1
2022-01-08,77.66666666666667,1
2022-01-09,63.53333333333333,1
2022-01-10,59.31,1
2022-01-11,45.18333333333334,1
2022-01-12,68.72,1
2022-01-13,56.01,1
2022-01-14,60.01333333333333,1
2022-01-15,28.94666666666667,1
2022-01-16,29.650000000000002,1
2022-01-17,22.593333333333334,0
2022-01-18,40.71333333333333,1
2022-01-19,37.656666666666666,1
2022-01-20,28.709999999999997,1
2022-01-21,84.24333333333334,1
2022-01-22,36.71,1
2022-01-23,27.296666666666667,1
2022-01-24,26.356666666666666,1
2022-01-25,33.18333333333333,1
2022-01-26,22.12,0
2022-01-27,21.650000000000002,0
2022-01-28,29.416666666666668,1
2022-01-29,32.71333333333333,1
2022-01-30,36.00666666666667,1
2022-01-31,66.83666666666666,1
2022-02-01,67.05666666666666,1
2022-02-02,45.89000000000001,1
2022-02-03,46.59666666666667,1
2022-02-04,39.06666666666666,1
2022-02-05,60.24666666666667,1
2022-02-06,54.36333333333334,1
2022-02-07,28.94666666666667,1
2022-02-08,51.53666666666667,1
2022-02-09,44.24333333333333,1
2022-02-10,47.06666666666666,1
2022-02-11,44.24,1
2022-02-12,40.24,1
2022-02-13,37.18333333333333,1
2022-02-14,31.77,1
2022-02-15,43.06666666666666,1
2022-02-16,47.303333333333335,1
2022-02-17,44.24333333333334,1
2022-02-18,49.656666666666666,1
2022-02-19,45.419999999999995,1
2022-02-20,63.77333333333333,1
2022-02-21,49.419999999999995,1
2022-02-22,37.419999999999995,1
2022-02-23,35.53333333333333,1
2022-02-24,39.53666666666667,1
2022-02-25,43.53666666666667,1
2022-02-26,17.883333333333333,0
2022-02-27,63.29,1
2022-02-28,77.90666666666668,1
2022-03-01,85.88666666666666,1
2022-03-02,46.35999999999999,1
2022-03-03,37.89,1
2022-03-04,35.53333333333333,1
2022-03-05,23.53333333333333,0
2022-03-06,25.886666666666667,1
2022-03-07,30.83,1
2022-03-08,47.53666666666667,1
2022-03-09,41.88999999999999,1
2022-03-10,22.35666666666667,0
2022-03-11,42.59666666666667,1
2022-03-12,44.24,1
2022-03-13,61.66,1
2022-03-14,42.593333333333334,1
2022-03-15,41.653333333333336,1
2022-03-16,54.596666666666664,1
2022-03-17,37.88666666666666,1
2022-03-18,39.06666666666667,1
2022-03-19,40.47666666666667,1
2022-03-20,62.123333333333335,1
2022-03-21,41.416666666666664,1
2022-03-22,33.419999999999995,1
2022-03-23,37.416666666666664,1
2022-03-24,45.18333333333334,1
2022-03-25,43.06666666666666,1
2022-03-26,33.65333333333333,1
2022-03-27,30.356666666666666,1
2022-03-28,43.53666666666667,1
2022-03-29,29.183333333333334,1
2022-03-30,28.24,1
2022-03-31,48.47666666666667,1
2022-04-01,40.949999999999996,1
2022-04-02,35.53666666666667,1
2022-04-03,52.71333333333333,1
2022-04-04,53.656666666666666,1
2022-04-05,90.58666666666666,1
2022-04-06,61.89333333333334,1
2022-04-07,28.47666666666667,1
2022-04-08,55.53999999999999,1
2022-04-09,67.30666666666667,1
2022-04-10,62.36333333333334,1
2022-04-11,48.949999999999996,1
2022-04-12,61.18,1
2022-04-13,28.709999999999997,1
2022-04-14,40.00666666666667,1
2022-04-15,20.00333333333333,0
2022-04-16,29.416666666666668,1
2022-04-17,45.18333333333334,1
2022-04-18,61.89666666666667,1
2022-04-19,71.32000000000001,1
2022-04-20,37.18333333333333,1
2022-04-21,62.61333333333334,1
2022-04-22,47.77333333333333,1
2022-04-23,31.3,1
2022-04-24,28.95,1
2022-04-25,46.35999999999999,1
2022-04-26,41.656666666666666,1
2022-04-27,36.946666666666665,1
2022-04-28,16.475333333333335,0
2022-04-29,27.296666666666667,1
2022-04-30,41.18666666666667,1
2022-05-01,45.18333333333334,1
2022-05-02,38.593333333333334,1
2022-05-03,41.416666666666664,1
2022-05-04,36.95,1
2022-05-05,32.00666666666667,1
2022-05-06,54.35999999999999,1
2022-05-07,56.48333333333333,1
2022-05-08,47.07,1
2022-05-09,33.653333333333336,1
2022-05-10,38.36000000000001,1
2022-05-11,28.94666666666667,1
2022-05-12,35.06333333333333,1
2022-05-13,59.54333333333333,1
2022-05-14,39.53666666666666,1
2022-05-15,37.88666666666666,1
2022-05-16,56.47666666666667,1
2022-05-17,28.709999999999997,1
2022-05-18,34.593333333333334,1
2022-05-19,85.41333333333334,1
2022-05-20,56.24333333333334,1
2022-05-21,31.3,1
2022-05-22,23.296666666666667,0
2022-05-23,20.94333333333333,0
2022-05-24,37.88999999999999,1
2022-05-25,31.3,1
2022-05-26,33.89,1
2022-05-27,40.71333333333334,1
2022-05-28,52.946666666666665,1
2022-05-29,28.003333333333334,1
2022-05-30,40.47666666666667,1
2022-05-31,33.88666666666666,1
2022-06-01,32.239999999999995,1
2022-06-02,35.06333333333333,1
2022-06-03,40.00333333333334,1
2022-06-04,45.656666666666666,1
2022-06-05,41.419999999999995,1
2022-06-06,37.18,1
2022-06-07,31.3,1
2022-06-08,47.77333333333333,1
2022-06-09,39.06333333333333,1
2022-06-10,69.19333333333333,1
2022-06-11,48.949999999999996,1
2022-06-12,37.89,1
2022-06-13,48.71666666666666,1
2022-06-14,53.18666666666667,1
2022-06-15,52.01000000000001,1
2022-06-16,42.12666666666667,1
2022-06-17,35.300000000000004,1
2022-06-18,27.066666666666666,1
2022-06-19,32.00333333333333,1
2022-06-20,32.00666666666667,1
2022-06-21,32.24,1
2022-06-22,32.00666666666667,1
2022-06-23,39.53666666666667,1
2022-06-24,35.77,1
2022-06-25,30.123333333333335,1
2022-06-26,40.95,1
2022-06-27,42.596666666666664,1
2022-06-28,32.47666666666667,1
2022-06-29,49.653333333333336,1
2022-06-30,32.47666666666667,1
2022-07-01,27.53333333333333,1
2022-07-02,23.53333333333333,0
2022-07-03,25.179999999999996,1
2022-07-04,30.356666666666666,1
2022-07-05,23.296666666666667,0
2022-07-06,25.179999999999996,1
2022-07-07,25.650000000000002,1
2022-07-08,18.356666666666666,0
2022-07-09,23.766666666666666,0
2022-07-10,36.00666666666667,1
2022-07-11,33.653333333333336,1
2022-07-12,21.41333333333333,0
2022-07-13,26.83,1
2022-07-14,30.126666666666665,1
2022-07-15,28.476666666666663,1
2022-07-16,27.066666666666666,1
2022-07-17,24.47333333333333,0
2022-07-18,41.18333333333333,1
2022-07-19,44.00666666666667,1
2022-07-20,23.060000000000002,0
2022-07-21,24.006666666666664,0
2022-07-22,24.943333333333328,0
2022-07-23,31.3,1
2022-07-24,27.3,1
2022-07-25,22.12,0
2022-07-26,21.18,0
2022-07-27,24.473333333333333,0
2022-07-28,19.766666666666666,0
2022-07-29,21.883333333333336,0
2022-07-30,23.766666666666666,0
2022-07-31,22.59,0
2022-08-01,24.47333333333333,0
2022-08-02,29.653333333333336,1
2022-08-03,37.88666666666666,1
2022-08-04,34.593333333333334,1
2022-08-05,30.123333333333335,1
2022-08-06,25.180000000000003,1
2022-08-07,19.296666666666667,0
2022-08-08,23.53333333333333,0
2022-08-09,21.646666666666665,0
2022-08-10,36.24,1
2022-08-11,34.36,1
2022-08-12,38.123333333333335,1
2022-08-13,32.24,1
2022-08-14,29.416666666666668,1
2022-08-15,27.060000000000002,1
2022-08-16,20.236666666666668,0
2022-08-17,21.886666666666667,0
2022-08-18,27.53333333333333,1
2022-08-19,33.416666666666664,1
2022-08-20,19.06,0
2022-08-21,20.236666666666668,0
2022-08-22,24.006666666666664,0
2022-08-23,24.006666666666664,0
2022-08-24,16.946666666666665,0
2022-08-25,20.0,0
2022-08-26,23.53333333333333,0
2022-08-27,40.47666666666667,1
2022-08-28,46.126666666666665,1
2022-08-29,25.180000000000003,1
2022-08-30,18.353333333333335,0
2022-08-31,22.353333333333335,0
2022-09-01,30.593333333333334,1
2022-09-02,27.063333333333333,1
2022-09-03,30.593333333333334,1
2022-09-04,24.00333333333333,0
2022-09-05,26.826666666666664,1
2022-09-06,30.830000000000002,1
2022-09-07,19.296666666666667,0
2022-09-08,34.36,1
2022-09-09,31.77,1
2022-09-10,48.47666666666667,1
2022-09-11,48.71333333333334,1
2022-09-12,25.653333333333336,1
2022-09-13,31.063333333333333,1
2022-09-14,24.473333333333333,0
2022-09-15,16.0,0
2022-09-16,17.883333333333333,0
2022-09-17,36.71,1
2022-09-18,26.593333333333334,1
2022-09-19,36.946666666666665,1
2022-09-20,18.356666666666666,0
2022-09-21,31.53333333333333,1
2022-09-22,39.06333333333333,1
2022-09-23,48.00666666666666,1
2022-09-24,33.416666666666664,1
2022-09-25,28.47666666666667,1
