"Date/Time (PST)","Battery Voltage  (v) ","Relative Humidity  (%) ","Solar Radiation  (W/m2) ","Temperature  (deg F) ","Wind Direction  (deg.) ","Wind Speed Average  (mph) ","Wind Speed Maximum  (mph) ","Wind Speed Minimum  (mph) "
"2022-12-31 23:00:00",12.82,90.3,0,19.75,348.1,7.195,14.83,2.824
"2022-12-31 22:00:00",12.85,88.2,0,19.95,334.9,8.82,16.24,2.824
"2022-12-31 21:00:00",12.89,86.8,0,19.91,333.2,11.1,19.06,5.648
"2022-12-31 20:00:00",12.96,89.5,0,20.18,333.5,12.31,21.18,4.236
"2022-12-31 19:00:00",13.08,86,0,20.11,317,13.11,22.59,4.942
"2022-12-31 18:00:00",13.26,80.4,0,19.99,302.1,15.24,32.48,5.648
"2022-12-31 17:00:00",13.54,88.2,2.256,19.48,318.8,11.97,27.53,3.53
"2022-12-31 16:00:00",14,90.4,17.13,20.12,312.4,14.54,27.53,7.06
"2022-12-31 15:00:00",14.45,69.64,223.2,22.67,293.1,14.15,26.12,7.06
"2022-12-31 14:00:00",14.43,73.21,332,24.28,297.6,12.11,23.3,4.942
"2022-12-31 13:00:00",14.44,81.3,332.8,25.89,301.6,9.38,19.77,2.824
"2022-12-31 12:00:00",14.53,84,389.8,24.33,288.2,11.38,22.59,4.236
"2022-12-31 11:00:00",14.93,86.7,311.4,24.47,348.9,9.3,21.89,2.118
"2022-12-31 10:00:00",14.78,84,171.7,22.63,340.4,6.929,26.83,1.412
"2022-12-31 09:00:00",12.84,93.1,146.3,22.15,290.5,4.736,17.65,0.706
"2022-12-31 08:00:00",12.71,92.4,3.427,20.26,326.1,8.78,24.71,2.118
"2022-12-31 07:00:00",12.71,86.1,0,20.96,296.4,10,23.3,1.412
"2022-12-31 06:00:00",12.72,79.86,0,21.37,253.9,10.89,20.47,4.942
"2022-12-31 05:00:00",12.73,88.6,0,21.36,280.9,12.99,28.95,4.236
"2022-12-31 04:00:00",12.74,90.6,0,21.57,305.7,12.02,29.65,2.824
"2022-12-31 03:00:00",12.75,92,0,21.11,293.8,12.53,27.53,3.53
"2022-12-31 02:00:00",12.77,95.4,0,21.42,307.9,9.48,27.53,2.118
"2022-12-31 01:00:00",12.78,95.5,0,22.19,293.7,7.642,19.77,1.412
"2022-12-31 00:00:00",12.8,92.9,0,21.75,308.9,9.97,21.18,2.824
"2022-12-30 23:00:00",12.82,93.8,0,22.73,276.4,9.02,15.53,3.53
"2022-12-30 22:00:00",12.84,97.7,0,23.64,274,6.156,14.12,0.706
"2022-12-30 21:00:00",12.87,97.8,0,22.65,196,5.085,10.59,1.412
