#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 2022-11-01 to 2023-04-30
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 515: Harts Pass, WA
# 
# Data items provided in this file:
#
# Element Name             Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Air Temperature Maximum  Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Snow Depth               Delta       None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent    Delta       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Air Temperature Minimum  Delta       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Harts Pass (515) 
# Washington  SNOTEL Site - 6490 ft
# Reporting Frequency: Daily; Date Range: 2022-11-01 to 2023-04-30
#
# As of: May 25, 2023 9:20:45 AM GMT-08:00
#
Date,Harts Pass (515) Air Temperature Maximum (degF),Harts Pass (515) Change In Snow Depth (in) Start of Day Values,Harts Pass (515) Change In Snow Water Equivalent (in) Start of Day Values,Harts Pass (515) Change In Air Temperature Minimum (degF)
2022-11-01,29.7,7,0.6,-3.1
2022-11-02,24.3,-3,-0.2,-5.6
2022-11-03,21.7,1,-0.3,0.9
2022-11-04,35.2,0,0.6,4.2
2022-11-05,25.7,12,2.3,-4.0
2022-11-06,20.7,2,0.6,-0.3
2022-11-07,25.2,8,0.7,0.7
2022-11-08,25.7,2,0.4,0.2
2022-11-09,27.5,-5,-0.1,-0.2
2022-11-10,39.6,-4,0.0,-4.2
2022-11-11,19.9,1,0.0,0.0
2022-11-12,32.4,-1,0.0,6.5
2022-11-13,28.6,-2,0.2,3.8
2022-11-14,35.8,0,0.3,5.4
2022-11-15,44.1,-1,0.1,4.7
2022-11-16,46.0,0,0.2,-8.5
2022-11-17,23.9,-1,-0.1,-10.1
2022-11-18,40.1,-1,-0.3,4.2
2022-11-19,50.9,0,0.2,12.9
2022-11-20,40.5,0,0.2,0.0
2022-11-21,37.8,-1,0.0,-1.2
2022-11-22,33.8,0,0.0,-13.7
2022-11-23,35.4,3,0.5,8.6
2022-11-24,45.1,0,0.0,4.5
2022-11-25,45.0,-1,0.2,-8.2
2022-11-26,28.2,0,0.0,-0.2
2022-11-27,26.8,-1,0.2,-6.7
2022-11-28,15.8,7,0.3,-17.4
2022-11-29,7.2,1,-0.2,1.2
2022-11-30,18.1,2,0.6,7.6
2022-12-01,14.7,8,1.1,-2.5
2022-12-02,14.5,-3,-0.2,4.3
2022-12-03,26.4,-1,0.1,2.3
2022-12-04,29.8,-2,0.2,7.2
2022-12-05,25.2,-1,0.2,-0.7
2022-12-06,21.2,0,0.0,2.0
2022-12-07,31.8,1,0.4,-7.2
2022-12-08,21.4,-1,-0.2,0.0
2022-12-09,19.6,1,0.4,-0.2
2022-12-10,23.7,3,0.3,5.2
2022-12-11,33.6,4,1.0,5.2
2022-12-12,23.2,-2,0.0,-5.2
2022-12-13,35.8,-1,-0.2,4.7
2022-12-14,25.0,0,0.2,-4.0
2022-12-15,26.4,0,-0.2,3.3
2022-12-16,36.1,-1,0.1,3.8
2022-12-17,28.2,0,0.1,-6.9
2022-12-18,17.8,-2,-0.1,-16.0
2022-12-19,10.8,9,0.3,2.0
2022-12-20,19.0,-1,0.2,-1.3
2022-12-21,1.4,10,1.1,-17.8
2022-12-22,-9.9,-2,-0.5,0.2
2022-12-23,30.7,-3,0.1,4.5
2022-12-24,33.8,0,1.6,28.8
2022-12-25,33.6,9,1.5,9.3
2022-12-26,31.5,-3,0.4,-1.8
2022-12-27,28.8,7,1.4,-0.7
2022-12-28,23.7,4,0.9,-7.5
2022-12-29,20.1,-2,0.1,0.3
2022-12-30,27.0,-2,0.1,2.5
2022-12-31,,2,0.5,
2023-01-01,33.6,0,0.3,
2023-01-02,19.4,-2,-0.2,-3.6
2023-01-03,23.4,-1,0.1,-2.6
2023-01-04,22.5,-1,-0.1,-0.3
2023-01-05,25.0,-1,0.3,10.1
2023-01-06,32.5,1,0.3,0.3
2023-01-07,26.8,1,0.2,1.6
2023-01-08,27.3,1,0.5,-1.9
2023-01-09,25.7,1,0.3,-0.8
2023-01-10,27.9,1,0.3,1.3
2023-01-11,26.4,1,0.2,0.0
2023-01-12,28.2,0,0.1,1.1
2023-01-13,32.0,-1,1.3,4.3
2023-01-14,32.0,2,0.4,-2.0
2023-01-15,29.8,1,0.3,-0.9
2023-01-16,28.2,0,0.4,-5.2
2023-01-17,34.2,0,-0.1,0.0
2023-01-18,25.5,0,0.1,-0.5
2023-01-19,24.8,0,0.3,-2.4
2023-01-20,29.5,-2,0.0,0.2
2023-01-21,26.4,0,0.1,-3.1
2023-01-22,21.6,0,0.1,3.1
2023-01-23,27.9,1,0.2,2.3
2023-01-24,26.6,-1,0.1,2.9
2023-01-25,36.3,2,0.4,1.8
2023-01-26,33.4,0,0.1,2.7
2023-01-27,29.1,1,0.3,-5.9
2023-01-28,20.7,0,0.3,-17.1
2023-01-29,11.1,3,-0.1,-6.9
2023-01-30,25.2,-1,0.2,9.6
2023-01-31,24.3,-1,0.2,8.3
2023-02-01,33.6,-1,0.3,5.5
2023-02-02,36.5,0,0.0,0.0
2023-02-03,30.2,-1,0.0,-3.0
2023-02-04,31.5,4,0.4,6.5
2023-02-05,28.8,-2,0.3,1.2
2023-02-06,29.5,-1,0.0,-1.8
2023-02-07,30.0,2,0.2,-3.4
2023-02-08,24.3,8,1.0,-2.5
2023-02-09,22.8,-1,0.1,0.9
2023-02-10,31.8,-2,0.0,1.1
2023-02-11,29.8,0,0.4,-1.1
2023-02-12,36.7,-1,0.1,7.5
2023-02-13,29.7,-2,0.4,-9.9
2023-02-14,23.2,4,0.3,-3.0
2023-02-15,25.0,0,0.0,-2.7
2023-02-16,32.2,-2,0.1,6.1
2023-02-17,27.7,0,0.1,2.9
2023-02-18,27.9,2,0.3,1.1
2023-02-19,27.3,-1,0.3,0.9
2023-02-20,30.7,6,1.4,0.9
2023-02-21,23.2,6,1.3,-20.0
2023-02-22,9.1,-1,0.0,-3.8
2023-02-23,4.6,-1,0.0,-6.7
2023-02-24,25.0,-1,-0.1,-1.4
2023-02-25,30.2,-1,0.3,21.1
2023-02-26,19.6,-1,0.2,-1.5
2023-02-27,14.4,3,0.3,-1.1
2023-02-28,24.1,-2,0.2,1.3
2023-03-01,19.4,1,0.0,1.6
2023-03-02,22.1,1,0.4,2.9
2023-03-03,23.2,11,0.9,-0.7
