#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 2022-11-01 to 2023-04-30
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 681: Park Creek Ridge, WA
# 
# Data items provided in this file:
#
# Element Name             Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Air Temperature Maximum  Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Snow Depth               Delta       None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent    Delta       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Air Temperature Minimum  Delta       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Park Creek Ridge (681) 
# Washington  SNOTEL Site - 4600 ft
# Reporting Frequency: Daily; Date Range: 2022-11-01 to 2023-04-30
#
# As of: May 25, 2023 9:28:24 AM GMT-08:00
#
Date,Park Creek Ridge (681) Air Temperature Maximum (degF),Park Creek Ridge (681) Change In Snow Depth (in) Start of Day Values,Park Creek Ridge (681) Change In Snow Water Equivalent (in) Start of Day Values,Park Creek Ridge (681) Change In Air Temperature Minimum (degF)
2022-11-01,38.5,0,0.1,-2.7
2022-11-02,37.2,0,0.5,-2.0
2022-11-03,30.9,0,-0.2,-0.9
2022-11-04,40.1,5,0.5,1.8
2022-11-05,33.1,11,1.3,-3.1
2022-11-06,28.2,-1,-0.1,-1.0
2022-11-07,36.1,2,0.1,1.6
2022-11-08,34.3,1,0.3,-2.0
2022-11-09,39.0,0,-0.1,-0.2
2022-11-10,33.3,-4,0.0,-1.1
2022-11-11,25.2,-1,0.0,-0.7
2022-11-12,38.5,1,0.0,0.2
2022-11-13,43.7,0,0.0,7.6
2022-11-14,37.4,-1,0.0,-3.6
2022-11-15,41.0,-1,0.0,-1.1
2022-11-16,41.4,0,-0.1,-0.9
2022-11-17,32.7,0,0.1,-2.4
2022-11-18,31.8,0,-0.1,-2.7
2022-11-19,24.8,-1,0.0,-3.2
2022-11-20,29.8,0,0.1,1.1
2022-11-21,35.1,1,0.1,7.7
2022-11-22,33.8,-2,0.0,-1.2
2022-11-23,42.8,7,0.8,7.3
2022-11-24,30.4,0,0.1,-3.6
2022-11-25,45.9,-1,0.0,1.1
2022-11-26,33.1,0,0.1,0.0
2022-11-27,33.3,0,0.3,-4.8
2022-11-28,26.2,7,0.8,-13.0
2022-11-29,14.5,1,0.0,-0.4
2022-11-30,24.8,12,0.7,3.8
2022-12-01,32.0,6,1.0,0.6
2022-12-02,18.3,-5,-0.1,-0.9
2022-12-03,30.9,0,0.2,0.0
2022-12-04,34.7,-1,0.3,1.4
2022-12-05,33.4,-2,0.2,3.4
2022-12-06,29.7,-4,0.1,7.6
2022-12-07,31.3,0,0.0,-8.3
2022-12-08,24.6,-1,0.0,-0.4
2022-12-09,24.3,3,0.7,1.1
2022-12-10,29.5,6,0.4,4.7
2022-12-11,43.9,8,1.0,4.5
2022-12-12,36.9,-5,0.0,-0.7
2022-12-13,40.1,-1,0.1,1.6
2022-12-14,41.0,-1,0.0,0.9
2022-12-15,37.2,-1,0.1,-6.7
2022-12-16,40.1,-2,0.0,-4.3
2022-12-17,36.0,-1,0.0,6.9
2022-12-18,25.2,0,0.1,-11.7
2022-12-19,15.1,5,0.6,-9.0
2022-12-20,22.8,0,0.0,0.0
2022-12-21,16.3,16,1.4,-8.0
2022-12-22,1.8,-6,-0.2,-2.8
2022-12-23,7.7,-3,0.1,3.0
2022-12-24,36.9,7,1.4,9.7
2022-12-25,39.6,7,2.7,21.1
2022-12-26,39.4,-5,0.1,2.3
2022-12-27,34.3,4,1.2,0.8
2022-12-28,36.0,4,0.6,-6.3
2022-12-29,28.8,-3,-0.1,-0.6
2022-12-30,31.8,1,0.3,0.6
2022-12-31,34.3,8,1.0,6.3
2023-01-01,41.4,-1,0.3,-6.0
2023-01-02,23.7,-3,0.1,-3.2
2023-01-03,25.2,-2,0.1,-0.7
2023-01-04,27.7,-1,0.1,1.4
2023-01-05,30.0,0,0.3,5.6
2023-01-06,33.4,0,0.3,0.9
