#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 2022-11-01 to 2023-04-30
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1012: Swift Creek, WA
# 
# Data items provided in this file:
#
# Element Name             Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Air Temperature Maximum  Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Snow Depth               Delta       None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent    Delta       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Air Temperature Minimum  Delta       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Swift Creek (1012) 
# Washington  SNOTEL Site - 4440 ft
# Reporting Frequency: Daily; Date Range: 2022-11-01 to 2023-04-30
#
# As of: May 18, 2023 9:05:58 AM GMT-08:00
#
Date,Swift Creek (1012) Air Temperature Maximum (degF),Swift Creek (1012) Change In Snow Depth (in) Start of Day Values,Swift Creek (1012) Change In Snow Water Equivalent (in) Start of Day Values,Swift Creek (1012) Change In Air Temperature Minimum (degF)
2022-11-01,34.3,0,-0.1,-5.1
2022-11-02,34.2,2,0.4,-4.1
2022-11-03,32.0,3,0.4,2.0
2022-11-04,44.2,7,1.1,5.2
2022-11-05,36.7,-8,0.0,-3.8
2022-11-06,31.3,4,0.5,-0.9
2022-11-07,30.0,14,2.4,-1.8
2022-11-08,35.8,7,1.2,3.4
2022-11-09,32.5,-1,0.1,-4.7
2022-11-10,32.2,-1,-0.1,-0.1
2022-11-11,33.3,-1,0.0,4.3
2022-11-12,39.2,-1,0.1,-0.4
2022-11-13,44.6,-1,-0.1,0.9
2022-11-14,47.3,-1,0.0,0.9
2022-11-15,52.7,0,0.1,10.8
2022-11-16,52.3,-2,-0.1,5.1
2022-11-17,46.8,1,-0.1,-17.9
2022-11-18,41.0,-1,-0.1,0.4
2022-11-19,42.6,0,0.0,4.7
2022-11-20,44.6,-1,-0.1,0.7
2022-11-21,45.3,0,0.0,4.5
2022-11-22,42.6,-1,0.0,-5.0
2022-11-23,45.9,0,0.3,-2.4
2022-11-24,55.8,-1,-0.1,14.1
2022-11-25,52.2,-1,0.1,-17.1
2022-11-26,32.7,1,0.1,-2.2
2022-11-27,31.8,2,0.1,1.1
2022-11-28,27.9,8,1.4,-5.8
2022-11-29,29.5,3,0.6,-1.2
2022-11-30,31.3,15,2.2,6.3
2022-12-01,27.9,12,2.5,-5.8
2022-12-02,27.5,5,1.2,1.4
2022-12-03,33.6,-1,0.5,3.6
2022-12-04,32.5,-3,0.1,-0.3
2022-12-05,35.2,3,0.5,2.5
2022-12-06,31.6,0,0.1,0.0
2022-12-07,30.2,-2,-0.1,-0.9
2022-12-08,30.9,-1,0.2,-1.8
2022-12-09,33.1,12,1.4,-0.7
2022-12-10,34.3,16,2.8,7.7
2022-12-11,34.5,11,3.3,-3.6
2022-12-12,31.6,-6,0.1,-3.8
2022-12-13,29.5,-3,0.0,-2.5
2022-12-14,33.1,-2,0.0,3.4
2022-12-15,34.3,-2,0.1,1.7
2022-12-16,43.7,-1,0.1,-0.6
2022-12-17,40.5,-2,0.0,-0.3
2022-12-18,28.4,-1,0.1,-2.6
2022-12-19,30.2,2,0.3,-1.0
2022-12-20,33.8,-1,0.2,-0.9
2022-12-21,21.6,7,1.6,-11.9
2022-12-22,21.2,-2,-0.1,-0.6
2022-12-23,39.6,-1,0.1,11.7
2022-12-24,42.1,0,0.8,18.0
2022-12-25,47.3,-9,-1.0,0.8
2022-12-26,45.5,-2,1.4,1.4
2022-12-27,43.5,-2,3.9,-11.7
2022-12-28,32.5,-2,-0.1,-2.3
2022-12-29,34.2,1,0.0,3.0
2022-12-30,34.2,5,1.6,2.7
2022-12-31,34.2,0,1.0,-5.2
2023-01-01,32.4,0,0.1,-1.6
2023-01-02,32.4,0,-0.2,-1.6
2023-01-03,34.0,1,0.0,1.4
2023-01-04,37.0,-1,0.3,2.7
2023-01-05,37.0,6,0.6,5.0
2023-01-06,37.4,0,0.8,-1.2
2023-01-07,36.1,-1,0.7,0.5
2023-01-08,35.2,3,0.6,-0.7
2023-01-09,34.2,9,2.2,-0.7
2023-01-10,37.2,6,1.5,0.7
2023-01-11,36.0,0,0.2,0.0
2023-01-12,44.4,3,1.2,2.7
2023-01-13,44.2,-7,1.2,0.9
2023-01-14,39.2,-3,0.8,-1.1
2023-01-15,36.1,-2,-1.3,-3.2
2023-01-16,34.9,13,1.8,-1.6
2023-01-17,35.4,0,0.3,0.3
2023-01-18,33.3,4,0.7,-5.4
2023-01-19,32.0,9,1.8,-1.8
2023-01-20,36.0,-1,0.1,1.8
2023-01-21,35.4,-4,0.0,2.5
2023-01-22,30.4,13,2.0,-1.6
2023-01-23,37.6,1,0.5,-0.2
2023-01-24,39.2,-2,-0.1,2.9
2023-01-25,43.7,-3,0.1,4.0
2023-01-26,50.9,-1,0.1,-2.2
2023-01-27,35.6,-2,0.1,2.2
2023-01-28,34.0,1,1.0,-12.1
2023-01-29,22.6,9,1.0,-7.9
2023-01-30,31.5,-2,-0.1,2.2
2023-01-31,36.3,-2,0.0,10.6
2023-02-01,41.7,-1,0.0,6.3
2023-02-02,48.9,-1,0.1,7.2
2023-02-03,43.7,-1,0.0,-7.8
2023-02-04,35.4,4,1.4,2.6
2023-02-05,35.4,3,1.2,-4.4
2023-02-06,35.6,7,1.4,-1.2
2023-02-07,34.7,2,0.7,0.3
2023-02-08,33.8,6,1.9,-1.4
2023-02-09,41.9,1,0.5,4.1
2023-02-10,37.2,-2,0.2,-0.1
2023-02-11,42.1,-1,0.6,-1.5
2023-02-12,44.4,-2,0.0,4.7
2023-02-13,36.3,-1,0.1,-12.1
2023-02-14,31.1,9,1.3,-2.7
2023-02-15,32.5,-2,0.1,-0.7
2023-02-16,34.0,-1,0.0,8.7
2023-02-17,35.1,-1,0.1,1.2
2023-02-18,33.4,0,0.2,-1.2
2023-02-19,41.0,-1,0.3,1.2
2023-02-20,39.2,-2,0.1,3.6
2023-02-21,32.0,-2,0.3,-8.8
2023-02-22,24.1,11,1.4,-10.1
2023-02-23,14.2,10,0.7,-4.3
2023-02-24,27.1,-5,-0.1,2.9
2023-02-25,40.8,-3,0.0,11.0
2023-02-26,26.6,-3,0.0,0.3
2023-02-27,29.8,12,1.6,0.0
2023-02-28,29.7,6,1.2,-4.5
2023-03-01,29.3,4,0.9,-1.1
2023-03-02,30.0,-4,-0.1,5.1
2023-03-03,30.0,6,1.3,1.1
2023-03-04,28.8,13,2.0,0.7
2023-03-05,29.1,13,2.3,-2.9
2023-03-06,33.1,-4,0.1,3.6
2023-03-07,31.6,4,0.7,1.1
2023-03-08,30.4,-4,0.0,-1.5
2023-03-09,29.1,-1,0.3,0.6
2023-03-10,35.8,9,1.7,0.9
2023-03-11,35.4,3,1.0,1.1
2023-03-12,35.4,-2,0.4,2.5
2023-03-13,36.3,-2,1.5,-2.9
2023-03-14,32.9,-1,1.5,-2.5
2023-03-15,35.1,-6,-0.1,0.5
2023-03-16,37.4,2,0.1,3.8
2023-03-17,41.7,-3,-0.1,4.9
2023-03-18,47.5,-3,0.0,2.8
2023-03-19,43.7,-2,0.0,-2.5
2023-03-20,36.5,0,0.6,-2.0
2023-03-21,40.1,2,1.2,-2.7
2023-03-22,49.8,-2,0.0,4.4
2023-03-23,33.3,-2,0.0,-7.4
2023-03-24,36.0,12,1.9,-2.0
2023-03-25,32.5,8,1.2,-4.3
2023-03-26,36.9,-3,-0.1,2.5
2023-03-27,34.9,-2,0.3,0.7
2023-03-28,37.9,-2,0.1,7.2
2023-03-29,41.4,-3,0.2,2.7
2023-03-30,39.0,0,0.1,-4.3
2023-03-31,33.1,-2,0.0,0.0
