#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 2022-11-01 to 2023-04-30
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 941: Mowich, WA
# 
# Data items provided in this file:
#
# Element Name             Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Air Temperature Maximum  Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Snow Depth               Delta       None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent    Delta       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Air Temperature Minimum  Delta       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Mowich (941) 
# Washington  SNOTEL Site - 3160 ft
# Reporting Frequency: Daily; Date Range: 2022-11-01 to 2023-04-30
#
# As of: May 18, 2023 9:05:33 AM GMT-08:00
#
Date,Mowich (941) Air Temperature Maximum (degF),Mowich (941) Change In Snow Depth (in) Start of Day Values,Mowich (941) Change In Snow Water Equivalent (in) Start of Day Values,Mowich (941) Change In Air Temperature Minimum (degF)
2022-11-01,41.5,0,0.0,-2.7
2022-11-02,36.3,0,0.0,-3.2
2022-11-03,41.4,0,0.1,-0.4
2022-11-04,48.9,0,0.2,7.2
2022-11-05,37.4,0,-0.1,-4.6
2022-11-06,38.1,0,0.1,-1.3
2022-11-07,39.9,8,0.7,-0.7
2022-11-08,43.7,-3,0.0,-1.5
2022-11-09,37.9,-1,-0.1,-2.5
2022-11-10,43.2,-1,0.0,3.1
2022-11-11,42.4,-1,-0.1,2.7
2022-11-12,43.9,0,-0.1,-1.1
2022-11-13,44.1,-1,-0.1,0.5
2022-11-14,50.9,0,0.0,1.8
2022-11-15,57.4,-1,-0.1,9.9
2022-11-16,63.3,0,-0.2,4.9
2022-11-17,48.7,0,-0.1,-14.9
2022-11-18,48.2,0,0.0,-1.3
2022-11-19,54.1,0,0.0,8.3
2022-11-20,53.6,0,0.0,-1.1
2022-11-21,53.1,0,0.0,2.9
2022-11-22,51.3,0,0.0,-4.2
2022-11-23,48.7,0,0.1,-2.5
2022-11-24,67.8,0,-0.1,5.2
2022-11-25,53.2,0,0.0,-10.4
2022-11-26,40.1,0,0.1,-0.7
2022-11-27,38.7,0,0.0,1.2
2022-11-28,32.4,1,0.1,-6.8
2022-11-29,37.8,2,0.3,0.7
2022-11-30,37.2,3,0.3,4.0
2022-12-01,31.5,1,0.7,-4.9
2022-12-02,39.2,5,0.3,-0.7
2022-12-03,45.5,-3,0.0,9.9
2022-12-04,37.9,-1,-0.1,-1.8
2022-12-05,42.1,2,0.3,2.0
2022-12-06,35.8,-1,0.0,-1.5
2022-12-07,40.3,-1,0.0,-0.1
2022-12-08,40.3,0,0.0,-0.8
2022-12-09,41.4,2,0.2,-1.0
2022-12-10,45.9,-2,0.0,5.7
2022-12-11,40.3,-2,-0.5,-3.6
2022-12-12,36.0,-1,0.0,-2.0
2022-12-13,32.9,0,-0.1,-1.0
2022-12-14,33.1,0,0.0,-1.3
2022-12-15,40.6,0,0.0,-0.5
2022-12-16,50.0,0,0.0,6.3
2022-12-17,44.2,-1,0.0,-1.7
2022-12-18,32.9,0,0.0,-6.1
2022-12-19,36.1,6,0.5,-0.7
2022-12-20,37.2,-1,0.1,0.0
2022-12-21,25.0,2,0.8,-8.6
2022-12-22,36.7,-1,0.0,0.7
2022-12-23,46.6,0,-0.1,18.5
2022-12-24,51.8,-4,-0.7,9.2
2022-12-25,57.4,-6,-2.1,-1.8
2022-12-26,55.0,0,-0.1,-2.9
2022-12-27,50.7,0,0.1,-6.5
2022-12-28,37.8,3,0.7,-1.0
2022-12-29,44.8,0,0.0,1.4
2022-12-30,44.1,-2,-0.1,1.8
2022-12-31,40.5,-1,-0.6,-2.2
2023-01-01,42.4,0,-0.1,-1.9
2023-01-02,50.9,0,0.0,-1.1
2023-01-03,45.1,0,-0.2,0.7
2023-01-04,56.1,0,0.0,3.4
2023-01-05,55.8,0,0.0,4.7
2023-01-06,49.6,0,0.0,-6.5
2023-01-07,47.5,0,0.0,7.6
2023-01-08,46.0,0,0.0,-3.6
2023-01-09,48.7,0,0.0,-0.2
2023-01-10,51.8,0,0.0,2.5
2023-01-11,51.3,0,0.0,2.4
2023-01-12,55.2,0,0.0,3.6
2023-01-13,55.8,0,0.0,-2.0
2023-01-14,51.8,0,0.0,-2.9
2023-01-15,46.6,0,0.0,-3.1
2023-01-16,44.2,0,0.0,-3.2
2023-01-17,40.5,0,0.0,0.5
2023-01-18,41.9,0,0.2,-1.9
2023-01-19,40.6,1,0.3,-3.1
2023-01-20,37.6,-1,-0.1,-1.3
2023-01-21,45.7,0,-0.1,4.0
2023-01-22,36.3,2,0.7,-3.8
2023-01-23,38.1,2,0.1,1.3
2023-01-24,38.5,-1,0.0,1.6
2023-01-25,38.7,-1,0.0,2.3
2023-01-26,46.8,-2,-0.1,-2.1
2023-01-27,41.7,1,0.0,2.7
2023-01-28,35.2,0,-0.1,-8.7
2023-01-29,34.7,0,0.0,-3.7
