Date,Max Air Temp 24hr,Total Snowfall 24hr,Delta SWE 24hr,Min Temp Diff 48hr
2022-11-01,34.0,0.5,-0.05,-4.85
2022-11-02,34.25,0.5,0.0,-4.25
2022-11-03,32.8,1.0,0.1,0.1
2022-11-04,42.1,5.0,1.25,7.75
2022-11-05,34.2,-4.5,0.1,-5.1
2022-11-06,30.450000000000003,1.5,0.35,0.6
2022-11-07,30.450000000000003,7.5,0.75,-2.3
2022-11-08,28.25,0.5,0.25,-0.95
2022-11-09,34.25,-0.5,0.0,-1.7
2022-11-10,34.15,0.5,-0.05,0.5
2022-11-11,32.3,-2.5,0.05,4.35
2022-11-12,35.75,-1.0,0.05,-1.75
2022-11-13,37.05,-0.5,-0.05,0.6
2022-11-14,37.55,0.0,0.1,1.9
2022-11-15,38.75,0.0,0.0,-0.9
2022-11-16,42.45,0.0,0.0,-0.55
2022-11-17,31.299999999999997,-1.0,0.0,-5.1
2022-11-18,33.8,0.5,-0.05,0.2
2022-11-19,34.45,0.0,-0.05,2.25
2022-11-20,41.8,0.0,0.0,-0.6
2022-11-21,45.35,0.0,0.15000000000000002,7.5
2022-11-22,39.45,0.0,0.1,-0.5
2022-11-23,39.55,1.0,0.85,-2.35
2022-11-24,41.900000000000006,1.0,0.0,2.6
2022-11-25,44.25,1.0,0.0,-2.35
2022-11-26,36.0,1.0,0.15000000000000002,-0.35
2022-11-27,31.9,0.0,0.1,-1.3
2022-11-28,26.15,6.5,0.8500000000000001,-6.9
2022-11-29,27.700000000000003,3.5,0.3,0.1
2022-11-30,31.049999999999997,11.5,1.4,3.65
2022-12-01,27.799999999999997,9.5,1.35,-3.75
2022-12-02,25.5,-0.5,0.3,-1.45
2022-12-03,28.15,-0.5,0.2,1.55
2022-12-04,26.85,-1.0,0.0,0.1
2022-12-05,34.35,-1.0,0.3,6.3
2022-12-06,29.049999999999997,-1.5,0.05,-1.25
2022-12-07,32.1,-0.5,0.05,-3.8000000000000003
2022-12-08,29.3,-1.0,0.0,2.95
